Datum;Erster;Hoch;Tief;Schlusskurs;Stuecke;Volumen
2019-12-30;1,9873;1,9935;1,7825;1,8812;;
2019-12-27;1,9971;2,0102;1,9211;2,0102;;
2019-12-23;2,0023;2,0121;1,9594;1,9892;;
2019-12-20;2,046;2,085;2,015;2,0628;;
2019-12-19;2,0271;2,058;1,9699;2,0296;;
2019-12-18;2,0529;2,0556;1,997;2,0396;;
2019-12-17;2,08;2,0826;2,0167;2,0542;;
2019-12-16;2,0378;2,1102;2,0097;2,106;;
2019-12-13;2,0498;2,0582;1,9738;2,0511;;
2019-12-12;2,0136;2,1006;1,9921;2,1006;;
2019-12-11;2,0177;2,0454;1,9959;2,0212;;
2019-12-10;1,9709;2,0354;1,9653;2,0352;;
2019-12-09;2,0051;2,0171;1,9519;2,0171;;
2019-12-06;2,1571;2,1777;2,0652;2,0952;;
2019-12-05;2,1796;2,1796;2,1122;2,1723;;
2019-12-04;2,175;2,175;2,0896;2,1593;;
2019-12-03;2,1268;2,2358;2,0824;2,186;;
2019-12-02;2,126;2,126;2,0391;2,1088;;
2019-11-29;2,2252;2,2378;1,989;2,035;;
2019-11-28;2,2692;2,2699;2,0721;2,2032;;
2019-11-27;2,2737;2,3051;2,2123;2,2596;;
2019-11-26;2,3054;2,311;2,2113;2,2871;;
2019-11-25;2,4205;2,4247;2,2748;2,3334;;
2019-11-22;2,36;2,4443;2,2706;2,4405;;
2019-11-21;2,3329;2,3561;2,2534;2,3326;;
2019-11-20;2,2923;2,3465;2,2763;2,3157;;
2019-11-19;2,3007;2,314;2,2304;2,2601;;
2019-11-18;2,3647;2,3731;2,2883;2,3033;;
2019-11-15;2,3549;2,4519;2,3446;2,4191;;
2019-11-14;2,4307;2,439;2,3746;2,4042;;
2019-11-13;2,3685;2,4259;2,3217;2,4241;;
2019-11-12;2,3911;2,4219;2,3572;2,3801;;
2019-11-11;2,4445;2,4487;2,359;2,3819;;
2019-11-08;2,5387;2,5426;2,4915;2,5223;;
2019-11-07;2,5402;2,5769;2,4747;2,5303;;
