Datum;Erster;Hoch;Tief;Schlusskurs;Stuecke;Volumen
2018-07-23;2,3045;2,3269;2,2852;2,2916;;
2018-07-20;2,3723;2,3723;2,3289;2,3355;;
2018-07-19;2,3454;2,3915;2,2947;2,3632;;
2018-07-18;2,3636;2,3648;2,3078;2,33;;
2018-07-17;2,3732;2,3732;2,3041;2,3315;;
2018-07-16;2,3503;2,366;2,3134;2,3479;;
2018-07-13;2,3961;2,4205;2,3399;2,3655;;
2018-07-12;2,4228;2,4228;2,3665;2,394;;
2018-07-11;2,374;2,4218;2,3377;2,408;;
2018-07-10;2,398;2,4112;2,3597;2,3688;;
2018-07-09;2,4233;2,4243;2,3617;2,3962;;
2018-07-06;2,4259;2,439;2,3767;2,4339;;
2018-07-05;2,4126;2,4431;2,3903;2,4126;;
2018-07-04;2,4558;2,4748;2,4026;2,4519;;
2018-07-03;2,4463;2,4688;2,42;2,4554;;
2018-07-02;2,4882;2,503;2,4298;2,4519;;
2018-06-29;2,5114;2,516;2,4617;2,5024;;
2018-06-28;2,5609;2,6025;2,5121;2,5462;;
2018-06-27;2,5393;2,5759;2,5209;2,5623;;
2018-06-26;2,5079;2,5223;2,4553;2,5144;;
2018-06-25;2,4765;2,5155;2,4492;2,4922;;
2018-06-22;2,5579;2,565;2,484;2,5237;;
2018-06-21;2,5797;2,5996;2,5354;2,5996;;
2018-06-20;2,5297;2,5765;2,4925;2,5671;;
2018-06-19;2,5466;2,5605;2,486;2,5293;;
2018-06-18;2,611;2,6263;2,5209;2,557;;
2018-06-15;2,5695;2,625;2,5407;2,6212;;
2018-06-14;2,5122;2,5472;2,4668;2,5312;;
2018-06-13;2,485;2,5379;2,4462;2,5121;;
2018-06-12;2,5143;2,5276;2,4467;2,4877;;
2018-06-11;2,4873;2,5062;2,4627;2,5015;;
2018-06-08;2,4723;2,4844;2,4276;2,4762;;
2018-06-07;2,4586;2,5106;2,4362;2,4781;;
2018-06-06;2,4695;2,4763;2,4329;2,4647;;
2018-06-05;2,4955;2,5022;2,4523;2,4744;;
2018-06-04;2,5234;2,54;2,4849;2,4963;;
2018-06-01;2,5288;2,5676;2,5044;2,5489;;
2018-05-31;2,4715;2,5488;2,4576;2,5281;;
2018-05-30;2,4806;2,5011;2,4596;2,49;;
2018-05-29;2,5725;2,5823;2,4708;2,5105;;
