"MTU (CET/CEST)","Generation - Solar [MW] Day Ahead/ BZN|DE-LU","Generation - Solar [MW] Intraday / BZN|DE-LU","Generation - Solar [MW] Current / BZN|DE-LU","Generation - Wind Offshore [MW] Day Ahead/ BZN|DE-LU","Generation - Wind Offshore [MW] Intraday / BZN|DE-LU","Generation - Wind Offshore [MW] Current / BZN|DE-LU","Generation - Wind Onshore [MW] Day Ahead/ BZN|DE-LU","Generation - Wind Onshore [MW] Intraday / BZN|DE-LU","Generation - Wind Onshore [MW] Current / BZN|DE-LU"
"01.01.2018 11:15 - 01.01.2018 11:30","n/e","n/e","n/e","n/e","3204","n/e","n/e","32914","n/e"
"01.01.2018 11:30 - 01.01.2018 11:45","n/e","n/e","n/e","n/e","3209","n/e","n/e","32958","n/e"
"01.01.2018 11:45 - 01.01.2018 12:00","n/e","n/e","n/e","n/e","3213","n/e","n/e","32840","n/e"
"01.01.2018 12:00 - 01.01.2018 12:15","n/e","n/e","n/e","n/e","3218","n/e","n/e","32615","n/e"
"01.01.2018 12:15 - 01.01.2018 12:30","n/e","n/e","n/e","n/e","3210","n/e","n/e","32323","n/e"
"01.01.2018 12:30 - 01.01.2018 12:45","n/e","n/e","n/e","n/e","3216","n/e","n/e","32181","n/e"
"01.01.2018 12:45 - 01.01.2018 13:00","n/e","n/e","n/e","n/e","3217","n/e","n/e","31613","n/e"
"01.01.2018 13:00 - 01.01.2018 13:15","n/e","n/e","n/e","n/e","3222","n/e","n/e","31272","n/e"
"01.01.2018 13:15 - 01.01.2018 13:30","n/e","n/e","n/e","n/e","3209","n/e","n/e","30178","n/e"
"01.01.2018 13:30 - 01.01.2018 13:45","n/e","n/e","n/e","n/e","3209","n/e","n/e","29347","n/e"
"01.01.2018 13:45 - 01.01.2018 14:00","n/e","n/e","n/e","n/e","3211","n/e","n/e","28384","n/e"
"01.01.2018 14:00 - 01.01.2018 14:15","n/e","n/e","n/e","n/e","3207","n/e","n/e","27536","n/e"
"01.01.2018 14:15 - 01.01.2018 14:30","n/e","n/e","n/e","n/e","3190","n/e","n/e","26669","n/e"
"01.01.2018 14:30 - 01.01.2018 14:45","n/e","n/e","n/e","n/e","3192","n/e","n/e","25623","n/e"
"01.01.2018 14:45 - 01.01.2018 15:00","n/e","n/e","n/e","n/e","3187","n/e","n/e","24720","n/e"
"01.01.2018 15:00 - 01.01.2018 15:15","n/e","n/e","n/e","n/e","3183","n/e","n/e","23684","n/e"
"01.01.2018 15:15 - 01.01.2018 15:30","n/e","n/e","n/e","n/e","3171","n/e","n/e","22849","n/e"
"01.01.2018 15:30 - 01.01.2018 15:45","n/e","n/e","n/e","n/e","3159","n/e","n/e","22017","n/e"
"01.01.2018 15:45 - 01.01.2018 16:00","n/e","n/e","n/e","n/e","3141","n/e","n/e","21078","n/e"
"01.01.2018 16:00 - 01.01.2018 16:15","n/e","n/e","n/e","n/e","3503","n/e","n/e","20222","n/e"
"01.01.2018 16:15 - 01.01.2018 16:30","n/e","n/e","n/e","n/e","3987","n/e","n/e","19764","n/e"
"01.01.2018 16:30 - 01.01.2018 16:45","n/e","n/e","n/e","n/e","4001","n/e","n/e","19300","n/e"
"01.01.2018 16:45 - 01.01.2018 17:00","n/e","n/e","n/e","n/e","3955","n/e","n/e","18830","n/e"
"01.01.2018 17:00 - 01.01.2018 17:15","n/e","n/e","n/e","n/e","3878","n/e","n/e","18409","n/e"
"01.01.2018 17:15 - 01.01.2018 17:30","n/e","n/e","n/e","n/e","3768","n/e","n/e","18235","n/e"
"01.01.2018 17:30 - 01.01.2018 17:45","n/e","n/e","n/e","n/e","3645","n/e","n/e","17847","n/e"
"01.01.2018 17:45 - 01.01.2018 18:00","n/e","n/e","n/e","n/e","3563","n/e","n/e","17523","n/e"
"01.01.2018 18:00 - 01.01.2018 18:15","n/e","n/e","n/e","n/e","3501","n/e","n/e","17167","n/e"
"01.01.2018 18:15 - 01.01.2018 18:30","n/e","n/e","n/e","n/e","3344","n/e","n/e","17175","n/e"
"01.01.2018 18:30 - 01.01.2018 18:45","n/e","n/e","n/e","n/e","3221","n/e","n/e","17076","n/e"
"01.01.2018 18:45 - 01.01.2018 19:00","n/e","n/e","n/e","n/e","3101","n/e","n/e","16893","n/e"
"01.01.2018 19:00 - 01.01.2018 19:15","n/e","n/e","n/e","n/e","2982","n/e","n/e","16756","n/e"
"01.01.2018 19:15 - 01.01.2018 19:30","n/e","n/e","n/e","n/e","2956","n/e","n/e","16548","n/e"
"01.01.2018 19:30 - 01.01.2018 19:45","n/e","n/e","n/e","n/e","2833","n/e","n/e","16290","n/e"
"01.01.2018 19:45 - 01.01.2018 20:00","n/e","n/e","n/e","n/e","2737","n/e","n/e","16026","n/e"
"01.01.2018 20:00 - 01.01.2018 20:15","n/e","n/e","n/e","n/e","2669","n/e","n/e","15494","n/e"
"01.01.2018 20:15 - 01.01.2018 20:30","n/e","n/e","n/e","n/e","2550","n/e","n/e","15245","n/e"
"01.01.2018 20:30 - 01.01.2018 20:45","n/e","n/e","n/e","n/e","2509","n/e","n/e","15132","n/e"
"01.01.2018 20:45 - 01.01.2018 21:00","n/e","n/e","n/e","n/e","2456","n/e","n/e","14960","n/e"
"01.01.2018 21:00 - 01.01.2018 21:15","n/e","n/e","n/e","n/e","2385","n/e","n/e","14746","n/e"
"01.01.2018 21:15 - 01.01.2018 21:30","n/e","n/e","n/e","n/e","2335","n/e","n/e","14530","n/e"
"01.01.2018 21:30 - 01.01.2018 21:45","n/e","n/e","n/e","n/e","2236","n/e","n/e","14311","n/e"
"01.01.2018 21:45 - 01.01.2018 22:00","n/e","n/e","n/e","n/e","2124","n/e","n/e","14144","n/e"
"01.01.2018 22:00 - 01.01.2018 22:15","n/e","n/e","n/e","n/e","2038","n/e","n/e","13983","n/e"
"01.01.2018 22:15 - 01.01.2018 22:30","n/e","n/e","n/e","n/e","1961","n/e","n/e","13899","n/e"
"01.01.2018 22:30 - 01.01.2018 22:45","n/e","n/e","n/e","n/e","1887","n/e","n/e","13837","n/e"
"01.01.2018 22:45 - 01.01.2018 23:00","n/e","n/e","n/e","n/e","1817","n/e","n/e","13849","n/e"
"01.01.2018 23:00 - 01.01.2018 23:15","n/e","n/e","n/e","n/e","1756","n/e","n/e","13860","n/e"
"01.01.2018 23:15 - 01.01.2018 23:30","n/e","n/e","n/e","n/e","1713","n/e","n/e","13789","n/e"
"01.01.2018 23:30 - 01.01.2018 23:45","n/e","n/e","n/e","n/e","1679","n/e","n/e","13720","n/e"
"01.01.2018 23:45 - 02.01.2018 00:00","n/e","n/e","n/e","n/e","1648","n/e","n/e","13683","n/e"
"02.01.2018 00:00 - 02.01.2018 00:15","n/e","n/e","n/e","n/e","1828","n/e","n/e","14151","n/e"
"02.01.2018 00:15 - 02.01.2018 00:30","n/e","n/e","n/e","n/e","1771","n/e","n/e","13999","n/e"
"02.01.2018 00:30 - 02.01.2018 00:45","n/e","n/e","n/e","n/e","1700","n/e","n/e","13734","n/e"
"02.01.2018 00:45 - 02.01.2018 01:00","n/e","n/e","n/e","n/e","1628","n/e","n/e","13581","n/e"
"02.01.2018 01:00 - 02.01.2018 01:15","n/e","n/e","n/e","n/e","1538","n/e","n/e","14449","n/e"
"02.01.2018 01:15 - 02.01.2018 01:30","n/e","n/e","n/e","n/e","1339","n/e","n/e","14554","n/e"
"02.01.2018 01:30 - 02.01.2018 01:45","n/e","n/e","n/e","n/e","1358","n/e","n/e","14797","n/e"
"02.01.2018 01:45 - 02.01.2018 02:00","n/e","n/e","n/e","n/e","1341","n/e","n/e","14808","n/e"
"02.01.2018 02:00 - 02.01.2018 02:15","n/e","n/e","n/e","n/e","1354","n/e","n/e","14753","n/e"
"02.01.2018 02:15 - 02.01.2018 02:30","n/e","n/e","n/e","n/e","1438","n/e","n/e","14462","n/e"
"02.01.2018 02:30 - 02.01.2018 02:45","n/e","n/e","n/e","n/e","1444","n/e","n/e","14359","n/e"
"02.01.2018 02:45 - 02.01.2018 03:00","n/e","n/e","n/e","n/e","1435","n/e","n/e","14480","n/e"
"02.01.2018 03:00 - 02.01.2018 03:15","n/e","n/e","n/e","n/e","1424","n/e","n/e","14357","n/e"
"02.01.2018 03:15 - 02.01.2018 03:30","n/e","n/e","n/e","n/e","1464","n/e","n/e","14347","n/e"
"02.01.2018 03:30 - 02.01.2018 03:45","n/e","n/e","n/e","n/e","1475","n/e","n/e","14385","n/e"
"02.01.2018 03:45 - 02.01.2018 04:00","n/e","n/e","n/e","n/e","1492","n/e","n/e","14452","n/e"
"02.01.2018 04:00 - 02.01.2018 04:15","n/e","n/e","n/e","n/e","1540","n/e","n/e","14532","n/e"
"02.01.2018 04:15 - 02.01.2018 04:30","n/e","n/e","n/e","n/e","1665","n/e","n/e","14843","n/e"
"02.01.2018 04:30 - 02.01.2018 04:45","n/e","n/e","n/e","n/e","1697","n/e","n/e","15054","n/e"
"02.01.2018 04:45 - 02.01.2018 05:00","n/e","n/e","n/e","n/e","1718","n/e","n/e","15203","n/e"
"02.01.2018 05:00 - 02.01.2018 05:15","n/e","n/e","n/e","n/e","1755","n/e","n/e","15299","n/e"
"02.01.2018 05:15 - 02.01.2018 05:30","n/e","n/e","n/e","n/e","1842","n/e","n/e","15401","n/e"
"02.01.2018 05:30 - 02.01.2018 05:45","n/e","n/e","n/e","n/e","1915","n/e","n/e","15477","n/e"
"02.01.2018 05:45 - 02.01.2018 06:00","n/e","n/e","n/e","n/e","1908","n/e","n/e","15620","n/e"
"02.01.2018 06:00 - 02.01.2018 06:15","n/e","n/e","n/e","n/e","1898","n/e","n/e","15722","n/e"
"02.01.2018 06:15 - 02.01.2018 06:30","n/e","n/e","n/e","n/e","1950","n/e","n/e","15792","n/e"
"02.01.2018 06:30 - 02.01.2018 06:45","n/e","n/e","n/e","n/e","1952","n/e","n/e","15696","n/e"
"02.01.2018 06:45 - 02.01.2018 07:00","n/e","n/e","n/e","n/e","1989","n/e","n/e","15580","n/e"
"02.01.2018 07:00 - 02.01.2018 07:15","n/e","n/e","n/e","n/e","2052","n/e","n/e","15598","n/e"
"02.01.2018 07:15 - 02.01.2018 07:30","n/e","n/e","n/e","n/e","2086","n/e","n/e","15490","n/e"
"02.01.2018 07:30 - 02.01.2018 07:45","n/e","n/e","n/e","n/e","2134","n/e","n/e","15425","n/e"
"02.01.2018 07:45 - 02.01.2018 08:00","n/e","n/e","n/e","n/e","2054","n/e","n/e","15258","n/e"
"02.01.2018 08:00 - 02.01.2018 08:15","n/e","n/e","n/e","n/e","1958","n/e","n/e","15169","n/e"
"02.01.2018 08:15 - 02.01.2018 08:30","n/e","n/e","n/e","n/e","1950","n/e","n/e","15048","n/e"
"02.01.2018 08:30 - 02.01.2018 08:45","n/e","n/e","n/e","n/e","1917","n/e","n/e","15034","n/e"
"02.01.2018 08:45 - 02.01.2018 09:00","n/e","n/e","n/e","n/e","1805","n/e","n/e","14919","n/e"
"02.01.2018 09:00 - 02.01.2018 09:15","n/e","n/e","n/e","n/e","1825","n/e","n/e","14873","n/e"
"02.01.2018 09:15 - 02.01.2018 09:30","n/e","n/e","n/e","n/e","1831","n/e","n/e","14854","n/e"
"02.01.2018 09:30 - 02.01.2018 09:45","n/e","n/e","n/e","n/e","1769","n/e","n/e","14823","n/e"
"02.01.2018 09:45 - 02.01.2018 10:00","n/e","n/e","n/e","n/e","1699","n/e","n/e","14899","n/e"
"02.01.2018 10:00 - 02.01.2018 10:15","n/e","n/e","n/e","n/e","1660","n/e","n/e","14938","n/e"
"02.01.2018 10:15 - 02.01.2018 10:30","n/e","n/e","n/e","n/e","1751","n/e","n/e","14890","n/e"
"02.01.2018 10:30 - 02.01.2018 10:45","n/e","n/e","n/e","n/e","1816","n/e","n/e","14781","n/e"
"02.01.2018 10:45 - 02.01.2018 11:00","n/e","n/e","n/e","n/e","1837","n/e","n/e","14745","n/e"
"02.01.2018 11:00 - 02.01.2018 11:15","n/e","n/e","n/e","n/e","1852","n/e","n/e","14863","n/e"
"02.01.2018 11:15 - 02.01.2018 11:30","n/e","n/e","n/e","n/e","1951","n/e","n/e","15087","n/e"
"02.01.2018 11:30 - 02.01.2018 11:45","n/e","n/e","n/e","n/e","1990","n/e","n/e","15255","n/e"
"02.01.2018 11:45 - 02.01.2018 12:00","n/e","n/e","n/e","n/e","2019","n/e","n/e","15409","n/e"
"02.01.2018 12:00 - 02.01.2018 12:15","n/e","n/e","n/e","n/e","2139","n/e","n/e","15507","n/e"
"02.01.2018 12:15 - 02.01.2018 12:30","n/e","n/e","n/e","n/e","2251","n/e","n/e","15578","n/e"
"02.01.2018 12:30 - 02.01.2018 12:45","n/e","n/e","n/e","n/e","2437","n/e","n/e","15666","n/e"
"02.01.2018 12:45 - 02.01.2018 13:00","n/e","n/e","n/e","n/e","2519","n/e","n/e","15753","n/e"
"02.01.2018 13:00 - 02.01.2018 13:15","n/e","n/e","n/e","n/e","2558","n/e","n/e","15757","n/e"
"02.01.2018 13:15 - 02.01.2018 13:30","n/e","n/e","n/e","n/e","2683","n/e","n/e","15436","n/e"
"02.01.2018 13:30 - 02.01.2018 13:45","n/e","n/e","n/e","n/e","2697","n/e","n/e","15131","n/e"
"02.01.2018 13:45 - 02.01.2018 14:00","n/e","n/e","n/e","n/e","2668","n/e","n/e","14939","n/e"
"02.01.2018 14:00 - 02.01.2018 14:15","n/e","n/e","n/e","n/e","2629","n/e","n/e","14713","n/e"
"02.01.2018 14:15 - 02.01.2018 14:30","n/e","n/e","n/e","n/e","2578","n/e","n/e","14354","n/e"
"02.01.2018 14:30 - 02.01.2018 14:45","n/e","n/e","n/e","n/e","2522","n/e","n/e","14103","n/e"
"02.01.2018 14:45 - 02.01.2018 15:00","n/e","n/e","n/e","n/e","2499","n/e","n/e","13896","n/e"
"02.01.2018 15:00 - 02.01.2018 15:15","n/e","n/e","n/e","n/e","2513","n/e","n/e","13616","n/e"
"02.01.2018 15:15 - 02.01.2018 15:30","n/e","n/e","n/e","n/e","2303","n/e","n/e","13447","n/e"
"02.01.2018 15:30 - 02.01.2018 15:45","n/e","n/e","n/e","n/e","2317","n/e","n/e","13195","n/e"
"02.01.2018 15:45 - 02.01.2018 16:00","n/e","n/e","n/e","n/e","2345","n/e","n/e","12990","n/e"
"02.01.2018 16:00 - 02.01.2018 16:15","n/e","n/e","n/e","n/e","2415","n/e","n/e","12856","n/e"
"02.01.2018 16:15 - 02.01.2018 16:30","n/e","n/e","n/e","n/e","2457","n/e","n/e","13012","n/e"
"02.01.2018 16:30 - 02.01.2018 16:45","n/e","n/e","n/e","n/e","2663","n/e","n/e","13263","n/e"
"02.01.2018 16:45 - 02.01.2018 17:00","n/e","n/e","n/e","n/e","2743","n/e","n/e","13484","n/e"
"02.01.2018 17:00 - 02.01.2018 17:15","n/e","n/e","n/e","n/e","2884","n/e","n/e","13537","n/e"
"02.01.2018 17:15 - 02.01.2018 17:30","n/e","n/e","n/e","n/e","3040","n/e","n/e","13665","n/e"
"02.01.2018 17:30 - 02.01.2018 17:45","n/e","n/e","n/e","n/e","3069","n/e","n/e","13867","n/e"
"02.01.2018 17:45 - 02.01.2018 18:00","n/e","n/e","n/e","n/e","3149","n/e","n/e","14125","n/e"
"02.01.2018 18:00 - 02.01.2018 18:15","n/e","n/e","n/e","n/e","3194","n/e","n/e","14352","n/e"
"02.01.2018 18:15 - 02.01.2018 18:30","n/e","n/e","n/e","n/e","3223","n/e","n/e","14724","n/e"
"02.01.2018 18:30 - 02.01.2018 18:45","n/e","n/e","n/e","n/e","3242","n/e","n/e","15099","n/e"
"02.01.2018 18:45 - 02.01.2018 19:00","n/e","n/e","n/e","n/e","3349","n/e","n/e","15468","n/e"
"02.01.2018 19:00 - 02.01.2018 19:15","n/e","n/e","n/e","n/e","3511","n/e","n/e","15948","n/e"
"02.01.2018 19:15 - 02.01.2018 19:30","n/e","n/e","n/e","n/e","3576","n/e","n/e","16420","n/e"
"02.01.2018 19:30 - 02.01.2018 19:45","n/e","n/e","n/e","n/e","3623","n/e","n/e","16723","n/e"
"02.01.2018 19:45 - 02.01.2018 20:00","n/e","n/e","n/e","n/e","3684","n/e","n/e","16981","n/e"
"02.01.2018 20:00 - 02.01.2018 20:15","n/e","n/e","n/e","n/e","3718","n/e","n/e","17133","n/e"
"02.01.2018 20:15 - 02.01.2018 20:30","n/e","n/e","n/e","n/e","3857","n/e","n/e","17230","n/e"
"02.01.2018 20:30 - 02.01.2018 20:45","n/e","n/e","n/e","n/e","3879","n/e","n/e","17461","n/e"
"02.01.2018 20:45 - 02.01.2018 21:00","n/e","n/e","n/e","n/e","3919","n/e","n/e","17765","n/e"
"02.01.2018 21:00 - 02.01.2018 21:15","n/e","n/e","n/e","n/e","3935","n/e","n/e","18000","n/e"
"02.01.2018 21:15 - 02.01.2018 21:30","n/e","n/e","n/e","n/e","3982","n/e","n/e","18328","n/e"
"02.01.2018 21:30 - 02.01.2018 21:45","n/e","n/e","n/e","n/e","4020","n/e","n/e","18667","n/e"
"02.01.2018 21:45 - 02.01.2018 22:00","n/e","n/e","n/e","n/e","4033","n/e","n/e","19006","n/e"
"02.01.2018 22:00 - 02.01.2018 22:15","n/e","n/e","n/e","n/e","4047","n/e","n/e","19351","n/e"
"02.01.2018 22:15 - 02.01.2018 22:30","n/e","n/e","n/e","n/e","4050","n/e","n/e","19767","n/e"
"02.01.2018 22:30 - 02.01.2018 22:45","n/e","n/e","n/e","n/e","4057","n/e","n/e","20185","n/e"
"02.01.2018 22:45 - 02.01.2018 23:00","n/e","n/e","n/e","n/e","4062","n/e","n/e","20601","n/e"
"02.01.2018 23:00 - 02.01.2018 23:15","n/e","n/e","n/e","n/e","4064","n/e","n/e","21055","n/e"
"02.01.2018 23:15 - 02.01.2018 23:30","n/e","n/e","n/e","n/e","4063","n/e","n/e","21587","n/e"
"02.01.2018 23:30 - 02.01.2018 23:45","n/e","n/e","n/e","n/e","4059","n/e","n/e","22140","n/e"
"02.01.2018 23:45 - 03.01.2018 00:00","n/e","n/e","n/e","n/e","4057","n/e","n/e","22738","n/e"
"03.01.2018 00:00 - 03.01.2018 00:15","n/e","n/e","n/e","n/e","4050","n/e","n/e","24634","n/e"
"03.01.2018 00:15 - 03.01.2018 00:30","n/e","n/e","n/e","n/e","4038","n/e","n/e","25005","n/e"
"03.01.2018 00:30 - 03.01.2018 00:45","n/e","n/e","n/e","n/e","4039","n/e","n/e","25525","n/e"
"03.01.2018 00:45 - 03.01.2018 01:00","n/e","n/e","n/e","n/e","4037","n/e","n/e","26048","n/e"
"03.01.2018 01:00 - 03.01.2018 01:15","n/e","n/e","n/e","n/e","3814","n/e","n/e","27863","n/e"
"03.01.2018 01:15 - 03.01.2018 01:30","n/e","n/e","n/e","n/e","4042","n/e","n/e","28514","n/e"
"03.01.2018 01:30 - 03.01.2018 01:45","n/e","n/e","n/e","n/e","4043","n/e","n/e","28911","n/e"
"03.01.2018 01:45 - 03.01.2018 02:00","n/e","n/e","n/e","n/e","4043","n/e","n/e","29394","n/e"
"03.01.2018 02:00 - 03.01.2018 02:15","n/e","n/e","n/e","n/e","4047","n/e","n/e","29878","n/e"
"03.01.2018 02:15 - 03.01.2018 02:30","n/e","n/e","n/e","n/e","4061","n/e","n/e","30312","n/e"
"03.01.2018 02:30 - 03.01.2018 02:45","n/e","n/e","n/e","n/e","4082","n/e","n/e","30514","n/e"
"03.01.2018 02:45 - 03.01.2018 03:00","n/e","n/e","n/e","n/e","4081","n/e","n/e","31145","n/e"
"03.01.2018 03:00 - 03.01.2018 03:15","n/e","n/e","n/e","n/e","4087","n/e","n/e","31392","n/e"
"03.01.2018 03:15 - 03.01.2018 03:30","n/e","n/e","n/e","n/e","4097","n/e","n/e","31718","n/e"
"03.01.2018 03:30 - 03.01.2018 03:45","n/e","n/e","n/e","n/e","4128","n/e","n/e","32146","n/e"
"03.01.2018 03:45 - 03.01.2018 04:00","n/e","n/e","n/e","n/e","4169","n/e","n/e","32707","n/e"
"03.01.2018 04:00 - 03.01.2018 04:15","n/e","n/e","n/e","n/e","4201","n/e","n/e","33103","n/e"
"03.01.2018 04:15 - 03.01.2018 04:30","n/e","n/e","n/e","n/e","4189","n/e","n/e","33381","n/e"
"03.01.2018 04:30 - 03.01.2018 04:45","n/e","n/e","n/e","n/e","4160","n/e","n/e","33669","n/e"
"03.01.2018 04:45 - 03.01.2018 05:00","n/e","n/e","n/e","n/e","4153","n/e","n/e","33946","n/e"
"03.01.2018 05:00 - 03.01.2018 05:15","n/e","n/e","n/e","n/e","4154","n/e","n/e","34091","n/e"
"03.01.2018 05:15 - 03.01.2018 05:30","n/e","n/e","n/e","n/e","4163","n/e","n/e","34465","n/e"
"03.01.2018 05:30 - 03.01.2018 05:45","n/e","n/e","n/e","n/e","4176","n/e","n/e","34741","n/e"
"03.01.2018 05:45 - 03.01.2018 06:00","n/e","n/e","n/e","n/e","4188","n/e","n/e","34984","n/e"
"03.01.2018 06:00 - 03.01.2018 06:15","n/e","n/e","n/e","n/e","4206","n/e","n/e","35290","n/e"
"03.01.2018 06:15 - 03.01.2018 06:30","n/e","n/e","n/e","n/e","4112","n/e","n/e","35400","n/e"
"03.01.2018 06:30 - 03.01.2018 06:45","n/e","n/e","n/e","n/e","4109","n/e","n/e","35583","n/e"
"03.01.2018 06:45 - 03.01.2018 07:00","n/e","n/e","n/e","n/e","4114","n/e","n/e","35679","n/e"
"03.01.2018 07:00 - 03.01.2018 07:15","n/e","n/e","n/e","n/e","4121","n/e","n/e","35556","n/e"
"03.01.2018 07:15 - 03.01.2018 07:30","n/e","n/e","n/e","n/e","3994","n/e","n/e","35331","n/e"
"03.01.2018 07:30 - 03.01.2018 07:45","n/e","n/e","n/e","n/e","3994","n/e","n/e","35362","n/e"
"03.01.2018 07:45 - 03.01.2018 08:00","n/e","n/e","n/e","n/e","4000","n/e","n/e","35279","n/e"
