"MTU (CET/CEST)","Generation - Solar [MW] Day Ahead/ BZN|DE-AT-LU","Generation - Solar [MW] Intraday / BZN|DE-AT-LU","Generation - Solar [MW] Current / BZN|DE-AT-LU","Generation - Wind Offshore [MW] Day Ahead/ BZN|DE-AT-LU","Generation - Wind Offshore [MW] Intraday / BZN|DE-AT-LU","Generation - Wind Offshore [MW] Current / BZN|DE-AT-LU","Generation - Wind Onshore [MW] Day Ahead/ BZN|DE-AT-LU","Generation - Wind Onshore [MW] Intraday / BZN|DE-AT-LU","Generation - Wind Onshore [MW] Current / BZN|DE-AT-LU"
"01.01.2018 00:00 - 01.01.2018 00:15","0","0","0","3417","3216","3156","28797","28033","16792"
"01.01.2018 00:15 - 01.01.2018 00:30","0","0","0","3437","2882","2823","29092","28446","17367"
"01.01.2018 00:30 - 01.01.2018 00:45","0","0","0","3453","2899","2840","29401","28771","17522"
"01.01.2018 00:45 - 01.01.2018 01:00","0","0","0","3469","2936","2880","29688","29085","17670"
"01.01.2018 01:00 - 01.01.2018 01:15","0","0","0","3318","2790","2736","29939","29832","18140"
"01.01.2018 01:15 - 01.01.2018 01:30","0","0","0","3319","2908","2853","30171","30237","18439"
"01.01.2018 01:30 - 01.01.2018 01:45","0","0","0","3319","2931","2875","30416","30577","18838"
"01.01.2018 01:45 - 01.01.2018 02:00","0","0","0","3323","2936","2880","30717","31244","19093"
"01.01.2018 02:00 - 01.01.2018 02:15","0","0","0","3329","2931","2875","31066","31663","19374"
"01.01.2018 02:15 - 01.01.2018 02:30","0","0","0","3335","2950","2891","31375","31783","19711"
"01.01.2018 02:30 - 01.01.2018 02:45","0","0","0","3344","2974","2912","31678","31663","19801"
"01.01.2018 02:45 - 01.01.2018 03:00","0","0","0","3357","2989","2923","31964","31784","20187"
"01.01.2018 03:00 - 01.01.2018 03:15","0","0","0","3366","2972","2902","32231","32378","20582"
"01.01.2018 03:15 - 01.01.2018 03:30","0","0","0","3369","3000","2925","32459","32538","20737"
"01.01.2018 03:30 - 01.01.2018 03:45","0","0","0","3375","2995","2914","32691","32696","20878"
"01.01.2018 03:45 - 01.01.2018 04:00","0","0","0","3387","3020","2931","32972","33119","21226"
"01.01.2018 04:00 - 01.01.2018 04:15","0","0","0","3395","3013","2913","33225","33398","21332"
"01.01.2018 04:15 - 01.01.2018 04:30","0","0","0","3394","2992","2875","33354","33509","21287"
"01.01.2018 04:30 - 01.01.2018 04:45","0","0","0","3394","3010","2878","33476","33610","21411"
"01.01.2018 04:45 - 01.01.2018 05:00","0","0","0","3407","3038","2880","33591","33831","21336"
"01.01.2018 05:00 - 01.01.2018 05:15","0","0","0","3446","3097","2887","33678","33959","21123"
"01.01.2018 05:15 - 01.01.2018 05:30","0","0","0","3439","3090","2869","33885","33959","20885"
"01.01.2018 05:30 - 01.01.2018 05:45","0","0","0","3443","3094","2861","34085","33826","20679"
"01.01.2018 05:45 - 01.01.2018 06:00","0","0","0","3454","3105","2860","34284","33767","21084"
"01.01.2018 06:00 - 01.01.2018 06:15","0","0","0","3460","3119","2861","34425","33798","21439"
"01.01.2018 06:15 - 01.01.2018 06:30","0","0","0","3461","3149","2877","34484","33687","21483"
"01.01.2018 06:30 - 01.01.2018 06:45","0","0","0","3459","3193","2905","34548","33387","21054"
"01.01.2018 06:45 - 01.01.2018 07:00","0","0","0","3467","3238","2936","34605","33443","21083"
"01.01.2018 07:00 - 01.01.2018 07:15","8","0","0","3487","3279","2965","34673","33397","20985"
"01.01.2018 07:15 - 01.01.2018 07:30","8","0","0","3505","3260","2951","34683","33454","20718"
"01.01.2018 07:30 - 01.01.2018 07:45","9","0","0","3522","3252","2943","34693","33460","20860"
"01.01.2018 07:45 - 01.01.2018 08:00","9","0","0","3537","3245","2935","34714","33179","20406"
"01.01.2018 08:00 - 01.01.2018 08:15","20","10","2","3549","3225","2915","34696","33215","20361"
"01.01.2018 08:15 - 01.01.2018 08:30","67","40","20","3570","3215","2905","34641","33323","19491"
"01.01.2018 08:30 - 01.01.2018 08:45","251","163","84","3586","3222","2912","34599","33271","19651"
"01.01.2018 08:45 - 01.01.2018 09:00","599","407","184","3605","3228","2917","34576","33212","18866"
"01.01.2018 09:00 - 01.01.2018 09:15","1039","756","354","3621","3231","2920","34574","33103","18698"
"01.01.2018 09:15 - 01.01.2018 09:30","1546","1207","583","3634","3215","2904","34547","33009","18790"
"01.01.2018 09:30 - 01.01.2018 09:45","2110","1746","890","3643","3218","2907","34534","33088","18971"
"01.01.2018 09:45 - 01.01.2018 10:00","2713","2385","1133","3658","3218","2907","34488","33044","19054"
"01.01.2018 10:00 - 01.01.2018 10:15","3303","3014","1426","3666","3220","2909","34460","32945","18908"
"01.01.2018 10:15 - 01.01.2018 10:30","3856","3649","1690","3665","3198","2887","34483","32904","18889"
"01.01.2018 10:30 - 01.01.2018 10:45","4370","4245","1935","3668","3205","2894","34510","33096","18799"
"01.01.2018 10:45 - 01.01.2018 11:00","4852","4746","2293","3668","3208","2897","34531","33044","19072"
"01.01.2018 11:00 - 01.01.2018 11:15","5274","5118","2594","3669","3211","2900","34521","32952","19128"
"01.01.2018 11:15 - 01.01.2018 11:30","5620","5530","2958","3667","3204","2893","34438","32914","19073"
"01.01.2018 11:30 - 01.01.2018 11:45","5894","5811","3169","3666","3209","2898","34344","32958","19160"
"01.01.2018 11:45 - 01.01.2018 12:00","6103","5982","3266","3666","3213","2902","34211","32840","19404"
"01.01.2018 12:00 - 01.01.2018 12:15","6244","6059","3301","3661","3218","2907","34025","32615","19232"
"01.01.2018 12:15 - 01.01.2018 12:30","6284","6113","3272","3653","3210","2899","33677","32323","19104"
"01.01.2018 12:30 - 01.01.2018 12:45","6228","6004","3234","3647","3216","2905","33333","32181","19094"
"01.01.2018 12:45 - 01.01.2018 13:00","6139","6009","3141","3642","3217","2906","32963","31613","18857"
"01.01.2018 13:00 - 01.01.2018 13:15","5980","5892","3135","3639","3222","2911","32520","31272","18565"
"01.01.2018 13:15 - 01.01.2018 13:30","5744","5698","3155","3621","3209","2898","31839","30178","18516"
"01.01.2018 13:30 - 01.01.2018 13:45","5444","5402","3061","3610","3209","2898","31114","29347","18165"
"01.01.2018 13:45 - 01.01.2018 14:00","5092","5080","2863","3593","3211","2900","30392","28384","17676"
"01.01.2018 14:00 - 01.01.2018 14:15","4683","4732","2629","3574","3207","2896","29566","27536","17102"
"01.01.2018 14:15 - 01.01.2018 14:30","4190","4321","2396","3550","3190","2879","28523","26669","16687"
"01.01.2018 14:30 - 01.01.2018 14:45","3601","3753","2073","3527","3192","2881","27477","25623","15911"
"01.01.2018 14:45 - 01.01.2018 15:00","2997","3091","1721","3500","3187","2876","26413","24720","15192"
"01.01.2018 15:00 - 01.01.2018 15:15","2364","2445","1346","3468","3183","2872","25376","23684","14626"
"01.01.2018 15:15 - 01.01.2018 15:30","1757","1804","1020","3425","3171","2861","24391","22849","14120"
"01.01.2018 15:30 - 01.01.2018 15:45","1188","1191","697","3384","3159","2849","23401","22017","13260"
"01.01.2018 15:45 - 01.01.2018 16:00","641","623","419","3339","3141","2831","22435","21078","13140"
"01.01.2018 16:00 - 01.01.2018 16:15","262","242","144","3291","3503","3193","21577","20222","12705"
"01.01.2018 16:15 - 01.01.2018 16:30","91","79","22","3230","3987","3678","21025","19764","12433"
"01.01.2018 16:30 - 01.01.2018 16:45","36","19","2","3174","4001","3692","20479","19300","11891"
"01.01.2018 16:45 - 01.01.2018 17:00","14","5","0","3116","3955","3647","19965","18830","11861"
"01.01.2018 17:00 - 01.01.2018 17:15","8","0","0","3055","3878","3571","19539","18409","11594"
"01.01.2018 17:15 - 01.01.2018 17:30","8","0","0","2993","3768","3460","19266","18235","11238"
"01.01.2018 17:30 - 01.01.2018 17:45","8","0","0","2933","3645","3338","18988","17847","10966"
