"MTU (CET/CEST)","Generation - Solar [MW] Day Ahead/ BZN|DE-AT-LU","Generation - Solar [MW] Intraday / BZN|DE-AT-LU","Generation - Solar [MW] Current / BZN|DE-AT-LU","Generation - Wind Offshore [MW] Day Ahead/ BZN|DE-AT-LU","Generation - Wind Offshore [MW] Intraday / BZN|DE-AT-LU","Generation - Wind Offshore [MW] Current / BZN|DE-AT-LU","Generation - Wind Onshore [MW] Day Ahead/ BZN|DE-AT-LU","Generation - Wind Onshore [MW] Intraday / BZN|DE-AT-LU","Generation - Wind Onshore [MW] Current / BZN|DE-AT-LU"
"01.01.2018 17:45 - 01.01.2018 18:00","8","0","0","2873","3563","3257","18739","17523","10892"
"01.01.2018 18:00 - 01.01.2018 18:15","8","0","0","2810","3501","3195","18525","17167","10873"
"01.01.2018 18:15 - 01.01.2018 18:30","8","0","0","2745","3344","3039","18342","17175","10857"
"01.01.2018 18:30 - 01.01.2018 18:45","8","0","0","2676","3221","2917","18155","17076","10632"
"01.01.2018 18:45 - 01.01.2018 19:00","8","0","0","2615","3101","2798","17999","16893","10465"
"01.01.2018 19:00 - 01.01.2018 19:15","0","0","0","2557","2982","2680","17834","16756","10339"
"01.01.2018 19:15 - 01.01.2018 19:30","0","0","0","2491","2956","2657","17517","16548","10013"
"01.01.2018 19:30 - 01.01.2018 19:45","0","0","0","2421","2833","2528","17212","16290","9741"
"01.01.2018 19:45 - 01.01.2018 20:00","0","0","0","2340","2737","2435","16905","16026","9539"
"01.01.2018 20:00 - 01.01.2018 20:15","0","0","0","2272","2669","2369","16567","15494","9319"
"01.01.2018 20:15 - 01.01.2018 20:30","0","0","0","2193","2550","2253","16349","15245","9198"
"01.01.2018 20:30 - 01.01.2018 20:45","0","0","0","2122","2509","2215","16117","15132","9030"
"01.01.2018 20:45 - 01.01.2018 21:00","0","0","0","2051","2456","2164","15852","14960","8709"
"01.01.2018 21:00 - 01.01.2018 21:15","0","0","0","1988","2385","2096","15596","14746","8390"
"01.01.2018 21:15 - 01.01.2018 21:30","0","0","0","1925","2335","2050","15347","14530","8088"
"01.01.2018 21:30 - 01.01.2018 21:45","0","0","0","1863","2236","1955","15095","14311","7821"
"01.01.2018 21:45 - 01.01.2018 22:00","0","0","0","1802","2124","1847","14895","14144","7992"
"01.01.2018 22:00 - 01.01.2018 22:15","0","0","0","1740","2038","1816","14701","13983","8012"
"01.01.2018 22:15 - 01.01.2018 22:30","0","0","0","1700","1961","1889","14674","13899","7906"
"01.01.2018 22:30 - 01.01.2018 22:45","0","0","0","1653","1887","1830","14665","13837","7853"
"01.01.2018 22:45 - 01.01.2018 23:00","0","0","0","1610","1817","1842","14743","13849","7903"
"01.01.2018 23:00 - 01.01.2018 23:15","0","0","0","1577","1756","1835","14826","13860","8164"
"01.01.2018 23:15 - 01.01.2018 23:30","0","0","0","1550","1713","1815","14835","13789","8253"
"01.01.2018 23:30 - 01.01.2018 23:45","0","0","0","1530","1679","1799","14844","13720","8458"
"01.01.2018 23:45 - 02.01.2018 00:00","0","0","0","1505","1648","1738","14865","13683","8490"
"02.01.2018 00:00 - 02.01.2018 00:15","0","0","0","1564","1828","1646","13622","14151","8564"
"02.01.2018 00:15 - 02.01.2018 00:30","0","0","0","1553","1771","1600","13618","13999","8817"
"02.01.2018 00:30 - 02.01.2018 00:45","0","0","0","1547","1700","1540","13617","13734","8971"
"02.01.2018 00:45 - 02.01.2018 01:00","0","0","0","1547","1628","1476","13593","13581","9022"
"02.01.2018 01:00 - 02.01.2018 01:15","0","0","0","1549","1538","1391","13535","14449","9317"
"02.01.2018 01:15 - 02.01.2018 01:30","0","0","0","1547","1339","1203","13494","14554","9567"
"02.01.2018 01:30 - 02.01.2018 01:45","0","0","0","1546","1358","1232","13447","14797","9920"
"02.01.2018 01:45 - 02.01.2018 02:00","0","0","0","1548","1341","1223","13390","14808","10149"
"02.01.2018 02:00 - 02.01.2018 02:15","0","0","0","1547","1354","1244","13462","14753","10252"
"02.01.2018 02:15 - 02.01.2018 02:30","0","0","0","1540","1438","1339","13493","14462","10247"
"02.01.2018 02:30 - 02.01.2018 02:45","0","0","0","1535","1444","1354","13526","14359","10160"
"02.01.2018 02:45 - 02.01.2018 03:00","0","0","0","1531","1435","1352","13558","14480","10276"
"02.01.2018 03:00 - 02.01.2018 03:15","0","0","0","1533","1424","1348","13561","14357","10263"
"02.01.2018 03:15 - 02.01.2018 03:30","0","0","0","1548","1464","1393","13547","14347","10271"
"02.01.2018 03:30 - 02.01.2018 03:45","0","0","0","1559","1475","1409","13527","14385","10238"
"02.01.2018 03:45 - 02.01.2018 04:00","0","0","0","1573","1492","1430","13490","14452","10328"
"02.01.2018 04:00 - 02.01.2018 04:15","0","0","0","1594","1540","1482","13461","14532","10517"
"02.01.2018 04:15 - 02.01.2018 04:30","0","0","0","1628","1665","1610","13453","14843","10600"
"02.01.2018 04:30 - 02.01.2018 04:45","0","0","0","1662","1697","1645","13451","15054","10706"
"02.01.2018 04:45 - 02.01.2018 05:00","0","0","0","1698","1718","1669","13460","15203","10800"
"02.01.2018 05:00 - 02.01.2018 05:15","0","0","0","1725","1755","1708","13500","15299","10836"
"02.01.2018 05:15 - 02.01.2018 05:30","0","0","0","1751","1842","1796","13599","15401","10614"
"02.01.2018 05:30 - 02.01.2018 05:45","0","0","0","1777","1915","1871","13700","15477","10573"
"02.01.2018 05:45 - 02.01.2018 06:00","0","0","0","1809","1908","1866","13802","15620","10496"
"02.01.2018 06:00 - 02.01.2018 06:15","0","0","0","1831","1898","1857","13911","15722","10340"
"02.01.2018 06:15 - 02.01.2018 06:30","0","0","0","1828","1950","1911","14025","15792","10262"
"02.01.2018 06:30 - 02.01.2018 06:45","0","0","0","1829","1952","1915","14126","15696","10172"
"02.01.2018 06:45 - 02.01.2018 07:00","0","0","0","1828","1989","1954","14239","15580","10233"
"02.01.2018 07:00 - 02.01.2018 07:15","8","0","0","1828","2052","2019","14333","15598","10107"
"02.01.2018 07:15 - 02.01.2018 07:30","8","0","0","1815","2086","2054","14384","15490","10239"
"02.01.2018 07:30 - 02.01.2018 07:45","8","0","0","1806","2134","2098","14443","15425","10464"
"02.01.2018 07:45 - 02.01.2018 08:00","8","0","0","1795","2054","2018","14508","15258","10325"
"02.01.2018 08:00 - 02.01.2018 08:15","21","8","2","1774","1958","1922","14562","15169","10240"
"02.01.2018 08:15 - 02.01.2018 08:30","55","32","15","1726","1950","1911","14618","15048","10355"
"02.01.2018 08:30 - 02.01.2018 08:45","154","112","54","1684","1917","1877","14689","15034","10431"
"02.01.2018 08:45 - 02.01.2018 09:00","303","237","117","1642","1805","1764","14749","14919","10467"
"02.01.2018 09:00 - 02.01.2018 09:15","518","404","219","1597","1825","1784","14794","14873","10412"
"02.01.2018 09:15 - 02.01.2018 09:30","794","636","366","1568","1831","1789","14804","14854","10329"
"02.01.2018 09:30 - 02.01.2018 09:45","1105","906","557","1541","1769","1727","14816","14823","10375"
"02.01.2018 09:45 - 02.01.2018 10:00","1435","1190","799","1513","1699","1656","14802","14899","10262"
"02.01.2018 10:00 - 02.01.2018 10:15","1770","1494","1004","1503","1660","1617","14837","14938","10283"
"02.01.2018 10:15 - 02.01.2018 10:30","2095","1809","1244","1527","1751","1707","14947","14890","10365"
"02.01.2018 10:30 - 02.01.2018 10:45","2418","2120","1434","1558","1816","1771","15059","14781","10399"
"02.01.2018 10:45 - 02.01.2018 11:00","2701","2380","1631","1585","1837","1792","15191","14745","10408"
"02.01.2018 11:00 - 02.01.2018 11:15","2951","2628","1805","1636","1852","1806","15356","14863","10401"
"02.01.2018 11:15 - 02.01.2018 11:30","3167","2871","1920","1706","1951","1905","15532","15087","10328"
"02.01.2018 11:30 - 02.01.2018 11:45","3350","3054","2039","1778","1990","1944","15734","15255","10339"
"02.01.2018 11:45 - 02.01.2018 12:00","3512","3212","2108","1860","2019","1973","15992","15409","10427"
"02.01.2018 12:00 - 02.01.2018 12:15","3625","3305","2130","1932","2139","2093","16226","15507","10451"
"02.01.2018 12:15 - 02.01.2018 12:30","3663","3372","2120","2000","2251","2204","16412","15578","10589"
"02.01.2018 12:30 - 02.01.2018 12:45","3656","3379","2143","2068","2437","2389","16592","15666","10652"
"02.01.2018 12:45 - 02.01.2018 13:00","3635","3347","2153","2135","2519","2470","16718","15753","10598"
"02.01.2018 13:00 - 02.01.2018 13:15","3570","3264","2099","2203","2558","2505","16797","15757","10759"
"02.01.2018 13:15 - 02.01.2018 13:30","3428","3191","2056","2253","2683","2629","16689","15436","10561"
"02.01.2018 13:30 - 02.01.2018 13:45","3230","3063","1963","2305","2697","2641","16561","15131","10457"
"02.01.2018 13:45 - 02.01.2018 14:00","2999","2870","1816","2352","2668","2611","16445","14939","10192"
"02.01.2018 14:00 - 02.01.2018 14:15","2747","2607","1669","2395","2629","2570","16316","14713","9838"
"02.01.2018 14:15 - 02.01.2018 14:30","2459","2365","1576","2437","2578","2518","16083","14354","9524"
"02.01.2018 14:30 - 02.01.2018 14:45","2118","2038","1425","2474","2522","2461","15859","14103","9337"
"02.01.2018 14:45 - 02.01.2018 15:00","1753","1668","1146","2516","2499","2437","15639","13896","8947"
"02.01.2018 15:00 - 02.01.2018 15:15","1379","1305","945","2547","2513","2450","15431","13616","8553"
"02.01.2018 15:15 - 02.01.2018 15:30","1017","942","659","2582","2303","2241","15243","13447","8526"
"02.01.2018 15:30 - 02.01.2018 15:45","684","617","426","2614","2317","2256","15050","13195","8362"
"02.01.2018 15:45 - 02.01.2018 16:00","394","340","245","2640","2345","2284","14898","12990","8347"
"02.01.2018 16:00 - 02.01.2018 16:15","183","149","96","2672","2415","2354","14790","12856","8557"
"02.01.2018 16:15 - 02.01.2018 16:30","77","53","21","2713","2457","2396","14909","13012","9294"
"02.01.2018 16:30 - 02.01.2018 16:45","33","13","3","2751","2663","2601","15028","13263","9478"
"02.01.2018 16:45 - 02.01.2018 17:00","13","3","0","2799","2743","2681","15133","13484","9682"
"02.01.2018 17:00 - 02.01.2018 17:15","8","0","0","2848","2884","2822","15274","13537","9641"
"02.01.2018 17:15 - 02.01.2018 17:30","8","0","0","2898","3040","2978","15484","13665","9823"
"02.01.2018 17:30 - 02.01.2018 17:45","8","0","0","2948","3069","3008","15693","13867","10061"
"02.01.2018 17:45 - 02.01.2018 18:00","8","0","0","2993","3149","3088","15918","14125","10327"
"02.01.2018 18:00 - 02.01.2018 18:15","8","0","0","3033","3194","3133","16140","14352","10528"
"02.01.2018 18:15 - 02.01.2018 18:30","8","0","0","3070","3223","3163","16373","14724","10867"
"02.01.2018 18:30 - 02.01.2018 18:45","8","0","0","3109","3242","3183","16611","15099","11045"
"02.01.2018 18:45 - 02.01.2018 19:00","8","0","0","3142","3349","3290","16843","15468","11032"
"02.01.2018 19:00 - 02.01.2018 19:15","0","0","0","3175","3511","3453","17066","15948","11237"
"02.01.2018 19:15 - 02.01.2018 19:30","0","0","0","3194","3576","3517","17335","16420","11725"
"02.01.2018 19:30 - 02.01.2018 19:45","0","0","0","3212","3623","3562","17611","16723","12059"
"02.01.2018 19:45 - 02.01.2018 20:00","0","0","0","3230","3684","3621","17890","16981","12343"
"02.01.2018 20:00 - 02.01.2018 20:15","0","0","0","3247","3718","3646","18166","17133","12714"
"02.01.2018 20:15 - 02.01.2018 20:30","0","0","0","3269","3857","3785","18466","17230","12984"
"02.01.2018 20:30 - 02.01.2018 20:45","0","0","0","3293","3879","3807","18763","17461","13477"
"02.01.2018 20:45 - 02.01.2018 21:00","0","0","0","3321","3919","3846","19041","17765","13794"
"02.01.2018 21:00 - 02.01.2018 21:15","0","0","0","3356","3935","3861","19311","18000","14067"
"02.01.2018 21:15 - 02.01.2018 21:30","0","0","0","3366","3982","3910","19631","18328","14336"
"02.01.2018 21:30 - 02.01.2018 21:45","0","0","0","3371","4020","3949","19955","18667","14614"
"02.01.2018 21:45 - 02.01.2018 22:00","0","0","0","3379","4033","3962","20245","19006","14902"
"02.01.2018 22:00 - 02.01.2018 22:15","0","0","0","3388","4047","3980","20552","19351","15232"
"02.01.2018 22:15 - 02.01.2018 22:30","0","0","0","3405","4050","4003","20835","19767","15694"
"02.01.2018 22:30 - 02.01.2018 22:45","0","0","0","3422","4057","3996","21134","20185","16060"
"02.01.2018 22:45 - 02.01.2018 23:00","0","0","0","3437","4062","3999","21434","20601","16168"
"02.01.2018 23:00 - 02.01.2018 23:15","0","0","0","3452","4064","3996","21755","21055","16569"
"02.01.2018 23:15 - 02.01.2018 23:30","0","0","0","3457","4063","3985","22132","21587","17042"
"02.01.2018 23:30 - 02.01.2018 23:45","0","0","0","3462","4059","3982","22519","22140","17233"
"02.01.2018 23:45 - 03.01.2018 00:00","0","0","0","3469","4057","3978","22902","22738","17346"
"03.01.2018 00:00 - 03.01.2018 00:15","0","0","0","3617","4050","3966","24391","24634","17654"
"03.01.2018 00:15 - 03.01.2018 00:30","0","0","0","3615","4038","3953","24794","25005","17943"
"03.01.2018 00:30 - 03.01.2018 00:45","0","0","0","3610","4039","3953","25216","25525","18102"
"03.01.2018 00:45 - 03.01.2018 01:00","0","0","0","3607","4037","3950","25615","26048","18469"
"03.01.2018 01:00 - 03.01.2018 01:15","0","0","0","3490","3814","3724","25910","27863","19015"
"03.01.2018 01:15 - 03.01.2018 01:30","0","0","0","3494","4042","3944","26280","28514","19317"
"03.01.2018 01:30 - 03.01.2018 01:45","0","0","0","3501","4043","3936","26656","28911","19446"
"03.01.2018 01:45 - 03.01.2018 02:00","0","0","0","3504","4043","3927","27037","29394","19565"
"03.01.2018 02:00 - 03.01.2018 02:15","0","0","0","3512","4047","3921","27317","29878","19797"
"03.01.2018 02:15 - 03.01.2018 02:30","0","0","0","3525","4061","3923","27679","30312","19836"
"03.01.2018 02:30 - 03.01.2018 02:45","0","0","0","3534","4082","3931","28043","30514","19906"
"03.01.2018 02:45 - 03.01.2018 03:00","0","0","0","3552","4081","3916","28379","31145","20238"
"03.01.2018 03:00 - 03.01.2018 03:15","0","0","0","3573","4087","3905","28738","31392","20303"
"03.01.2018 03:15 - 03.01.2018 03:30","0","0","0","3576","4097","3896","29144","31718","20343"
"03.01.2018 03:30 - 03.01.2018 03:45","0","0","0","3584","4128","3906","29570","32146","20372"
"03.01.2018 03:45 - 03.01.2018 04:00","0","0","0","3590","4169","3920","30026","32707","20808"
"03.01.2018 04:00 - 03.01.2018 04:15","0","0","0","3591","4201","3924","30425","33103","20954"
"03.01.2018 04:15 - 03.01.2018 04:30","0","0","0","3583","4189","3908","30741","33381","21159"
"03.01.2018 04:30 - 03.01.2018 04:45","0","0","0","3580","4160","3875","31053","33669","21442"
"03.01.2018 04:45 - 03.01.2018 05:00","0","0","0","3574","4153","3864","31353","33946","21591"
"03.01.2018 05:00 - 03.01.2018 05:15","0","0","0","3600","4154","3860","31677","34091","21816"
"03.01.2018 05:15 - 03.01.2018 05:30","0","0","0","3626","4163","3865","31981","34465","22022"
"03.01.2018 05:30 - 03.01.2018 05:45","0","0","0","3658","4176","3875","32289","34741","22200"
"03.01.2018 05:45 - 03.01.2018 06:00","0","0","0","3684","4188","3884","32623","34984","22270"
"03.01.2018 06:00 - 03.01.2018 06:15","0","0","0","3711","4206","3899","32934","35290","22087"
"03.01.2018 06:15 - 03.01.2018 06:30","0","0","0","3724","4112","3803","33247","35400","21820"
"03.01.2018 06:30 - 03.01.2018 06:45","0","0","0","3739","4109","3798","33597","35583","21774"
"03.01.2018 06:45 - 03.01.2018 07:00","0","0","0","3755","4114","3800","33950","35679","22370"
"03.01.2018 07:00 - 03.01.2018 07:15","8","0","0","3756","4121","3805","34166","35556","22451"
"03.01.2018 07:15 - 03.01.2018 07:30","8","0","0","3748","3994","3678","34131","35331","22311"
"03.01.2018 07:30 - 03.01.2018 07:45","8","0","0","3737","3994","3683","34105","35362","21976"
"03.01.2018 07:45 - 03.01.2018 08:00","8","0","0","3726","4000","3689","34056","35279","21284"
"03.01.2018 08:00 - 03.01.2018 08:15","14","4","1","3714","4006","3695","34124","35211","21209"
"03.01.2018 08:15 - 03.01.2018 08:30","35","21","14","3696","3968","3657","34373","34994","21005"
"03.01.2018 08:30 - 03.01.2018 08:45","88","62","51","3683","3970","3659","34591","34865","21104"
"03.01.2018 08:45 - 03.01.2018 09:00","181","138","117","3668","3976","3665","34790","34451","21032"
"03.01.2018 09:00 - 03.01.2018 09:15","312","242","181","3656","3978","3667","35025","34434","21263"
"03.01.2018 09:15 - 03.01.2018 09:30","491","391","288","3653","3966","3655","35356","34358","21368"
"03.01.2018 09:30 - 03.01.2018 09:45","697","571","464","3644","3971","3660","35663","34143","21376"
"03.01.2018 09:45 - 03.01.2018 10:00","930","786","714","3641","3972","3661","35955","33978","21468"
"03.01.2018 10:00 - 03.01.2018 10:15","1180","1031","899","3625","3973","3662","36154","34473","21457"
"03.01.2018 10:15 - 03.01.2018 10:30","1431","1295","1087","3578","3933","3623","36347","34303","21485"
"03.01.2018 10:30 - 03.01.2018 10:45","1675","1584","1141","3535","3899","3589","36510","34475","21533"
"03.01.2018 10:45 - 03.01.2018 11:00","1902","1879","1266","3490","3878","3569","36616","34540","21750"
"03.01.2018 11:00 - 03.01.2018 11:15","2119","2210","1381","3449","3842","3534","36727","34480","22155"
"03.01.2018 11:15 - 03.01.2018 11:30","2316","2582","1483","3409","3781","3475","36859","34422","22367"
"03.01.2018 11:30 - 03.01.2018 11:45","2473","2778","1491","3360","3705","3401","37012","34316","22449"
"03.01.2018 11:45 - 03.01.2018 12:00","2627","2967","1511","3316","3668","3366","37197","34315","22933"
"03.01.2018 12:00 - 03.01.2018 12:15","2758","3076","1560","3278","3537","3235","37348","34305","22845"
"03.01.2018 12:15 - 03.01.2018 12:30","2845","3035","1604","3223","3346","3071","37472","34218","22894"
"03.01.2018 12:30 - 03.01.2018 12:45","2888","3083","1653","3190","3194","2938","37541","34369","23016"
"03.01.2018 12:45 - 03.01.2018 13:00","2901","2997","1490","3156","3202","2958","37550","34515","23144"
"03.01.2018 13:00 - 03.01.2018 13:15","2875","3108","1493","3104","3159","2923","37502","34809","23335"
"03.01.2018 13:15 - 03.01.2018 13:30","2793","2982","1430","3044","3144","2921","37437","34776","23174"
"03.01.2018 13:30 - 03.01.2018 13:45","2655","2894","1368","2995","3003","2809","37351","34967","22912"
"03.01.2018 13:45 - 03.01.2018 14:00","2487","2678","1331","2951","2882","2705","37265","35125","22765"
"03.01.2018 14:00 - 03.01.2018 14:15","2314","2490","1239","2924","2785","2621","37216","35311","22723"
"03.01.2018 14:15 - 03.01.2018 14:30","2103","2209","1106","2900","2769","2614","37199","35104","22970"
"03.01.2018 14:30 - 03.01.2018 14:45","1844","1898","973","2879","2842","2694","37183","35013","23133"
"03.01.2018 14:45 - 03.01.2018 15:00","1561","1565","784","2866","2914","2770","37164","35165","23225"
"03.01.2018 15:00 - 03.01.2018 15:15","1251","1238","627","2875","2920","2780","37149","35100","23277"
"03.01.2018 15:15 - 03.01.2018 15:30","909","887","459","2934","2895","2764","37147","35287","23048"
"03.01.2018 15:30 - 03.01.2018 15:45","609","567","324","2988","2906","2782","37161","35241","22851"
"03.01.2018 15:45 - 03.01.2018 16:00","358","319","200","3045","2882","2765","37199","35488","22911"
"03.01.2018 16:00 - 03.01.2018 16:15","175","149","83","3111","2828","2719","37213","35640","22991"
"03.01.2018 16:15 - 03.01.2018 16:30","72","55","19","3204","2796","2686","37169","35933","23140"
"03.01.2018 16:30 - 03.01.2018 16:45","30","15","3","3268","2901","2790","37227","35973","23219"
"03.01.2018 16:45 - 03.01.2018 17:00","12","3","0","3331","3020","2907","37288","36279","23090"
"03.01.2018 17:00 - 03.01.2018 17:15","8","0","0","3368","3108","2993","37353","36455","22921"
"03.01.2018 17:15 - 03.01.2018 17:30","8","0","0","3376","2986","2869","37497","36833","22931"
"03.01.2018 17:30 - 03.01.2018 17:45","8","0","0","3383","3088","2967","37640","37105","22911"
