"Time (CET/CEST)","Day-ahead Total Load Forecast [MW] - BZN|DE-LU","Actual Total Load [MW] - BZN|DE-LU"
"01.01.2018 08:45 - 01.01.2018 09:00","n/e","n/e"
"01.01.2018 09:00 - 01.01.2018 09:15","n/e","n/e"
"01.01.2018 09:15 - 01.01.2018 09:30","n/e","n/e"
"01.01.2018 09:30 - 01.01.2018 09:45","n/e","n/e"
"01.01.2018 09:45 - 01.01.2018 10:00","n/e","n/e"
"01.01.2018 10:00 - 01.01.2018 10:15","n/e","n/e"
"01.01.2018 10:15 - 01.01.2018 10:30","n/e","n/e"
"01.01.2018 10:30 - 01.01.2018 10:45","n/e","n/e"
"01.01.2018 10:45 - 01.01.2018 11:00","n/e","n/e"
"01.01.2018 11:00 - 01.01.2018 11:15","n/e","n/e"
"01.01.2018 11:15 - 01.01.2018 11:30","n/e","n/e"
"01.01.2018 11:30 - 01.01.2018 11:45","n/e","n/e"
"01.01.2018 11:45 - 01.01.2018 12:00","n/e","n/e"
"01.01.2018 12:00 - 01.01.2018 12:15","n/e","n/e"
"01.01.2018 12:15 - 01.01.2018 12:30","n/e","n/e"
"01.01.2018 12:30 - 01.01.2018 12:45","n/e","n/e"
"01.01.2018 12:45 - 01.01.2018 13:00","n/e","n/e"
"01.01.2018 13:00 - 01.01.2018 13:15","n/e","n/e"
"01.01.2018 13:15 - 01.01.2018 13:30","n/e","n/e"
"01.01.2018 13:30 - 01.01.2018 13:45","n/e","n/e"
"01.01.2018 13:45 - 01.01.2018 14:00","n/e","n/e"
"01.01.2018 14:00 - 01.01.2018 14:15","n/e","n/e"
"01.01.2018 14:15 - 01.01.2018 14:30","n/e","n/e"
"01.01.2018 14:30 - 01.01.2018 14:45","n/e","n/e"
"01.01.2018 14:45 - 01.01.2018 15:00","n/e","n/e"
"01.01.2018 15:00 - 01.01.2018 15:15","n/e","n/e"
"01.01.2018 15:15 - 01.01.2018 15:30","n/e","n/e"
"01.01.2018 15:30 - 01.01.2018 15:45","n/e","n/e"
"01.01.2018 15:45 - 01.01.2018 16:00","n/e","n/e"
"01.01.2018 16:00 - 01.01.2018 16:15","n/e","n/e"
"01.01.2018 16:15 - 01.01.2018 16:30","n/e","n/e"
"01.01.2018 16:30 - 01.01.2018 16:45","n/e","n/e"
"01.01.2018 16:45 - 01.01.2018 17:00","n/e","n/e"
"01.01.2018 17:00 - 01.01.2018 17:15","n/e","n/e"
"01.01.2018 17:15 - 01.01.2018 17:30","n/e","n/e"
"01.01.2018 17:30 - 01.01.2018 17:45","n/e","n/e"
"01.01.2018 17:45 - 01.01.2018 18:00","n/e","n/e"
