"Time (CET/CEST)","Day-ahead Total Load Forecast [MW] - BZN|DE-AT-LU","Actual Total Load [MW] - BZN|DE-AT-LU"
"01.01.2018 12:15 - 01.01.2018 12:30","58954","59368"
"01.01.2018 12:30 - 01.01.2018 12:45","58588","59705"
"01.01.2018 12:45 - 01.01.2018 13:00","58058","59595"
"01.01.2018 13:00 - 01.01.2018 13:15","57707","59077"
"01.01.2018 13:15 - 01.01.2018 13:30","57006","58436"
"01.01.2018 13:30 - 01.01.2018 13:45","56503","58180"
"01.01.2018 13:45 - 01.01.2018 14:00","55934","57576"
"01.01.2018 14:00 - 01.01.2018 14:15","55493","57115"
"01.01.2018 14:15 - 01.01.2018 14:30","54986","56858"
"01.01.2018 14:30 - 01.01.2018 14:45","54877","57002"
"01.01.2018 14:45 - 01.01.2018 15:00","54794","56816"
"01.01.2018 15:00 - 01.01.2018 15:15","54487","56755"
"01.01.2018 15:15 - 01.01.2018 15:30","54653","56758"
"01.01.2018 15:30 - 01.01.2018 15:45","54907","56905"
"01.01.2018 15:45 - 01.01.2018 16:00","54966","57012"
"01.01.2018 16:00 - 01.01.2018 16:15","55656","57562"
"01.01.2018 16:15 - 01.01.2018 16:30","56003","58512"
"01.01.2018 16:30 - 01.01.2018 16:45","56257","59617"
"01.01.2018 16:45 - 01.01.2018 17:00","58150","61174"
"01.01.2018 17:00 - 01.01.2018 17:15","59694","62578"
"01.01.2018 17:15 - 01.01.2018 17:30","60557","63022"
"01.01.2018 17:30 - 01.01.2018 17:45","61186","63438"
"01.01.2018 17:45 - 01.01.2018 18:00","61480","63585"
"01.01.2018 18:00 - 01.01.2018 18:15","62014","64137"
"01.01.2018 18:15 - 01.01.2018 18:30","62043","64128"
"01.01.2018 18:30 - 01.01.2018 18:45","61892","64125"
"01.01.2018 18:45 - 01.01.2018 19:00","61663","63701"
"01.01.2018 19:00 - 01.01.2018 19:15","61412","63092"
"01.01.2018 19:15 - 01.01.2018 19:30","60872","62746"
"01.01.2018 19:30 - 01.01.2018 19:45","60501","62158"
"01.01.2018 19:45 - 01.01.2018 20:00","60255","61574"
"01.01.2018 20:00 - 01.01.2018 20:15","59466","60748"
"01.01.2018 20:15 - 01.01.2018 20:30","58617","60017"
"01.01.2018 20:30 - 01.01.2018 20:45","57999","59082"
"01.01.2018 20:45 - 01.01.2018 21:00","57366","58196"
"01.01.2018 21:00 - 01.01.2018 21:15","56630","57768"
"01.01.2018 21:15 - 01.01.2018 21:30","56530","57217"
"01.01.2018 21:30 - 01.01.2018 21:45","57312","56847"
"01.01.2018 21:45 - 01.01.2018 22:00","55849","56735"
"01.01.2018 22:00 - 01.01.2018 22:15","56822","57328"
"01.01.2018 22:15 - 01.01.2018 22:30","56334","56829"
"01.01.2018 22:30 - 01.01.2018 22:45","55461","55767"
"01.01.2018 22:45 - 01.01.2018 23:00","54582","55174"
"01.01.2018 23:00 - 01.01.2018 23:15","53774","54328"
"01.01.2018 23:15 - 01.01.2018 23:30","53019","53341"
"01.01.2018 23:30 - 01.01.2018 23:45","52095","52309"
"01.01.2018 23:45 - 02.01.2018 00:00","51781","51182"
"02.01.2018 00:00 - 02.01.2018 00:15","51938","50805"
"02.01.2018 00:15 - 02.01.2018 00:30","51222","49692"
"02.01.2018 00:30 - 02.01.2018 00:45","50747","49161"
"02.01.2018 00:45 - 02.01.2018 01:00","50558","48479"
"02.01.2018 01:00 - 02.01.2018 01:15","50062","47931"
"02.01.2018 01:15 - 02.01.2018 01:30","49659","47306"
"02.01.2018 01:30 - 02.01.2018 01:45","49396","47067"
"02.01.2018 01:45 - 02.01.2018 02:00","49089","46912"
"02.01.2018 02:00 - 02.01.2018 02:15","48785","46724"
"02.01.2018 02:15 - 02.01.2018 02:30","48762","46774"
"02.01.2018 02:30 - 02.01.2018 02:45","48601","46710"
"02.01.2018 02:45 - 02.01.2018 03:00","48553","46658"
"02.01.2018 03:00 - 02.01.2018 03:15","48593","46989"
"02.01.2018 03:15 - 02.01.2018 03:30","48709","46959"
"02.01.2018 03:30 - 02.01.2018 03:45","48717","47182"
"02.01.2018 03:45 - 02.01.2018 04:00","48930","47408"
"02.01.2018 04:00 - 02.01.2018 04:15","49509","47932"
"02.01.2018 04:15 - 02.01.2018 04:30","49876","48166"
"02.01.2018 04:30 - 02.01.2018 04:45","50425","48909"
"02.01.2018 04:45 - 02.01.2018 05:00","51048","49585"
"02.01.2018 05:00 - 02.01.2018 05:15","52309","51119"
"02.01.2018 05:15 - 02.01.2018 05:30","53280","51948"
"02.01.2018 05:30 - 02.01.2018 05:45","54650","53285"
"02.01.2018 05:45 - 02.01.2018 06:00","56272","55005"
"02.01.2018 06:00 - 02.01.2018 06:15","59310","57262"
"02.01.2018 06:15 - 02.01.2018 06:30","61509","59410"
"02.01.2018 06:30 - 02.01.2018 06:45","63773","61120"
"02.01.2018 06:45 - 02.01.2018 07:00","65428","62956"
"02.01.2018 07:00 - 02.01.2018 07:15","67372","65501"
"02.01.2018 07:15 - 02.01.2018 07:30","68691","66802"
"02.01.2018 07:30 - 02.01.2018 07:45","69771","68240"
"02.01.2018 07:45 - 02.01.2018 08:00","71024","69529"
"02.01.2018 08:00 - 02.01.2018 08:15","72110","70858"
"02.01.2018 08:15 - 02.01.2018 08:30","72295","71675"
"02.01.2018 08:30 - 02.01.2018 08:45","72675","72423"
"02.01.2018 08:45 - 02.01.2018 09:00","72696","72862"
"02.01.2018 09:00 - 02.01.2018 09:15","72588","73195"
"02.01.2018 09:15 - 02.01.2018 09:30","72954","73717"
"02.01.2018 09:30 - 02.01.2018 09:45","73181","74389"
"02.01.2018 09:45 - 02.01.2018 10:00","73842","74841"
"02.01.2018 10:00 - 02.01.2018 10:15","74076","75222"
"02.01.2018 10:15 - 02.01.2018 10:30","74523","75597"
"02.01.2018 10:30 - 02.01.2018 10:45","75137","76518"
"02.01.2018 10:45 - 02.01.2018 11:00","75336","76980"
"02.01.2018 11:00 - 02.01.2018 11:15","75553","76892"
"02.01.2018 11:15 - 02.01.2018 11:30","75817","77484"
"02.01.2018 11:30 - 02.01.2018 11:45","76022","78220"
"02.01.2018 11:45 - 02.01.2018 12:00","75956","78497"
"02.01.2018 12:00 - 02.01.2018 12:15","75565","78471"
"02.01.2018 12:15 - 02.01.2018 12:30","75723","78366"
"02.01.2018 12:30 - 02.01.2018 12:45","75414","78422"
"02.01.2018 12:45 - 02.01.2018 13:00","75602","78159"
"02.01.2018 13:00 - 02.01.2018 13:15","75476","77973"
"02.01.2018 13:15 - 02.01.2018 13:30","75296","77758"
"02.01.2018 13:30 - 02.01.2018 13:45","74967","77342"
"02.01.2018 13:45 - 02.01.2018 14:00","74206","76647"
"02.01.2018 14:00 - 02.01.2018 14:15","73958","76373"
"02.01.2018 14:15 - 02.01.2018 14:30","73614","76099"
"02.01.2018 14:30 - 02.01.2018 14:45","73587","75674"
"02.01.2018 14:45 - 02.01.2018 15:00","73927","75457"
"02.01.2018 15:00 - 02.01.2018 15:15","74349","75708"
"02.01.2018 15:15 - 02.01.2018 15:30","73314","75326"
"02.01.2018 15:30 - 02.01.2018 15:45","73227","75178"
"02.01.2018 15:45 - 02.01.2018 16:00","73073","75086"
"02.01.2018 16:00 - 02.01.2018 16:15","73578","75306"
"02.01.2018 16:15 - 02.01.2018 16:30","74439","76147"
"02.01.2018 16:30 - 02.01.2018 16:45","75138","77051"
"02.01.2018 16:45 - 02.01.2018 17:00","74796","78188"
"02.01.2018 17:00 - 02.01.2018 17:15","75550","79296"
"02.01.2018 17:15 - 02.01.2018 17:30","75645","79759"
"02.01.2018 17:30 - 02.01.2018 17:45","76141","79895"
"02.01.2018 17:45 - 02.01.2018 18:00","75883","79960"
"02.01.2018 18:00 - 02.01.2018 18:15","75600","79693"
"02.01.2018 18:15 - 02.01.2018 18:30","75631","79291"
"02.01.2018 18:30 - 02.01.2018 18:45","75427","79354"
"02.01.2018 18:45 - 02.01.2018 19:00","75411","79344"
"02.01.2018 19:00 - 02.01.2018 19:15","74795","78804"
"02.01.2018 19:15 - 02.01.2018 19:30","73874","77997"
"02.01.2018 19:30 - 02.01.2018 19:45","73229","77034"
"02.01.2018 19:45 - 02.01.2018 20:00","72575","76092"
"02.01.2018 20:00 - 02.01.2018 20:15","71210","74933"
"02.01.2018 20:15 - 02.01.2018 20:30","69534","73643"
"02.01.2018 20:30 - 02.01.2018 20:45","68893","72424"
"02.01.2018 20:45 - 02.01.2018 21:00","67960","71078"
"02.01.2018 21:00 - 02.01.2018 21:15","66747","70588"
"02.01.2018 21:15 - 02.01.2018 21:30","66103","69357"
"02.01.2018 21:30 - 02.01.2018 21:45","65856","68775"
"02.01.2018 21:45 - 02.01.2018 22:00","64416","68014"
"02.01.2018 22:00 - 02.01.2018 22:15","64389","68578"
"02.01.2018 22:15 - 02.01.2018 22:30","63656","67700"
"02.01.2018 22:30 - 02.01.2018 22:45","62427","66592"
"02.01.2018 22:45 - 02.01.2018 23:00","60958","65436"
"02.01.2018 23:00 - 02.01.2018 23:15","59759","64167"
"02.01.2018 23:15 - 02.01.2018 23:30","58511","63192"
"02.01.2018 23:30 - 02.01.2018 23:45","57392","62304"
"02.01.2018 23:45 - 03.01.2018 00:00","56478","61200"
"03.01.2018 00:00 - 03.01.2018 00:15","56397","60581"
"03.01.2018 00:15 - 03.01.2018 00:30","55879","59796"
"03.01.2018 00:30 - 03.01.2018 00:45","55207","59006"
"03.01.2018 00:45 - 03.01.2018 01:00","54479","58524"
"03.01.2018 01:00 - 03.01.2018 01:15","53787","57982"
"03.01.2018 01:15 - 03.01.2018 01:30","53310","57197"
"03.01.2018 01:30 - 03.01.2018 01:45","52862","56929"
"03.01.2018 01:45 - 03.01.2018 02:00","52540","56476"
"03.01.2018 02:00 - 03.01.2018 02:15","52351","56511"
"03.01.2018 02:15 - 03.01.2018 02:30","52091","56086"
"03.01.2018 02:30 - 03.01.2018 02:45","52019","56147"
"03.01.2018 02:45 - 03.01.2018 03:00","51931","56189"
"03.01.2018 03:00 - 03.01.2018 03:15","51950","56541"
"03.01.2018 03:15 - 03.01.2018 03:30","51949","56529"
"03.01.2018 03:30 - 03.01.2018 03:45","51981","57006"
"03.01.2018 03:45 - 03.01.2018 04:00","52043","57288"
"03.01.2018 04:00 - 03.01.2018 04:15","52439","57658"
"03.01.2018 04:15 - 03.01.2018 04:30","52808","58344"
"03.01.2018 04:30 - 03.01.2018 04:45","53281","58852"
"03.01.2018 04:45 - 03.01.2018 05:00","53885","59518"
"03.01.2018 05:00 - 03.01.2018 05:15","55113","60835"
"03.01.2018 05:15 - 03.01.2018 05:30","55797","61949"
"03.01.2018 05:30 - 03.01.2018 05:45","56836","63061"
"03.01.2018 05:45 - 03.01.2018 06:00","58061","64542"
"03.01.2018 06:00 - 03.01.2018 06:15","60382","66501"
"03.01.2018 06:15 - 03.01.2018 06:30","62325","68846"
"03.01.2018 06:30 - 03.01.2018 06:45","64185","70659"
"03.01.2018 06:45 - 03.01.2018 07:00","65950","72209"
"03.01.2018 07:00 - 03.01.2018 07:15","67943","73781"
"03.01.2018 07:15 - 03.01.2018 07:30","69223","74980"
"03.01.2018 07:30 - 03.01.2018 07:45","71495","76566"
"03.01.2018 07:45 - 03.01.2018 08:00","72544","77841"
"03.01.2018 08:00 - 03.01.2018 08:15","73693","78702"
"03.01.2018 08:15 - 03.01.2018 08:30","74170","79534"
"03.01.2018 08:30 - 03.01.2018 08:45","74411","79926"
"03.01.2018 08:45 - 03.01.2018 09:00","74440","80563"
"03.01.2018 09:00 - 03.01.2018 09:15","74600","80480"
"03.01.2018 09:15 - 03.01.2018 09:30","74838","80989"
"03.01.2018 09:30 - 03.01.2018 09:45","75011","81299"
"03.01.2018 09:45 - 03.01.2018 10:00","75308","82081"
"03.01.2018 10:00 - 03.01.2018 10:15","75611","82276"
"03.01.2018 10:15 - 03.01.2018 10:30","75911","82659"
"03.01.2018 10:30 - 03.01.2018 10:45","76234","82886"
"03.01.2018 10:45 - 03.01.2018 11:00","76380","83314"
"03.01.2018 11:00 - 03.01.2018 11:15","76607","83694"
"03.01.2018 11:15 - 03.01.2018 11:30","76981","84060"
"03.01.2018 11:30 - 03.01.2018 11:45","77225","84486"
"03.01.2018 11:45 - 03.01.2018 12:00","76899","84366"
"03.01.2018 12:00 - 03.01.2018 12:15","76726","83781"
"03.01.2018 12:15 - 03.01.2018 12:30","76816","84025"
"03.01.2018 12:30 - 03.01.2018 12:45","76611","83857"
"03.01.2018 12:45 - 03.01.2018 13:00","76815","83502"
"03.01.2018 13:00 - 03.01.2018 13:15","76778","83535"
"03.01.2018 13:15 - 03.01.2018 13:30","76583","83242"
"03.01.2018 13:30 - 03.01.2018 13:45","76254","82763"
"03.01.2018 13:45 - 03.01.2018 14:00","75405","81908"
"03.01.2018 14:00 - 03.01.2018 14:15","75261","81731"
"03.01.2018 14:15 - 03.01.2018 14:30","74898","81299"
"03.01.2018 14:30 - 03.01.2018 14:45","75015","80878"
"03.01.2018 14:45 - 03.01.2018 15:00","75287","80679"
"03.01.2018 15:00 - 03.01.2018 15:15","75923","80526"
"03.01.2018 15:15 - 03.01.2018 15:30","74801","80573"
"03.01.2018 15:30 - 03.01.2018 15:45","74627","80230"
"03.01.2018 15:45 - 03.01.2018 16:00","74589","80392"
"03.01.2018 16:00 - 03.01.2018 16:15","75065","81225"
"03.01.2018 16:15 - 03.01.2018 16:30","75884","81411"
"03.01.2018 16:30 - 03.01.2018 16:45","76874","82109"
"03.01.2018 16:45 - 03.01.2018 17:00","76615","83681"
"03.01.2018 17:00 - 03.01.2018 17:15","77462","84679"
"03.01.2018 17:15 - 03.01.2018 17:30","77617","84989"
"03.01.2018 17:30 - 03.01.2018 17:45","78068","85511"
"03.01.2018 17:45 - 03.01.2018 18:00","77904","85552"
"03.01.2018 18:00 - 03.01.2018 18:15","77617","85081"
"03.01.2018 18:15 - 03.01.2018 18:30","77698","84665"
"03.01.2018 18:30 - 03.01.2018 18:45","77361","84351"
"03.01.2018 18:45 - 03.01.2018 19:00","77238","83954"
"03.01.2018 19:00 - 03.01.2018 19:15","76658","83641"
"03.01.2018 19:15 - 03.01.2018 19:30","75897","82201"
"03.01.2018 19:30 - 03.01.2018 19:45","75112","81361"
"03.01.2018 19:45 - 03.01.2018 20:00","74492","80634"
"03.01.2018 20:00 - 03.01.2018 20:15","72970","79755"
"03.01.2018 20:15 - 03.01.2018 20:30","71001","78255"
"03.01.2018 20:30 - 03.01.2018 20:45","70313","76951"
"03.01.2018 20:45 - 03.01.2018 21:00","69393","75586"
"03.01.2018 21:00 - 03.01.2018 21:15","68288","74798"
"03.01.2018 21:15 - 03.01.2018 21:30","67537","74032"
"03.01.2018 21:30 - 03.01.2018 21:45","67229","72911"
"03.01.2018 21:45 - 03.01.2018 22:00","66134","72160"
"03.01.2018 22:00 - 03.01.2018 22:15","66375","72382"
"03.01.2018 22:15 - 03.01.2018 22:30","65729","71529"
"03.01.2018 22:30 - 03.01.2018 22:45","64384","70531"
"03.01.2018 22:45 - 03.01.2018 23:00","63051","68890"
"03.01.2018 23:00 - 03.01.2018 23:15","61768","68008"
"03.01.2018 23:15 - 03.01.2018 23:30","60552","66593"
"03.01.2018 23:30 - 03.01.2018 23:45","59446","65484"
"03.01.2018 23:45 - 04.01.2018 00:00","58456","64489"
"04.01.2018 00:00 - 04.01.2018 00:15","57248","63066"
"04.01.2018 00:15 - 04.01.2018 00:30","56533","62126"
"04.01.2018 00:30 - 04.01.2018 00:45","55795","61603"
"04.01.2018 00:45 - 04.01.2018 01:00","54973","60968"
"04.01.2018 01:00 - 04.01.2018 01:15","54205","60132"
"04.01.2018 01:15 - 04.01.2018 01:30","53788","59601"
"04.01.2018 01:30 - 04.01.2018 01:45","53412","59107"
"04.01.2018 01:45 - 04.01.2018 02:00","53185","58451"
"04.01.2018 02:00 - 04.01.2018 02:15","52806","58323"
"04.01.2018 02:15 - 04.01.2018 02:30","52612","57917"
"04.01.2018 02:30 - 04.01.2018 02:45","52686","57919"
"04.01.2018 02:45 - 04.01.2018 03:00","52624","57674"
"04.01.2018 03:00 - 04.01.2018 03:15","52593","57659"
"04.01.2018 03:15 - 04.01.2018 03:30","52639","57866"
"04.01.2018 03:30 - 04.01.2018 03:45","52708","58114"
"04.01.2018 03:45 - 04.01.2018 04:00","52752","58526"
"04.01.2018 04:00 - 04.01.2018 04:15","53198","58805"
"04.01.2018 04:15 - 04.01.2018 04:30","53570","58960"
"04.01.2018 04:30 - 04.01.2018 04:45","54047","59359"
"04.01.2018 04:45 - 04.01.2018 05:00","54654","59833"
"04.01.2018 05:00 - 04.01.2018 05:15","56063","60900"
"04.01.2018 05:15 - 04.01.2018 05:30","56711","61357"
"04.01.2018 05:30 - 04.01.2018 05:45","57864","62818"
"04.01.2018 05:45 - 04.01.2018 06:00","59186","64222"
"04.01.2018 06:00 - 04.01.2018 06:15","61721","66162"
"04.01.2018 06:15 - 04.01.2018 06:30","63951","67838"
"04.01.2018 06:30 - 04.01.2018 06:45","65720","69862"
"04.01.2018 06:45 - 04.01.2018 07:00","67215","71679"
"04.01.2018 07:00 - 04.01.2018 07:15","69334","73614"
"04.01.2018 07:15 - 04.01.2018 07:30","70136","74760"
"04.01.2018 07:30 - 04.01.2018 07:45","70475","75859"
"04.01.2018 07:45 - 04.01.2018 08:00","71803","76899"
"04.01.2018 08:00 - 04.01.2018 08:15","72773","78580"
"04.01.2018 08:15 - 04.01.2018 08:30","73193","78651"
"04.01.2018 08:30 - 04.01.2018 08:45","73590","78776"
"04.01.2018 08:45 - 04.01.2018 09:00","73570","79164"
"04.01.2018 09:00 - 04.01.2018 09:15","74126","78972"
"04.01.2018 09:15 - 04.01.2018 09:30","74473","79411"
"04.01.2018 09:30 - 04.01.2018 09:45","74822","79685"
"04.01.2018 09:45 - 04.01.2018 10:00","74899","79862"
"04.01.2018 10:00 - 04.01.2018 10:15","74947","80123"
"04.01.2018 10:15 - 04.01.2018 10:30","75498","80443"
"04.01.2018 10:30 - 04.01.2018 10:45","75581","81021"
"04.01.2018 10:45 - 04.01.2018 11:00","75659","81365"
"04.01.2018 11:00 - 04.01.2018 11:15","76255","81501"
"04.01.2018 11:15 - 04.01.2018 11:30","76453","82046"
"04.01.2018 11:30 - 04.01.2018 11:45","76816","82092"
"04.01.2018 11:45 - 04.01.2018 12:00","76888","82018"
"04.01.2018 12:00 - 04.01.2018 12:15","76636","81870"
"04.01.2018 12:15 - 04.01.2018 12:30","76590","81564"
"04.01.2018 12:30 - 04.01.2018 12:45","76406","81218"
"04.01.2018 12:45 - 04.01.2018 13:00","76373","81162"
"04.01.2018 13:00 - 04.01.2018 13:15","76527","80957"
"04.01.2018 13:15 - 04.01.2018 13:30","75992","80616"
"04.01.2018 13:30 - 04.01.2018 13:45","75590","80207"
"04.01.2018 13:45 - 04.01.2018 14:00","74765","79393"
"04.01.2018 14:00 - 04.01.2018 14:15","74691","79112"
"04.01.2018 14:15 - 04.01.2018 14:30","74275","78886"
"04.01.2018 14:30 - 04.01.2018 14:45","74439","78642"
"04.01.2018 14:45 - 04.01.2018 15:00","74619","78210"
"04.01.2018 15:00 - 04.01.2018 15:15","74915","78582"
"04.01.2018 15:15 - 04.01.2018 15:30","74039","78382"
"04.01.2018 15:30 - 04.01.2018 15:45","74053","78377"
"04.01.2018 15:45 - 04.01.2018 16:00","74001","78417"
"04.01.2018 16:00 - 04.01.2018 16:15","74348","79087"
"04.01.2018 16:15 - 04.01.2018 16:30","74876","79364"
"04.01.2018 16:30 - 04.01.2018 16:45","75644","80015"
"04.01.2018 16:45 - 04.01.2018 17:00","76088","80911"
"04.01.2018 17:00 - 04.01.2018 17:15","77141","81457"
"04.01.2018 17:15 - 04.01.2018 17:30","77450","81513"
"04.01.2018 17:30 - 04.01.2018 17:45","78009","82033"
"04.01.2018 17:45 - 04.01.2018 18:00","77985","82259"
"04.01.2018 18:00 - 04.01.2018 18:15","77397","81609"
"04.01.2018 18:15 - 04.01.2018 18:30","77469","81139"
"04.01.2018 18:30 - 04.01.2018 18:45","77044","81079"
"04.01.2018 18:45 - 04.01.2018 19:00","76843","80607"
"04.01.2018 19:00 - 04.01.2018 19:15","76376","80065"
"04.01.2018 19:15 - 04.01.2018 19:30","75658","78871"
"04.01.2018 19:30 - 04.01.2018 19:45","75023","78233"
"04.01.2018 19:45 - 04.01.2018 20:00","74347","77702"
"04.01.2018 20:00 - 04.01.2018 20:15","72762","76818"
"04.01.2018 20:15 - 04.01.2018 20:30","71048","75273"
"04.01.2018 20:30 - 04.01.2018 20:45","70250","74513"
"04.01.2018 20:45 - 04.01.2018 21:00","69415","73344"
"04.01.2018 21:00 - 04.01.2018 21:15","68342","72974"
"04.01.2018 21:15 - 04.01.2018 21:30","67625","72072"
"04.01.2018 21:30 - 04.01.2018 21:45","67344","71043"
"04.01.2018 21:45 - 04.01.2018 22:00","66356","70595"
"04.01.2018 22:00 - 04.01.2018 22:15","66696","70873"
"04.01.2018 22:15 - 04.01.2018 22:30","65766","69960"
"04.01.2018 22:30 - 04.01.2018 22:45","64605","68960"
"04.01.2018 22:45 - 04.01.2018 23:00","63422","67742"
"04.01.2018 23:00 - 04.01.2018 23:15","62143","66714"
"04.01.2018 23:15 - 04.01.2018 23:30","60927","65370"
"04.01.2018 23:30 - 04.01.2018 23:45","59822","64304"
"04.01.2018 23:45 - 05.01.2018 00:00","58885","63350"
"05.01.2018 00:00 - 05.01.2018 00:15","59362","61811"
"05.01.2018 00:15 - 05.01.2018 00:30","58378","61085"
"05.01.2018 00:30 - 05.01.2018 00:45","57758","60445"
"05.01.2018 00:45 - 05.01.2018 01:00","56956","59820"
"05.01.2018 01:00 - 05.01.2018 01:15","56277","58958"
"05.01.2018 01:15 - 05.01.2018 01:30","55636","58408"
"05.01.2018 01:30 - 05.01.2018 01:45","55463","57994"
"05.01.2018 01:45 - 05.01.2018 02:00","55100","57694"
"05.01.2018 02:00 - 05.01.2018 02:15","54776","57717"
"05.01.2018 02:15 - 05.01.2018 02:30","54506","57603"
"05.01.2018 02:30 - 05.01.2018 02:45","54465","57644"
"05.01.2018 02:45 - 05.01.2018 03:00","54425","57691"
"05.01.2018 03:00 - 05.01.2018 03:15","54441","57744"
"05.01.2018 03:15 - 05.01.2018 03:30","54315","57719"
"05.01.2018 03:30 - 05.01.2018 03:45","54352","57452"
"05.01.2018 03:45 - 05.01.2018 04:00","54470","57970"
"05.01.2018 04:00 - 05.01.2018 04:15","54914","58217"
"05.01.2018 04:15 - 05.01.2018 04:30","55202","58476"
"05.01.2018 04:30 - 05.01.2018 04:45","55642","58973"
"05.01.2018 04:45 - 05.01.2018 05:00","56115","59476"
"05.01.2018 05:00 - 05.01.2018 05:15","57074","60436"
"05.01.2018 05:15 - 05.01.2018 05:30","57650","60975"
"05.01.2018 05:30 - 05.01.2018 05:45","58711","61791"
"05.01.2018 05:45 - 05.01.2018 06:00","59866","63268"
"05.01.2018 06:00 - 05.01.2018 06:15","61569","65505"
"05.01.2018 06:15 - 05.01.2018 06:30","63632","67131"
"05.01.2018 06:30 - 05.01.2018 06:45","65062","69382"
"05.01.2018 06:45 - 05.01.2018 07:00","66697","71359"
"05.01.2018 07:00 - 05.01.2018 07:15","68626","73356"
"05.01.2018 07:15 - 05.01.2018 07:30","69825","74759"
"05.01.2018 07:30 - 05.01.2018 07:45","71640","76002"
"05.01.2018 07:45 - 05.01.2018 08:00","72673","77043"
"05.01.2018 08:00 - 05.01.2018 08:15","73812","78243"
"05.01.2018 08:15 - 05.01.2018 08:30","74052","78503"
"05.01.2018 08:30 - 05.01.2018 08:45","74304","78993"
"05.01.2018 08:45 - 05.01.2018 09:00","74529","79189"
"05.01.2018 09:00 - 05.01.2018 09:15","74827","79571"
"05.01.2018 09:15 - 05.01.2018 09:30","75358","79578"
"05.01.2018 09:30 - 05.01.2018 09:45","75299","79961"
"05.01.2018 09:45 - 05.01.2018 10:00","75808","80174"
"05.01.2018 10:00 - 05.01.2018 10:15","75859","80549"
"05.01.2018 10:15 - 05.01.2018 10:30","76200","80591"
"05.01.2018 10:30 - 05.01.2018 10:45","76380","80891"
"05.01.2018 10:45 - 05.01.2018 11:00","76729","81145"
"05.01.2018 11:00 - 05.01.2018 11:15","76861","81541"
"05.01.2018 11:15 - 05.01.2018 11:30","77048","81745"
"05.01.2018 11:30 - 05.01.2018 11:45","77315","82167"
"05.01.2018 11:45 - 05.01.2018 12:00","77554","82070"
"05.01.2018 12:00 - 05.01.2018 12:15","76602","81772"
