"MTU","Scheduled Generation [MW] (D) - Germany (DE)","Scheduled Consumption [MW] (D) - Germany (DE)"
"01.01.2018 00:00 - 01.01.2018 01:00 (CET/CEST)","55753",""
"01.01.2018 01:00 - 01.01.2018 02:00 (CET/CEST)","54369",""
"01.01.2018 02:00 - 01.01.2018 03:00 (CET/CEST)","54361",""
"01.01.2018 03:00 - 01.01.2018 04:00 (CET/CEST)","54835",""
"01.01.2018 04:00 - 01.01.2018 05:00 (CET/CEST)","55151",""
"01.01.2018 05:00 - 01.01.2018 06:00 (CET/CEST)","55020",""
"01.01.2018 06:00 - 01.01.2018 07:00 (CET/CEST)","55229",""
"01.01.2018 07:00 - 01.01.2018 08:00 (CET/CEST)","55516",""
"01.01.2018 08:00 - 01.01.2018 09:00 (CET/CEST)","57205",""
"01.01.2018 09:00 - 01.01.2018 10:00 (CET/CEST)","60857",""
"01.01.2018 10:00 - 01.01.2018 11:00 (CET/CEST)","64995",""
"01.01.2018 11:00 - 01.01.2018 12:00 (CET/CEST)","67367",""
"01.01.2018 12:00 - 01.01.2018 13:00 (CET/CEST)","67515",""
"01.01.2018 13:00 - 01.01.2018 14:00 (CET/CEST)","64489",""
"01.01.2018 14:00 - 01.01.2018 15:00 (CET/CEST)","58308",""
"01.01.2018 15:00 - 01.01.2018 16:00 (CET/CEST)","53529",""
"01.01.2018 16:00 - 01.01.2018 17:00 (CET/CEST)","53933",""
"01.01.2018 17:00 - 01.01.2018 18:00 (CET/CEST)","55577",""
"01.01.2018 18:00 - 01.01.2018 19:00 (CET/CEST)","59121",""
"01.01.2018 19:00 - 01.01.2018 20:00 (CET/CEST)","59209",""
"01.01.2018 20:00 - 01.01.2018 21:00 (CET/CEST)","57289",""
"01.01.2018 21:00 - 01.01.2018 22:00 (CET/CEST)","55686",""
"01.01.2018 22:00 - 01.01.2018 23:00 (CET/CEST)","53690",""
"01.01.2018 23:00 - 02.01.2018 00:00 (CET/CEST)","51632",""
"02.01.2018 00:00 - 02.01.2018 01:00 (CET/CEST)","48191",""
"02.01.2018 01:00 - 02.01.2018 02:00 (CET/CEST)","45917",""
"02.01.2018 02:00 - 02.01.2018 03:00 (CET/CEST)","45096",""
"02.01.2018 03:00 - 02.01.2018 04:00 (CET/CEST)","44884",""
"02.01.2018 04:00 - 02.01.2018 05:00 (CET/CEST)","46342",""
"02.01.2018 05:00 - 02.01.2018 06:00 (CET/CEST)","49063",""
"02.01.2018 06:00 - 02.01.2018 07:00 (CET/CEST)","55624",""
"02.01.2018 07:00 - 02.01.2018 08:00 (CET/CEST)","62202",""
"02.01.2018 08:00 - 02.01.2018 09:00 (CET/CEST)","65611",""
"02.01.2018 09:00 - 02.01.2018 10:00 (CET/CEST)","66986",""
"02.01.2018 10:00 - 02.01.2018 11:00 (CET/CEST)","67853",""
"02.01.2018 11:00 - 02.01.2018 12:00 (CET/CEST)","69338",""
"02.01.2018 12:00 - 02.01.2018 13:00 (CET/CEST)","68687",""
