"MTU","Scheduled Generation [MW] (D) - Germany (DE)","Scheduled Consumption [MW] (D) - Germany (DE)"
"02.01.2018 13:00 - 02.01.2018 14:00 (CET/CEST)","67367",""
"02.01.2018 14:00 - 02.01.2018 15:00 (CET/CEST)","66109",""
"02.01.2018 15:00 - 02.01.2018 16:00 (CET/CEST)","64998",""
"02.01.2018 16:00 - 02.01.2018 17:00 (CET/CEST)","65195",""
"02.01.2018 17:00 - 02.01.2018 18:00 (CET/CEST)","67217",""
"02.01.2018 18:00 - 02.01.2018 19:00 (CET/CEST)","67687",""
"02.01.2018 19:00 - 02.01.2018 20:00 (CET/CEST)","67047",""
"02.01.2018 20:00 - 02.01.2018 21:00 (CET/CEST)","65377",""
"02.01.2018 21:00 - 02.01.2018 22:00 (CET/CEST)","64548",""
"02.01.2018 22:00 - 02.01.2018 23:00 (CET/CEST)","63122",""
"02.01.2018 23:00 - 03.01.2018 00:00 (CET/CEST)","59838",""
"03.01.2018 00:00 - 03.01.2018 01:00 (CET/CEST)","55807",""
"03.01.2018 01:00 - 03.01.2018 02:00 (CET/CEST)","54935",""
"03.01.2018 02:00 - 03.01.2018 03:00 (CET/CEST)","56151",""
"03.01.2018 03:00 - 03.01.2018 04:00 (CET/CEST)","56584",""
"03.01.2018 04:00 - 03.01.2018 05:00 (CET/CEST)","57993",""
"03.01.2018 05:00 - 03.01.2018 06:00 (CET/CEST)","60915",""
"03.01.2018 06:00 - 03.01.2018 07:00 (CET/CEST)","65945",""
"03.01.2018 07:00 - 03.01.2018 08:00 (CET/CEST)","72282",""
"03.01.2018 08:00 - 03.01.2018 09:00 (CET/CEST)","75577",""
"03.01.2018 09:00 - 03.01.2018 10:00 (CET/CEST)","76995",""
"03.01.2018 10:00 - 03.01.2018 11:00 (CET/CEST)","78769",""
"03.01.2018 11:00 - 03.01.2018 12:00 (CET/CEST)","79947",""
"03.01.2018 12:00 - 03.01.2018 13:00 (CET/CEST)","80382",""
"03.01.2018 13:00 - 03.01.2018 14:00 (CET/CEST)","80138",""
"03.01.2018 14:00 - 03.01.2018 15:00 (CET/CEST)","78339",""
"03.01.2018 15:00 - 03.01.2018 16:00 (CET/CEST)","77340",""
"03.01.2018 16:00 - 03.01.2018 17:00 (CET/CEST)","78121",""
"03.01.2018 17:00 - 03.01.2018 18:00 (CET/CEST)","79791",""
"03.01.2018 18:00 - 03.01.2018 19:00 (CET/CEST)","79365",""
"03.01.2018 19:00 - 03.01.2018 20:00 (CET/CEST)","77724",""
"03.01.2018 20:00 - 03.01.2018 21:00 (CET/CEST)","74368",""
"03.01.2018 21:00 - 03.01.2018 22:00 (CET/CEST)","71522",""
"03.01.2018 22:00 - 03.01.2018 23:00 (CET/CEST)","69873",""
"03.01.2018 23:00 - 04.01.2018 00:00 (CET/CEST)","68053",""
"04.01.2018 00:00 - 04.01.2018 01:00 (CET/CEST)","65120",""
"04.01.2018 01:00 - 04.01.2018 02:00 (CET/CEST)","63531",""
"04.01.2018 02:00 - 04.01.2018 03:00 (CET/CEST)","62672",""
"04.01.2018 03:00 - 04.01.2018 04:00 (CET/CEST)","61660",""
"04.01.2018 04:00 - 04.01.2018 05:00 (CET/CEST)","60664",""
"04.01.2018 05:00 - 04.01.2018 06:00 (CET/CEST)","61472",""
"04.01.2018 06:00 - 04.01.2018 07:00 (CET/CEST)","65907",""
"04.01.2018 07:00 - 04.01.2018 08:00 (CET/CEST)","71084",""
"04.01.2018 08:00 - 04.01.2018 09:00 (CET/CEST)","73379",""
"04.01.2018 09:00 - 04.01.2018 10:00 (CET/CEST)","72459",""
"04.01.2018 10:00 - 04.01.2018 11:00 (CET/CEST)","71580",""
"04.01.2018 11:00 - 04.01.2018 12:00 (CET/CEST)","70921",""
"04.01.2018 12:00 - 04.01.2018 13:00 (CET/CEST)","70490",""
"04.01.2018 13:00 - 04.01.2018 14:00 (CET/CEST)","67876",""
"04.01.2018 14:00 - 04.01.2018 15:00 (CET/CEST)","65126",""
"04.01.2018 15:00 - 04.01.2018 16:00 (CET/CEST)","63380",""
"04.01.2018 16:00 - 04.01.2018 17:00 (CET/CEST)","63986",""
"04.01.2018 17:00 - 04.01.2018 18:00 (CET/CEST)","65626",""
"04.01.2018 18:00 - 04.01.2018 19:00 (CET/CEST)","66603",""
"04.01.2018 19:00 - 04.01.2018 20:00 (CET/CEST)","66616",""
"04.01.2018 20:00 - 04.01.2018 21:00 (CET/CEST)","63595",""
"04.01.2018 21:00 - 04.01.2018 22:00 (CET/CEST)","61613",""
"04.01.2018 22:00 - 04.01.2018 23:00 (CET/CEST)","60067",""
"04.01.2018 23:00 - 05.01.2018 00:00 (CET/CEST)","58604",""
"05.01.2018 00:00 - 05.01.2018 01:00 (CET/CEST)","63467",""
"05.01.2018 01:00 - 05.01.2018 02:00 (CET/CEST)","61906",""
"05.01.2018 02:00 - 05.01.2018 03:00 (CET/CEST)","62057",""
"05.01.2018 03:00 - 05.01.2018 04:00 (CET/CEST)","61402",""
"05.01.2018 04:00 - 05.01.2018 05:00 (CET/CEST)","60016",""
"05.01.2018 05:00 - 05.01.2018 06:00 (CET/CEST)","61609",""
"05.01.2018 06:00 - 05.01.2018 07:00 (CET/CEST)","68993",""
"05.01.2018 07:00 - 05.01.2018 08:00 (CET/CEST)","72682",""
"05.01.2018 08:00 - 05.01.2018 09:00 (CET/CEST)","75542",""
"05.01.2018 09:00 - 05.01.2018 10:00 (CET/CEST)","75409",""
"05.01.2018 10:00 - 05.01.2018 11:00 (CET/CEST)","74178",""
"05.01.2018 11:00 - 05.01.2018 12:00 (CET/CEST)","73929",""
"05.01.2018 12:00 - 05.01.2018 13:00 (CET/CEST)","72938",""
"05.01.2018 13:00 - 05.01.2018 14:00 (CET/CEST)","70438",""
"05.01.2018 14:00 - 05.01.2018 15:00 (CET/CEST)","67608",""
"05.01.2018 15:00 - 05.01.2018 16:00 (CET/CEST)","65339",""
"05.01.2018 16:00 - 05.01.2018 17:00 (CET/CEST)","66651",""
"05.01.2018 17:00 - 05.01.2018 18:00 (CET/CEST)","67867",""
"05.01.2018 18:00 - 05.01.2018 19:00 (CET/CEST)","68864",""
"05.01.2018 19:00 - 05.01.2018 20:00 (CET/CEST)","69275",""
"05.01.2018 20:00 - 05.01.2018 21:00 (CET/CEST)","66072",""
"05.01.2018 21:00 - 05.01.2018 22:00 (CET/CEST)","61935",""
"05.01.2018 22:00 - 05.01.2018 23:00 (CET/CEST)","58632",""
"05.01.2018 23:00 - 06.01.2018 00:00 (CET/CEST)","55644",""
"06.01.2018 00:00 - 06.01.2018 01:00 (CET/CEST)","51986",""
"06.01.2018 01:00 - 06.01.2018 02:00 (CET/CEST)","50267",""
"06.01.2018 02:00 - 06.01.2018 03:00 (CET/CEST)","49326",""
"06.01.2018 03:00 - 06.01.2018 04:00 (CET/CEST)","48431",""
"06.01.2018 04:00 - 06.01.2018 05:00 (CET/CEST)","47678",""
"06.01.2018 05:00 - 06.01.2018 06:00 (CET/CEST)","47381",""
"06.01.2018 06:00 - 06.01.2018 07:00 (CET/CEST)","47275",""
"06.01.2018 07:00 - 06.01.2018 08:00 (CET/CEST)","49616",""
"06.01.2018 08:00 - 06.01.2018 09:00 (CET/CEST)","51792",""
"06.01.2018 09:00 - 06.01.2018 10:00 (CET/CEST)","53539",""
"06.01.2018 10:00 - 06.01.2018 11:00 (CET/CEST)","55751",""
"06.01.2018 11:00 - 06.01.2018 12:00 (CET/CEST)","57600",""
"06.01.2018 12:00 - 06.01.2018 13:00 (CET/CEST)","57982",""
"06.01.2018 13:00 - 06.01.2018 14:00 (CET/CEST)","55101",""
"06.01.2018 14:00 - 06.01.2018 15:00 (CET/CEST)","51416",""
"06.01.2018 15:00 - 06.01.2018 16:00 (CET/CEST)","50026",""
"06.01.2018 16:00 - 06.01.2018 17:00 (CET/CEST)","50944",""
"06.01.2018 17:00 - 06.01.2018 18:00 (CET/CEST)","54005",""
"06.01.2018 18:00 - 06.01.2018 19:00 (CET/CEST)","55459",""
"06.01.2018 19:00 - 06.01.2018 20:00 (CET/CEST)","56793",""
"06.01.2018 20:00 - 06.01.2018 21:00 (CET/CEST)","52820",""
"06.01.2018 21:00 - 06.01.2018 22:00 (CET/CEST)","49725",""
"06.01.2018 22:00 - 06.01.2018 23:00 (CET/CEST)","50103",""
"06.01.2018 23:00 - 07.01.2018 00:00 (CET/CEST)","49907",""
"07.01.2018 00:00 - 07.01.2018 01:00 (CET/CEST)","50274",""
"07.01.2018 01:00 - 07.01.2018 02:00 (CET/CEST)","48890",""
"07.01.2018 02:00 - 07.01.2018 03:00 (CET/CEST)","47805",""
"07.01.2018 03:00 - 07.01.2018 04:00 (CET/CEST)","46640",""
"07.01.2018 04:00 - 07.01.2018 05:00 (CET/CEST)","45314",""
"07.01.2018 05:00 - 07.01.2018 06:00 (CET/CEST)","46489",""
"07.01.2018 06:00 - 07.01.2018 07:00 (CET/CEST)","46619",""
"07.01.2018 07:00 - 07.01.2018 08:00 (CET/CEST)","48733",""
"07.01.2018 08:00 - 07.01.2018 09:00 (CET/CEST)","51938",""
"07.01.2018 09:00 - 07.01.2018 10:00 (CET/CEST)","55598",""
"07.01.2018 10:00 - 07.01.2018 11:00 (CET/CEST)","57998",""
"07.01.2018 11:00 - 07.01.2018 12:00 (CET/CEST)","60005",""
"07.01.2018 12:00 - 07.01.2018 13:00 (CET/CEST)","60445",""
"07.01.2018 13:00 - 07.01.2018 14:00 (CET/CEST)","59424",""
"07.01.2018 14:00 - 07.01.2018 15:00 (CET/CEST)","57349",""
"07.01.2018 15:00 - 07.01.2018 16:00 (CET/CEST)","56199",""
"07.01.2018 16:00 - 07.01.2018 17:00 (CET/CEST)","56615",""
"07.01.2018 17:00 - 07.01.2018 18:00 (CET/CEST)","59436",""
"07.01.2018 18:00 - 07.01.2018 19:00 (CET/CEST)","61583",""
"07.01.2018 19:00 - 07.01.2018 20:00 (CET/CEST)","61905",""
"07.01.2018 20:00 - 07.01.2018 21:00 (CET/CEST)","59225",""
"07.01.2018 21:00 - 07.01.2018 22:00 (CET/CEST)","57873",""
"07.01.2018 22:00 - 07.01.2018 23:00 (CET/CEST)","57503",""
"07.01.2018 23:00 - 08.01.2018 00:00 (CET/CEST)","57262",""
"08.01.2018 00:00 - 08.01.2018 01:00 (CET/CEST)","54630",""
"08.01.2018 01:00 - 08.01.2018 02:00 (CET/CEST)","53310",""
"08.01.2018 02:00 - 08.01.2018 03:00 (CET/CEST)","52624",""
"08.01.2018 03:00 - 08.01.2018 04:00 (CET/CEST)","51802",""
"08.01.2018 04:00 - 08.01.2018 05:00 (CET/CEST)","52992",""
"08.01.2018 05:00 - 08.01.2018 06:00 (CET/CEST)","57118",""
"08.01.2018 06:00 - 08.01.2018 07:00 (CET/CEST)","64356",""
"08.01.2018 07:00 - 08.01.2018 08:00 (CET/CEST)","69960",""
"08.01.2018 08:00 - 08.01.2018 09:00 (CET/CEST)","73484",""
"08.01.2018 09:00 - 08.01.2018 10:00 (CET/CEST)","76012",""
"08.01.2018 10:00 - 08.01.2018 11:00 (CET/CEST)","76638",""
"08.01.2018 11:00 - 08.01.2018 12:00 (CET/CEST)","77703",""
"08.01.2018 12:00 - 08.01.2018 13:00 (CET/CEST)","77808",""
"08.01.2018 13:00 - 08.01.2018 14:00 (CET/CEST)","77293",""
"08.01.2018 14:00 - 08.01.2018 15:00 (CET/CEST)","75888",""
"08.01.2018 15:00 - 08.01.2018 16:00 (CET/CEST)","75341",""
"08.01.2018 16:00 - 08.01.2018 17:00 (CET/CEST)","76426",""
"08.01.2018 17:00 - 08.01.2018 18:00 (CET/CEST)","79218",""
"08.01.2018 18:00 - 08.01.2018 19:00 (CET/CEST)","78582",""
"08.01.2018 19:00 - 08.01.2018 20:00 (CET/CEST)","78475",""
"08.01.2018 20:00 - 08.01.2018 21:00 (CET/CEST)","76538",""
"08.01.2018 21:00 - 08.01.2018 22:00 (CET/CEST)","74326",""
"08.01.2018 22:00 - 08.01.2018 23:00 (CET/CEST)","71648",""
"08.01.2018 23:00 - 09.01.2018 00:00 (CET/CEST)","64937",""
"09.01.2018 00:00 - 09.01.2018 01:00 (CET/CEST)","65208",""
"09.01.2018 01:00 - 09.01.2018 02:00 (CET/CEST)","63359",""
"09.01.2018 02:00 - 09.01.2018 03:00 (CET/CEST)","62591",""
"09.01.2018 03:00 - 09.01.2018 04:00 (CET/CEST)","61189",""
"09.01.2018 04:00 - 09.01.2018 05:00 (CET/CEST)","62550",""
"09.01.2018 05:00 - 09.01.2018 06:00 (CET/CEST)","66529",""
"09.01.2018 06:00 - 09.01.2018 07:00 (CET/CEST)","71360",""
"09.01.2018 07:00 - 09.01.2018 08:00 (CET/CEST)","75611",""
"09.01.2018 08:00 - 09.01.2018 09:00 (CET/CEST)","77607",""
"09.01.2018 09:00 - 09.01.2018 10:00 (CET/CEST)","78196",""
"09.01.2018 10:00 - 09.01.2018 11:00 (CET/CEST)","78563",""
"09.01.2018 11:00 - 09.01.2018 12:00 (CET/CEST)","78376",""
"09.01.2018 12:00 - 09.01.2018 13:00 (CET/CEST)","77154",""
"09.01.2018 13:00 - 09.01.2018 14:00 (CET/CEST)","75730",""
"09.01.2018 14:00 - 09.01.2018 15:00 (CET/CEST)","73211",""
"09.01.2018 15:00 - 09.01.2018 16:00 (CET/CEST)","71512",""
"09.01.2018 16:00 - 09.01.2018 17:00 (CET/CEST)","71646",""
"09.01.2018 17:00 - 09.01.2018 18:00 (CET/CEST)","73147",""
"09.01.2018 18:00 - 09.01.2018 19:00 (CET/CEST)","72824",""
"09.01.2018 19:00 - 09.01.2018 20:00 (CET/CEST)","71713",""
"09.01.2018 20:00 - 09.01.2018 21:00 (CET/CEST)","68204",""
"09.01.2018 21:00 - 09.01.2018 22:00 (CET/CEST)","63492",""
"09.01.2018 22:00 - 09.01.2018 23:00 (CET/CEST)","60636",""
"09.01.2018 23:00 - 10.01.2018 00:00 (CET/CEST)","57095",""
"10.01.2018 00:00 - 10.01.2018 01:00 (CET/CEST)","49249",""
"10.01.2018 01:00 - 10.01.2018 02:00 (CET/CEST)","47542",""
"10.01.2018 02:00 - 10.01.2018 03:00 (CET/CEST)","47123",""
"10.01.2018 03:00 - 10.01.2018 04:00 (CET/CEST)","46706",""
"10.01.2018 04:00 - 10.01.2018 05:00 (CET/CEST)","46708",""
"10.01.2018 05:00 - 10.01.2018 06:00 (CET/CEST)","49302",""
"10.01.2018 06:00 - 10.01.2018 07:00 (CET/CEST)","55074",""
"10.01.2018 07:00 - 10.01.2018 08:00 (CET/CEST)","63613",""
"10.01.2018 08:00 - 10.01.2018 09:00 (CET/CEST)","66364",""
"10.01.2018 09:00 - 10.01.2018 10:00 (CET/CEST)","68164",""
"10.01.2018 10:00 - 10.01.2018 11:00 (CET/CEST)","69517",""
"10.01.2018 11:00 - 10.01.2018 12:00 (CET/CEST)","70865",""
"10.01.2018 12:00 - 10.01.2018 13:00 (CET/CEST)","70789",""
"10.01.2018 13:00 - 10.01.2018 14:00 (CET/CEST)","69737",""
"10.01.2018 14:00 - 10.01.2018 15:00 (CET/CEST)","66868",""
"10.01.2018 15:00 - 10.01.2018 16:00 (CET/CEST)","64674",""
"10.01.2018 16:00 - 10.01.2018 17:00 (CET/CEST)","65298",""
"10.01.2018 17:00 - 10.01.2018 18:00 (CET/CEST)","68280",""
"10.01.2018 18:00 - 10.01.2018 19:00 (CET/CEST)","69054",""
"10.01.2018 19:00 - 10.01.2018 20:00 (CET/CEST)","67819",""
"10.01.2018 20:00 - 10.01.2018 21:00 (CET/CEST)","63478",""
"10.01.2018 21:00 - 10.01.2018 22:00 (CET/CEST)","58847",""
"10.01.2018 22:00 - 10.01.2018 23:00 (CET/CEST)","57423",""
"10.01.2018 23:00 - 11.01.2018 00:00 (CET/CEST)","54498",""
"11.01.2018 00:00 - 11.01.2018 01:00 (CET/CEST)","51973",""
"11.01.2018 01:00 - 11.01.2018 02:00 (CET/CEST)","49022",""
"11.01.2018 02:00 - 11.01.2018 03:00 (CET/CEST)","47258",""
"11.01.2018 03:00 - 11.01.2018 04:00 (CET/CEST)","46537",""
"11.01.2018 04:00 - 11.01.2018 05:00 (CET/CEST)","47568",""
"11.01.2018 05:00 - 11.01.2018 06:00 (CET/CEST)","50674",""
"11.01.2018 06:00 - 11.01.2018 07:00 (CET/CEST)","58169",""
"11.01.2018 07:00 - 11.01.2018 08:00 (CET/CEST)","63863",""
"11.01.2018 08:00 - 11.01.2018 09:00 (CET/CEST)","68815",""
"11.01.2018 09:00 - 11.01.2018 10:00 (CET/CEST)","68449",""
"11.01.2018 10:00 - 11.01.2018 11:00 (CET/CEST)","68375",""
"11.01.2018 11:00 - 11.01.2018 12:00 (CET/CEST)","69078",""
"11.01.2018 12:00 - 11.01.2018 13:00 (CET/CEST)","68528",""
"11.01.2018 13:00 - 11.01.2018 14:00 (CET/CEST)","66572",""
"11.01.2018 14:00 - 11.01.2018 15:00 (CET/CEST)","65532",""
"11.01.2018 15:00 - 11.01.2018 16:00 (CET/CEST)","64903",""
"11.01.2018 16:00 - 11.01.2018 17:00 (CET/CEST)","67138",""
"11.01.2018 17:00 - 11.01.2018 18:00 (CET/CEST)","68872",""
"11.01.2018 18:00 - 11.01.2018 19:00 (CET/CEST)","69270",""
"11.01.2018 19:00 - 11.01.2018 20:00 (CET/CEST)","68912",""
"11.01.2018 20:00 - 11.01.2018 21:00 (CET/CEST)","64523",""
"11.01.2018 21:00 - 11.01.2018 22:00 (CET/CEST)","61441",""
"11.01.2018 22:00 - 11.01.2018 23:00 (CET/CEST)","59064",""
"11.01.2018 23:00 - 12.01.2018 00:00 (CET/CEST)","55904",""
"12.01.2018 00:00 - 12.01.2018 01:00 (CET/CEST)","49921",""
"12.01.2018 01:00 - 12.01.2018 02:00 (CET/CEST)","48341",""
"12.01.2018 02:00 - 12.01.2018 03:00 (CET/CEST)","47433",""
"12.01.2018 03:00 - 12.01.2018 04:00 (CET/CEST)","47520",""
"12.01.2018 04:00 - 12.01.2018 05:00 (CET/CEST)","48046",""
"12.01.2018 05:00 - 12.01.2018 06:00 (CET/CEST)","52768",""
"12.01.2018 06:00 - 12.01.2018 07:00 (CET/CEST)","59073",""
"12.01.2018 07:00 - 12.01.2018 08:00 (CET/CEST)","65269",""
"12.01.2018 08:00 - 12.01.2018 09:00 (CET/CEST)","69381",""
"12.01.2018 09:00 - 12.01.2018 10:00 (CET/CEST)","69267",""
"12.01.2018 10:00 - 12.01.2018 11:00 (CET/CEST)","69317",""
"12.01.2018 11:00 - 12.01.2018 12:00 (CET/CEST)","69558",""
"12.01.2018 12:00 - 12.01.2018 13:00 (CET/CEST)","69097",""
"12.01.2018 13:00 - 12.01.2018 14:00 (CET/CEST)","67630",""
"12.01.2018 14:00 - 12.01.2018 15:00 (CET/CEST)","66611",""
"12.01.2018 15:00 - 12.01.2018 16:00 (CET/CEST)","66252",""
"12.01.2018 16:00 - 12.01.2018 17:00 (CET/CEST)","66927",""
"12.01.2018 17:00 - 12.01.2018 18:00 (CET/CEST)","69531",""
"12.01.2018 18:00 - 12.01.2018 19:00 (CET/CEST)","69378",""
"12.01.2018 19:00 - 12.01.2018 20:00 (CET/CEST)","68767",""
"12.01.2018 20:00 - 12.01.2018 21:00 (CET/CEST)","65484",""
"12.01.2018 21:00 - 12.01.2018 22:00 (CET/CEST)","60925",""
"12.01.2018 22:00 - 12.01.2018 23:00 (CET/CEST)","57575",""
"12.01.2018 23:00 - 13.01.2018 00:00 (CET/CEST)","54626",""
"13.01.2018 00:00 - 13.01.2018 01:00 (CET/CEST)","51688",""
"13.01.2018 01:00 - 13.01.2018 02:00 (CET/CEST)","50347",""
"13.01.2018 02:00 - 13.01.2018 03:00 (CET/CEST)","50112",""
"13.01.2018 03:00 - 13.01.2018 04:00 (CET/CEST)","49948",""
"13.01.2018 04:00 - 13.01.2018 05:00 (CET/CEST)","50388",""
"13.01.2018 05:00 - 13.01.2018 06:00 (CET/CEST)","51273",""
"13.01.2018 06:00 - 13.01.2018 07:00 (CET/CEST)","52580",""
"13.01.2018 07:00 - 13.01.2018 08:00 (CET/CEST)","55245",""
"13.01.2018 08:00 - 13.01.2018 09:00 (CET/CEST)","57790",""
"13.01.2018 09:00 - 13.01.2018 10:00 (CET/CEST)","61379",""
"13.01.2018 10:00 - 13.01.2018 11:00 (CET/CEST)","63393",""
"13.01.2018 11:00 - 13.01.2018 12:00 (CET/CEST)","64689",""
"13.01.2018 12:00 - 13.01.2018 13:00 (CET/CEST)","64570",""
"13.01.2018 13:00 - 13.01.2018 14:00 (CET/CEST)","62990",""
"13.01.2018 14:00 - 13.01.2018 15:00 (CET/CEST)","61228",""
"13.01.2018 15:00 - 13.01.2018 16:00 (CET/CEST)","60365",""
"13.01.2018 16:00 - 13.01.2018 17:00 (CET/CEST)","61095",""
"13.01.2018 17:00 - 13.01.2018 18:00 (CET/CEST)","65198",""
"13.01.2018 18:00 - 13.01.2018 19:00 (CET/CEST)","67073",""
"13.01.2018 19:00 - 13.01.2018 20:00 (CET/CEST)","66692",""
"13.01.2018 20:00 - 13.01.2018 21:00 (CET/CEST)","63861",""
"13.01.2018 21:00 - 13.01.2018 22:00 (CET/CEST)","60457",""
"13.01.2018 22:00 - 13.01.2018 23:00 (CET/CEST)","59728",""
"13.01.2018 23:00 - 14.01.2018 00:00 (CET/CEST)","57578",""
"14.01.2018 00:00 - 14.01.2018 01:00 (CET/CEST)","56310",""
"14.01.2018 01:00 - 14.01.2018 02:00 (CET/CEST)","53608",""
"14.01.2018 02:00 - 14.01.2018 03:00 (CET/CEST)","53554",""
"14.01.2018 03:00 - 14.01.2018 04:00 (CET/CEST)","52734",""
"14.01.2018 04:00 - 14.01.2018 05:00 (CET/CEST)","52738",""
"14.01.2018 05:00 - 14.01.2018 06:00 (CET/CEST)","52749",""
"14.01.2018 06:00 - 14.01.2018 07:00 (CET/CEST)","52590",""
"14.01.2018 07:00 - 14.01.2018 08:00 (CET/CEST)","53174",""
"14.01.2018 08:00 - 14.01.2018 09:00 (CET/CEST)","55890",""
"14.01.2018 09:00 - 14.01.2018 10:00 (CET/CEST)","58327",""
"14.01.2018 10:00 - 14.01.2018 11:00 (CET/CEST)","60599",""
"14.01.2018 11:00 - 14.01.2018 12:00 (CET/CEST)","62440",""
"14.01.2018 12:00 - 14.01.2018 13:00 (CET/CEST)","62688",""
"14.01.2018 13:00 - 14.01.2018 14:00 (CET/CEST)","60379",""
"14.01.2018 14:00 - 14.01.2018 15:00 (CET/CEST)","57331",""
"14.01.2018 15:00 - 14.01.2018 16:00 (CET/CEST)","55887",""
"14.01.2018 16:00 - 14.01.2018 17:00 (CET/CEST)","57078",""
"14.01.2018 17:00 - 14.01.2018 18:00 (CET/CEST)","61483",""
"14.01.2018 18:00 - 14.01.2018 19:00 (CET/CEST)","63404",""
"14.01.2018 19:00 - 14.01.2018 20:00 (CET/CEST)","63546",""
"14.01.2018 20:00 - 14.01.2018 21:00 (CET/CEST)","61188",""
"14.01.2018 21:00 - 14.01.2018 22:00 (CET/CEST)","59623",""
"14.01.2018 22:00 - 14.01.2018 23:00 (CET/CEST)","59395",""
"14.01.2018 23:00 - 15.01.2018 00:00 (CET/CEST)","58122",""
"15.01.2018 00:00 - 15.01.2018 01:00 (CET/CEST)","56883",""
"15.01.2018 01:00 - 15.01.2018 02:00 (CET/CEST)","56492",""
"15.01.2018 02:00 - 15.01.2018 03:00 (CET/CEST)","56290",""
"15.01.2018 03:00 - 15.01.2018 04:00 (CET/CEST)","55613",""
"15.01.2018 04:00 - 15.01.2018 05:00 (CET/CEST)","57922",""
"15.01.2018 05:00 - 15.01.2018 06:00 (CET/CEST)","60253",""
"15.01.2018 06:00 - 15.01.2018 07:00 (CET/CEST)","66754",""
"15.01.2018 07:00 - 15.01.2018 08:00 (CET/CEST)","72662",""
"15.01.2018 08:00 - 15.01.2018 09:00 (CET/CEST)","75429",""
"15.01.2018 09:00 - 15.01.2018 10:00 (CET/CEST)","77777",""
"15.01.2018 10:00 - 15.01.2018 11:00 (CET/CEST)","78545",""
"15.01.2018 11:00 - 15.01.2018 12:00 (CET/CEST)","79478",""
"15.01.2018 12:00 - 15.01.2018 13:00 (CET/CEST)","79978",""
"15.01.2018 13:00 - 15.01.2018 14:00 (CET/CEST)","79720",""
"15.01.2018 14:00 - 15.01.2018 15:00 (CET/CEST)","78954",""
"15.01.2018 15:00 - 15.01.2018 16:00 (CET/CEST)","78471",""
"15.01.2018 16:00 - 15.01.2018 17:00 (CET/CEST)","79066",""
"15.01.2018 17:00 - 15.01.2018 18:00 (CET/CEST)","80722",""
"15.01.2018 18:00 - 15.01.2018 19:00 (CET/CEST)","81616",""
"15.01.2018 19:00 - 15.01.2018 20:00 (CET/CEST)","81798",""
