"MTU","Scheduled Generation [MW] (D) - Germany (DE)","Scheduled Consumption [MW] (D) - Germany (DE)"
"04.01.2017 06:00 - 04.01.2017 07:00 (CET/CEST)","66405","0"
"04.01.2017 07:00 - 04.01.2017 08:00 (CET/CEST)","71021","0"
"04.01.2017 08:00 - 04.01.2017 09:00 (CET/CEST)","73278","0"
"04.01.2017 09:00 - 04.01.2017 10:00 (CET/CEST)","73695","0"
"04.01.2017 10:00 - 04.01.2017 11:00 (CET/CEST)","74614","0"
"04.01.2017 11:00 - 04.01.2017 12:00 (CET/CEST)","75209","0"
"04.01.2017 12:00 - 04.01.2017 13:00 (CET/CEST)","74759","0"
"04.01.2017 13:00 - 04.01.2017 14:00 (CET/CEST)","74219","0"
"04.01.2017 14:00 - 04.01.2017 15:00 (CET/CEST)","72562","0"
"04.01.2017 15:00 - 04.01.2017 16:00 (CET/CEST)","71156","0"
"04.01.2017 16:00 - 04.01.2017 17:00 (CET/CEST)","70437","0"
"04.01.2017 17:00 - 04.01.2017 18:00 (CET/CEST)","70940","0"
"04.01.2017 18:00 - 04.01.2017 19:00 (CET/CEST)","70647","0"
"04.01.2017 19:00 - 04.01.2017 20:00 (CET/CEST)","69218","0"
"04.01.2017 20:00 - 04.01.2017 21:00 (CET/CEST)","65897","0"
"04.01.2017 21:00 - 04.01.2017 22:00 (CET/CEST)","62244","0"
"04.01.2017 22:00 - 04.01.2017 23:00 (CET/CEST)","59182","0"
"04.01.2017 23:00 - 05.01.2017 00:00 (CET/CEST)","56185","0"
"05.01.2017 00:00 - 05.01.2017 01:00 (CET/CEST)","56194","0"
"05.01.2017 01:00 - 05.01.2017 02:00 (CET/CEST)","53530","0"
"05.01.2017 02:00 - 05.01.2017 03:00 (CET/CEST)","50652","0"
"05.01.2017 03:00 - 05.01.2017 04:00 (CET/CEST)","50264","0"
"05.01.2017 04:00 - 05.01.2017 05:00 (CET/CEST)","52872","0"
"05.01.2017 05:00 - 05.01.2017 06:00 (CET/CEST)","55249","0"
"05.01.2017 06:00 - 05.01.2017 07:00 (CET/CEST)","62242","0"
"05.01.2017 07:00 - 05.01.2017 08:00 (CET/CEST)","67333","0"
"05.01.2017 08:00 - 05.01.2017 09:00 (CET/CEST)","70297","0"
"05.01.2017 09:00 - 05.01.2017 10:00 (CET/CEST)","70092","0"
"05.01.2017 10:00 - 05.01.2017 11:00 (CET/CEST)","70249","0"
"05.01.2017 11:00 - 05.01.2017 12:00 (CET/CEST)","71136","0"
"05.01.2017 12:00 - 05.01.2017 13:00 (CET/CEST)","71829","0"
"05.01.2017 13:00 - 05.01.2017 14:00 (CET/CEST)","71303","0"
"05.01.2017 14:00 - 05.01.2017 15:00 (CET/CEST)","69707","0"
"05.01.2017 15:00 - 05.01.2017 16:00 (CET/CEST)","69052","0"
"05.01.2017 16:00 - 05.01.2017 17:00 (CET/CEST)","69397","0"
"05.01.2017 17:00 - 05.01.2017 18:00 (CET/CEST)","69846","0"
"05.01.2017 18:00 - 05.01.2017 19:00 (CET/CEST)","69691","0"
"05.01.2017 19:00 - 05.01.2017 20:00 (CET/CEST)","68900","0"
"05.01.2017 20:00 - 05.01.2017 21:00 (CET/CEST)","66462","0"
"05.01.2017 21:00 - 05.01.2017 22:00 (CET/CEST)","61980","0"
"05.01.2017 22:00 - 05.01.2017 23:00 (CET/CEST)","60966","0"
"05.01.2017 23:00 - 06.01.2017 00:00 (CET/CEST)","55560","0"
"06.01.2017 00:00 - 06.01.2017 01:00 (CET/CEST)","53528","0"
"06.01.2017 01:00 - 06.01.2017 02:00 (CET/CEST)","51582","0"
"06.01.2017 02:00 - 06.01.2017 03:00 (CET/CEST)","51074","0"
"06.01.2017 03:00 - 06.01.2017 04:00 (CET/CEST)","49893","0"
"06.01.2017 04:00 - 06.01.2017 05:00 (CET/CEST)","50058","0"
"06.01.2017 05:00 - 06.01.2017 06:00 (CET/CEST)","53401","0"
"06.01.2017 06:00 - 06.01.2017 07:00 (CET/CEST)","57842","0"
"06.01.2017 07:00 - 06.01.2017 08:00 (CET/CEST)","61547","0"
"06.01.2017 08:00 - 06.01.2017 09:00 (CET/CEST)","64120","0"
"06.01.2017 09:00 - 06.01.2017 10:00 (CET/CEST)","66818","0"
"06.01.2017 10:00 - 06.01.2017 11:00 (CET/CEST)","68419","0"
"06.01.2017 11:00 - 06.01.2017 12:00 (CET/CEST)","68741","0"
"06.01.2017 12:00 - 06.01.2017 13:00 (CET/CEST)","69414","0"
"06.01.2017 13:00 - 06.01.2017 14:00 (CET/CEST)","68155","0"
"06.01.2017 14:00 - 06.01.2017 15:00 (CET/CEST)","65677","0"
"06.01.2017 15:00 - 06.01.2017 16:00 (CET/CEST)","64401","0"
"06.01.2017 16:00 - 06.01.2017 17:00 (CET/CEST)","64940","0"
"06.01.2017 17:00 - 06.01.2017 18:00 (CET/CEST)","67936","0"
"06.01.2017 18:00 - 06.01.2017 19:00 (CET/CEST)","67787","0"
"06.01.2017 19:00 - 06.01.2017 20:00 (CET/CEST)","67006","0"
"06.01.2017 20:00 - 06.01.2017 21:00 (CET/CEST)","62998","0"
"06.01.2017 21:00 - 06.01.2017 22:00 (CET/CEST)","59623","0"
"06.01.2017 22:00 - 06.01.2017 23:00 (CET/CEST)","59125","0"
"06.01.2017 23:00 - 07.01.2017 00:00 (CET/CEST)","55702","0"
"07.01.2017 00:00 - 07.01.2017 01:00 (CET/CEST)","55617","0"
"07.01.2017 01:00 - 07.01.2017 02:00 (CET/CEST)","53577","0"
"07.01.2017 02:00 - 07.01.2017 03:00 (CET/CEST)","53278","0"
"07.01.2017 03:00 - 07.01.2017 04:00 (CET/CEST)","53768","0"
"07.01.2017 04:00 - 07.01.2017 05:00 (CET/CEST)","53223","0"
"07.01.2017 05:00 - 07.01.2017 06:00 (CET/CEST)","53314","0"
"07.01.2017 06:00 - 07.01.2017 07:00 (CET/CEST)","53900","0"
"07.01.2017 07:00 - 07.01.2017 08:00 (CET/CEST)","59021","0"
"07.01.2017 08:00 - 07.01.2017 09:00 (CET/CEST)","62565","0"
"07.01.2017 09:00 - 07.01.2017 10:00 (CET/CEST)","63902","0"
"07.01.2017 10:00 - 07.01.2017 11:00 (CET/CEST)","65269","0"
"07.01.2017 11:00 - 07.01.2017 12:00 (CET/CEST)","66386","0"
"07.01.2017 12:00 - 07.01.2017 13:00 (CET/CEST)","66893","0"
"07.01.2017 13:00 - 07.01.2017 14:00 (CET/CEST)","66213","0"
"07.01.2017 14:00 - 07.01.2017 15:00 (CET/CEST)","65283","0"
"07.01.2017 15:00 - 07.01.2017 16:00 (CET/CEST)","65059","0"
"07.01.2017 16:00 - 07.01.2017 17:00 (CET/CEST)","66782","0"
"07.01.2017 17:00 - 07.01.2017 18:00 (CET/CEST)","68812","0"
"07.01.2017 18:00 - 07.01.2017 19:00 (CET/CEST)","69944","0"
"07.01.2017 19:00 - 07.01.2017 20:00 (CET/CEST)","69365","0"
"07.01.2017 20:00 - 07.01.2017 21:00 (CET/CEST)","65433","0"
"07.01.2017 21:00 - 07.01.2017 22:00 (CET/CEST)","61477","0"
"07.01.2017 22:00 - 07.01.2017 23:00 (CET/CEST)","61167","0"
"07.01.2017 23:00 - 08.01.2017 00:00 (CET/CEST)","58632","0"
"08.01.2017 00:00 - 08.01.2017 01:00 (CET/CEST)","56218","0"
"08.01.2017 01:00 - 08.01.2017 02:00 (CET/CEST)","53316","0"
"08.01.2017 02:00 - 08.01.2017 03:00 (CET/CEST)","51584","0"
"08.01.2017 03:00 - 08.01.2017 04:00 (CET/CEST)","50988","0"
"08.01.2017 04:00 - 08.01.2017 05:00 (CET/CEST)","49891","0"
"08.01.2017 05:00 - 08.01.2017 06:00 (CET/CEST)","49227","0"
"08.01.2017 06:00 - 08.01.2017 07:00 (CET/CEST)","48957","0"
"08.01.2017 07:00 - 08.01.2017 08:00 (CET/CEST)","50984","0"
"08.01.2017 08:00 - 08.01.2017 09:00 (CET/CEST)","53934","0"
"08.01.2017 09:00 - 08.01.2017 10:00 (CET/CEST)","56087","0"
"08.01.2017 10:00 - 08.01.2017 11:00 (CET/CEST)","57447","0"
"08.01.2017 11:00 - 08.01.2017 12:00 (CET/CEST)","59808","0"
"08.01.2017 12:00 - 08.01.2017 13:00 (CET/CEST)","59194","0"
"08.01.2017 13:00 - 08.01.2017 14:00 (CET/CEST)","56823","0"
"08.01.2017 14:00 - 08.01.2017 15:00 (CET/CEST)","55559","0"
"08.01.2017 15:00 - 08.01.2017 16:00 (CET/CEST)","55930","0"
"08.01.2017 16:00 - 08.01.2017 17:00 (CET/CEST)","57138","0"
"08.01.2017 17:00 - 08.01.2017 18:00 (CET/CEST)","59459","0"
"08.01.2017 18:00 - 08.01.2017 19:00 (CET/CEST)","60530","0"
"08.01.2017 19:00 - 08.01.2017 20:00 (CET/CEST)","59693","0"
"08.01.2017 20:00 - 08.01.2017 21:00 (CET/CEST)","58613","0"
"08.01.2017 21:00 - 08.01.2017 22:00 (CET/CEST)","56531","0"
"08.01.2017 22:00 - 08.01.2017 23:00 (CET/CEST)","56021","0"
"08.01.2017 23:00 - 09.01.2017 00:00 (CET/CEST)","54019","0"
"09.01.2017 00:00 - 09.01.2017 01:00 (CET/CEST)","51207","0"
"09.01.2017 01:00 - 09.01.2017 02:00 (CET/CEST)","50630","0"
"09.01.2017 02:00 - 09.01.2017 03:00 (CET/CEST)","49841","0"
"09.01.2017 03:00 - 09.01.2017 04:00 (CET/CEST)","50746","0"
"09.01.2017 04:00 - 09.01.2017 05:00 (CET/CEST)","52479","0"
"09.01.2017 05:00 - 09.01.2017 06:00 (CET/CEST)","56102","0"
"09.01.2017 06:00 - 09.01.2017 07:00 (CET/CEST)","62920","0"
"09.01.2017 07:00 - 09.01.2017 08:00 (CET/CEST)","69795","0"
"09.01.2017 08:00 - 09.01.2017 09:00 (CET/CEST)","72567","0"
"09.01.2017 09:00 - 09.01.2017 10:00 (CET/CEST)","73389","0"
"09.01.2017 10:00 - 09.01.2017 11:00 (CET/CEST)","73934","0"
"09.01.2017 11:00 - 09.01.2017 12:00 (CET/CEST)","74178","0"
"09.01.2017 12:00 - 09.01.2017 13:00 (CET/CEST)","73534","0"
"09.01.2017 13:00 - 09.01.2017 14:00 (CET/CEST)","72641","0"
"09.01.2017 14:00 - 09.01.2017 15:00 (CET/CEST)","71374","0"
"09.01.2017 15:00 - 09.01.2017 16:00 (CET/CEST)","71305","0"
"09.01.2017 16:00 - 09.01.2017 17:00 (CET/CEST)","72104","0"
"09.01.2017 17:00 - 09.01.2017 18:00 (CET/CEST)","76378","0"
