"Time (CET/CEST)","Day-ahead Total Load Forecast [MW] - BZN|DE-AT-LU","Actual Total Load [MW] - BZN|DE-AT-LU"
"24.04.2017 17:00 - 24.04.2017 17:15","70535","72667"
"24.04.2017 17:15 - 24.04.2017 17:30","71070","72991"
"24.04.2017 17:30 - 24.04.2017 17:45","70346","72746"
"24.04.2017 17:45 - 24.04.2017 18:00","70773","72495"
"24.04.2017 18:00 - 24.04.2017 18:15","70757","72521"
"24.04.2017 18:15 - 24.04.2017 18:30","69815","72479"
"24.04.2017 18:30 - 24.04.2017 18:45","70343","72734"
"24.04.2017 18:45 - 24.04.2017 19:00","70368","73000"
"24.04.2017 19:00 - 24.04.2017 19:15","69752","72518"
"24.04.2017 19:15 - 24.04.2017 19:30","69558","72546"
"24.04.2017 19:30 - 24.04.2017 19:45","69103","72381"
"24.04.2017 19:45 - 24.04.2017 20:00","69253","72126"
"24.04.2017 20:00 - 24.04.2017 20:15","68642","71902"
"24.04.2017 20:15 - 24.04.2017 20:30","67512","71462"
"24.04.2017 20:30 - 24.04.2017 20:45","66963","71304"
"24.04.2017 20:45 - 24.04.2017 21:00","66051","71252"
"24.04.2017 21:00 - 24.04.2017 21:15","65893","71115"
"24.04.2017 21:15 - 24.04.2017 21:30","65083","70174"
"24.04.2017 21:30 - 24.04.2017 21:45","64257","69290"
"24.04.2017 21:45 - 24.04.2017 22:00","62235","68122"
"24.04.2017 22:00 - 24.04.2017 22:15","61545","67589"
"24.04.2017 22:15 - 24.04.2017 22:30","60421","66526"
"24.04.2017 22:30 - 24.04.2017 22:45","59003","65026"
"24.04.2017 22:45 - 24.04.2017 23:00","58049","63631"
"24.04.2017 23:00 - 24.04.2017 23:15","56572","62373"
"24.04.2017 23:15 - 24.04.2017 23:30","55664","61180"
"24.04.2017 23:30 - 24.04.2017 23:45","54451","60158"
"24.04.2017 23:45 - 25.04.2017 00:00","53818","59207"
"25.04.2017 00:00 - 25.04.2017 00:15","52456","57567"
"25.04.2017 00:15 - 25.04.2017 00:30","52015","56983"
"25.04.2017 00:30 - 25.04.2017 00:45","51344","56147"
"25.04.2017 00:45 - 25.04.2017 01:00","50727","55566"
"25.04.2017 01:00 - 25.04.2017 01:15","49964","54609"
"25.04.2017 01:15 - 25.04.2017 01:30","49469","53940"
"25.04.2017 01:30 - 25.04.2017 01:45","49186","53760"
"25.04.2017 01:45 - 25.04.2017 02:00","49009","53560"
"25.04.2017 02:00 - 25.04.2017 02:15","48725","53172"
"25.04.2017 02:15 - 25.04.2017 02:30","48424","52855"
"25.04.2017 02:30 - 25.04.2017 02:45","48500","53049"
"25.04.2017 02:45 - 25.04.2017 03:00","48529","53129"
"25.04.2017 03:00 - 25.04.2017 03:15","48807","53346"
"25.04.2017 03:15 - 25.04.2017 03:30","48766","53480"
"25.04.2017 03:30 - 25.04.2017 03:45","48936","53749"
"25.04.2017 03:45 - 25.04.2017 04:00","49334","53960"
"25.04.2017 04:00 - 25.04.2017 04:15","49946","54511"
"25.04.2017 04:15 - 25.04.2017 04:30","50357","54947"
"25.04.2017 04:30 - 25.04.2017 04:45","50890","55639"
"25.04.2017 04:45 - 25.04.2017 05:00","51595","56286"
"25.04.2017 05:00 - 25.04.2017 05:15","53516","57845"
"25.04.2017 05:15 - 25.04.2017 05:30","54266","58697"
"25.04.2017 05:30 - 25.04.2017 05:45","55567","60127"
"25.04.2017 05:45 - 25.04.2017 06:00","57205","61940"
"25.04.2017 06:00 - 25.04.2017 06:15","60870","64778"
"25.04.2017 06:15 - 25.04.2017 06:30","62837","67089"
"25.04.2017 06:30 - 25.04.2017 06:45","64972","68837"
"25.04.2017 06:45 - 25.04.2017 07:00","66430","70505"
"25.04.2017 07:00 - 25.04.2017 07:15","68304","72481"
"25.04.2017 07:15 - 25.04.2017 07:30","69394","73517"
"25.04.2017 07:30 - 25.04.2017 07:45","70482","74645"
"25.04.2017 07:45 - 25.04.2017 08:00","71774","75740"
"25.04.2017 08:00 - 25.04.2017 08:15","72773","76254"
"25.04.2017 08:15 - 25.04.2017 08:30","73301","76625"
"25.04.2017 08:30 - 25.04.2017 08:45","74160","76862"
"25.04.2017 08:45 - 25.04.2017 09:00","74070","76834"
"25.04.2017 09:00 - 25.04.2017 09:15","74098","76309"
"25.04.2017 09:15 - 25.04.2017 09:30","74467","76721"
"25.04.2017 09:30 - 25.04.2017 09:45","75729","77119"
"25.04.2017 09:45 - 25.04.2017 10:00","76308","77259"
"25.04.2017 10:00 - 25.04.2017 10:15","76315","77632"
"25.04.2017 10:15 - 25.04.2017 10:30","76936","78314"
"25.04.2017 10:30 - 25.04.2017 10:45","77155","79079"
"25.04.2017 10:45 - 25.04.2017 11:00","77724","79657"
"25.04.2017 11:00 - 25.04.2017 11:15","77688","79725"
"25.04.2017 11:15 - 25.04.2017 11:30","77909","80022"
"25.04.2017 11:30 - 25.04.2017 11:45","78235","80692"
"25.04.2017 11:45 - 25.04.2017 12:00","77938","80549"
"25.04.2017 12:00 - 25.04.2017 12:15","78013","79339"
"25.04.2017 12:15 - 25.04.2017 12:30","77232","79023"
"25.04.2017 12:30 - 25.04.2017 12:45","77373","79182"
"25.04.2017 12:45 - 25.04.2017 13:00","77363","79247"
"25.04.2017 13:00 - 25.04.2017 13:15","76783","79587"
"25.04.2017 13:15 - 25.04.2017 13:30","76814","79522"
"25.04.2017 13:30 - 25.04.2017 13:45","76516","79062"
"25.04.2017 13:45 - 25.04.2017 14:00","75672","78611"
"25.04.2017 14:00 - 25.04.2017 14:15","75080","78238"
"25.04.2017 14:15 - 25.04.2017 14:30","74998","78205"
"25.04.2017 14:30 - 25.04.2017 14:45","74659","78156"
"25.04.2017 14:45 - 25.04.2017 15:00","74772","77810"
"25.04.2017 15:00 - 25.04.2017 15:15","75256","77685"
"25.04.2017 15:15 - 25.04.2017 15:30","74817","77371"
"25.04.2017 15:30 - 25.04.2017 15:45","74316","76816"
"25.04.2017 15:45 - 25.04.2017 16:00","73870","76172"
"25.04.2017 16:00 - 25.04.2017 16:15","73341","76232"
"25.04.2017 16:15 - 25.04.2017 16:30","73328","75835"
"25.04.2017 16:30 - 25.04.2017 16:45","73346","75005"
"25.04.2017 16:45 - 25.04.2017 17:00","72416","74975"
"25.04.2017 17:00 - 25.04.2017 17:15","72025","74897"
"25.04.2017 17:15 - 25.04.2017 17:30","72180","74841"
"25.04.2017 17:30 - 25.04.2017 17:45","72438","74719"
"25.04.2017 17:45 - 25.04.2017 18:00","72430","74726"
"25.04.2017 18:00 - 25.04.2017 18:15","72299","74464"
"25.04.2017 18:15 - 25.04.2017 18:30","71967","74497"
"25.04.2017 18:30 - 25.04.2017 18:45","72172","74493"
"25.04.2017 18:45 - 25.04.2017 19:00","72113","74610"
"25.04.2017 19:00 - 25.04.2017 19:15","71863","74728"
"25.04.2017 19:15 - 25.04.2017 19:30","71471","74133"
"25.04.2017 19:30 - 25.04.2017 19:45","70803","73919"
"25.04.2017 19:45 - 25.04.2017 20:00","70569","73644"
"25.04.2017 20:00 - 25.04.2017 20:15","69927","72882"
"25.04.2017 20:15 - 25.04.2017 20:30","69043","72110"
"25.04.2017 20:30 - 25.04.2017 20:45","68291","72045"
"25.04.2017 20:45 - 25.04.2017 21:00","67598","71427"
"25.04.2017 21:00 - 25.04.2017 21:15","66653","71314"
"25.04.2017 21:15 - 25.04.2017 21:30","66147","70852"
"25.04.2017 21:30 - 25.04.2017 21:45","65049","70078"
"25.04.2017 21:45 - 25.04.2017 22:00","64185","68706"
"25.04.2017 22:00 - 25.04.2017 22:15","63430","68155"
"25.04.2017 22:15 - 25.04.2017 22:30","62519","67368"
"25.04.2017 22:30 - 25.04.2017 22:45","61224","65964"
"25.04.2017 22:45 - 25.04.2017 23:00","59882","64455"
"25.04.2017 23:00 - 25.04.2017 23:15","58206","63162"
"25.04.2017 23:15 - 25.04.2017 23:30","57120","62293"
"25.04.2017 23:30 - 25.04.2017 23:45","56144","61100"
"25.04.2017 23:45 - 26.04.2017 00:00","55122","59737"
"26.04.2017 00:00 - 26.04.2017 00:15","53800","58532"
"26.04.2017 00:15 - 26.04.2017 00:30","53312","57703"
"26.04.2017 00:30 - 26.04.2017 00:45","52652","56781"
"26.04.2017 00:45 - 26.04.2017 01:00","52051","56238"
"26.04.2017 01:00 - 26.04.2017 01:15","51312","55763"
"26.04.2017 01:15 - 26.04.2017 01:30","50924","55729"
"26.04.2017 01:30 - 26.04.2017 01:45","50652","55386"
"26.04.2017 01:45 - 26.04.2017 02:00","50367","54981"
"26.04.2017 02:00 - 26.04.2017 02:15","50032","54603"
"26.04.2017 02:15 - 26.04.2017 02:30","49693","54439"
"26.04.2017 02:30 - 26.04.2017 02:45","49735","54743"
"26.04.2017 02:45 - 26.04.2017 03:00","49816","54502"
"26.04.2017 03:00 - 26.04.2017 03:15","49939","54839"
"26.04.2017 03:15 - 26.04.2017 03:30","49974","54904"
"26.04.2017 03:30 - 26.04.2017 03:45","50179","55092"
"26.04.2017 03:45 - 26.04.2017 04:00","50188","55185"
"26.04.2017 04:00 - 26.04.2017 04:15","50834","55810"
"26.04.2017 04:15 - 26.04.2017 04:30","51170","56098"
"26.04.2017 04:30 - 26.04.2017 04:45","51776","56736"
"26.04.2017 04:45 - 26.04.2017 05:00","52373","57428"
"26.04.2017 05:00 - 26.04.2017 05:15","54331","58887"
"26.04.2017 05:15 - 26.04.2017 05:30","54785","59864"
"26.04.2017 05:30 - 26.04.2017 05:45","55998","61276"
"26.04.2017 05:45 - 26.04.2017 06:00","57727","62814"
"26.04.2017 06:00 - 26.04.2017 06:15","60861","65879"
"26.04.2017 06:15 - 26.04.2017 06:30","62390","67699"
"26.04.2017 06:30 - 26.04.2017 06:45","64148","69680"
"26.04.2017 06:45 - 26.04.2017 07:00","65556","71361"
"26.04.2017 07:00 - 26.04.2017 07:15","67730","73077"
"26.04.2017 07:15 - 26.04.2017 07:30","70044","74497"
"26.04.2017 07:30 - 26.04.2017 07:45","71126","75491"
"26.04.2017 07:45 - 26.04.2017 08:00","72074","76436"
"26.04.2017 08:00 - 26.04.2017 08:15","73268","77513"
"26.04.2017 08:15 - 26.04.2017 08:30","73895","78142"
"26.04.2017 08:30 - 26.04.2017 08:45","74247","78289"
"26.04.2017 08:45 - 26.04.2017 09:00","74262","78726"
"26.04.2017 09:00 - 26.04.2017 09:15","74392","78069"
"26.04.2017 09:15 - 26.04.2017 09:30","74601","78166"
"26.04.2017 09:30 - 26.04.2017 09:45","75733","78620"
"26.04.2017 09:45 - 26.04.2017 10:00","75836","78850"
"26.04.2017 10:00 - 26.04.2017 10:15","75823","78772"
"26.04.2017 10:15 - 26.04.2017 10:30","76955","79140"
"26.04.2017 10:30 - 26.04.2017 10:45","77082","79593"
"26.04.2017 10:45 - 26.04.2017 11:00","77312","80022"
"26.04.2017 11:00 - 26.04.2017 11:15","78056","80217"
"26.04.2017 11:15 - 26.04.2017 11:30","78213","80373"
"26.04.2017 11:30 - 26.04.2017 11:45","78779","80721"
"26.04.2017 11:45 - 26.04.2017 12:00","78139","80404"
"26.04.2017 12:00 - 26.04.2017 12:15","78093","79743"
"26.04.2017 12:15 - 26.04.2017 12:30","77823","79351"
"26.04.2017 12:30 - 26.04.2017 12:45","78059","79228"
"26.04.2017 12:45 - 26.04.2017 13:00","77779","79220"
"26.04.2017 13:00 - 26.04.2017 13:15","77248","79445"
"26.04.2017 13:15 - 26.04.2017 13:30","77195","79494"
"26.04.2017 13:30 - 26.04.2017 13:45","76999","78892"
"26.04.2017 13:45 - 26.04.2017 14:00","76212","77935"
"26.04.2017 14:00 - 26.04.2017 14:15","75428","77665"
"26.04.2017 14:15 - 26.04.2017 14:30","74919","77748"
"26.04.2017 14:30 - 26.04.2017 14:45","74703","77587"
"26.04.2017 14:45 - 26.04.2017 15:00","75084","77097"
"26.04.2017 15:00 - 26.04.2017 15:15","75052","77230"
"26.04.2017 15:15 - 26.04.2017 15:30","74441","76855"
"26.04.2017 15:30 - 26.04.2017 15:45","73605","76400"
"26.04.2017 15:45 - 26.04.2017 16:00","73496","75980"
"26.04.2017 16:00 - 26.04.2017 16:15","72793","75681"
"26.04.2017 16:15 - 26.04.2017 16:30","72748","75287"
"26.04.2017 16:30 - 26.04.2017 16:45","72394","74938"
"26.04.2017 16:45 - 26.04.2017 17:00","71756","74904"
"26.04.2017 17:00 - 26.04.2017 17:15","71303","74489"
"26.04.2017 17:15 - 26.04.2017 17:30","71637","74718"
"26.04.2017 17:30 - 26.04.2017 17:45","71019","75038"
"26.04.2017 17:45 - 26.04.2017 18:00","70975","75148"
"26.04.2017 18:00 - 26.04.2017 18:15","70900","74391"
"26.04.2017 18:15 - 26.04.2017 18:30","70558","74064"
"26.04.2017 18:30 - 26.04.2017 18:45","70926","74243"
"26.04.2017 18:45 - 26.04.2017 19:00","70774","74668"
"26.04.2017 19:00 - 26.04.2017 19:15","70508","74275"
"26.04.2017 19:15 - 26.04.2017 19:30","70446","73893"
"26.04.2017 19:30 - 26.04.2017 19:45","69937","73704"
"26.04.2017 19:45 - 26.04.2017 20:00","69520","73620"
"26.04.2017 20:00 - 26.04.2017 20:15","69162","72940"
"26.04.2017 20:15 - 26.04.2017 20:30","68637","72298"
"26.04.2017 20:30 - 26.04.2017 20:45","67802","71884"
"26.04.2017 20:45 - 26.04.2017 21:00","67435","71543"
"26.04.2017 21:00 - 26.04.2017 21:15","66546","71367"
"26.04.2017 21:15 - 26.04.2017 21:30","65998","70648"
"26.04.2017 21:30 - 26.04.2017 21:45","64917","70020"
"26.04.2017 21:45 - 26.04.2017 22:00","64094","68614"
"26.04.2017 22:00 - 26.04.2017 22:15","63400","68570"
"26.04.2017 22:15 - 26.04.2017 22:30","62560","67798"
"26.04.2017 22:30 - 26.04.2017 22:45","61060","66456"
"26.04.2017 22:45 - 26.04.2017 23:00","59558","65356"
"26.04.2017 23:00 - 26.04.2017 23:15","57811","63953"
"26.04.2017 23:15 - 26.04.2017 23:30","56487","62562"
"26.04.2017 23:30 - 26.04.2017 23:45","55556","60991"
"26.04.2017 23:45 - 27.04.2017 00:00","54669","59781"
"27.04.2017 00:00 - 27.04.2017 00:15","54804","58854"
"27.04.2017 00:15 - 27.04.2017 00:30","54538","57962"
"27.04.2017 00:30 - 27.04.2017 00:45","53871","57198"
"27.04.2017 00:45 - 27.04.2017 01:00","53245","56517"
"27.04.2017 01:00 - 27.04.2017 01:15","52292","56021"
"27.04.2017 01:15 - 27.04.2017 01:30","51879","55610"
"27.04.2017 01:30 - 27.04.2017 01:45","51610","55132"
"27.04.2017 01:45 - 27.04.2017 02:00","51187","54977"
"27.04.2017 02:00 - 27.04.2017 02:15","50793","54354"
"27.04.2017 02:15 - 27.04.2017 02:30","50538","54258"
"27.04.2017 02:30 - 27.04.2017 02:45","50610","54348"
"27.04.2017 02:45 - 27.04.2017 03:00","50758","54449"
"27.04.2017 03:00 - 27.04.2017 03:15","50926","54645"
"27.04.2017 03:15 - 27.04.2017 03:30","50896","54887"
"27.04.2017 03:30 - 27.04.2017 03:45","51031","54979"
"27.04.2017 03:45 - 27.04.2017 04:00","51137","55122"
"27.04.2017 04:00 - 27.04.2017 04:15","51670","55697"
"27.04.2017 04:15 - 27.04.2017 04:30","51964","56115"
"27.04.2017 04:30 - 27.04.2017 04:45","52279","56980"
"27.04.2017 04:45 - 27.04.2017 05:00","52936","57615"
"27.04.2017 05:00 - 27.04.2017 05:15","54569","59024"
"27.04.2017 05:15 - 27.04.2017 05:30","55182","60040"
"27.04.2017 05:30 - 27.04.2017 05:45","56428","61444"
"27.04.2017 05:45 - 27.04.2017 06:00","57761","62683"
"27.04.2017 06:00 - 27.04.2017 06:15","61079","65534"
"27.04.2017 06:15 - 27.04.2017 06:30","62744","67828"
"27.04.2017 06:30 - 27.04.2017 06:45","64720","69850"
"27.04.2017 06:45 - 27.04.2017 07:00","66437","71097"
"27.04.2017 07:00 - 27.04.2017 07:15","68105","73007"
"27.04.2017 07:15 - 27.04.2017 07:30","69223","74202"
"27.04.2017 07:30 - 27.04.2017 07:45","70350","75344"
"27.04.2017 07:45 - 27.04.2017 08:00","71349","76244"
"27.04.2017 08:00 - 27.04.2017 08:15","71987","77029"
"27.04.2017 08:15 - 27.04.2017 08:30","72553","77465"
"27.04.2017 08:30 - 27.04.2017 08:45","72940","77952"
"27.04.2017 08:45 - 27.04.2017 09:00","72944","77898"
"27.04.2017 09:00 - 27.04.2017 09:15","73156","78035"
"27.04.2017 09:15 - 27.04.2017 09:30","73634","78071"
"27.04.2017 09:30 - 27.04.2017 09:45","74557","78504"
"27.04.2017 09:45 - 27.04.2017 10:00","74918","78733"
"27.04.2017 10:00 - 27.04.2017 10:15","75215","78909"
"27.04.2017 10:15 - 27.04.2017 10:30","76174","79385"
"27.04.2017 10:30 - 27.04.2017 10:45","76695","79787"
"27.04.2017 10:45 - 27.04.2017 11:00","77014","80196"
"27.04.2017 11:00 - 27.04.2017 11:15","77330","80473"
"27.04.2017 11:15 - 27.04.2017 11:30","77437","80873"
"27.04.2017 11:30 - 27.04.2017 11:45","77390","81006"
"27.04.2017 11:45 - 27.04.2017 12:00","77015","80744"
"27.04.2017 12:00 - 27.04.2017 12:15","76878","80114"
"27.04.2017 12:15 - 27.04.2017 12:30","76445","79878"
"27.04.2017 12:30 - 27.04.2017 12:45","76462","79819"
"27.04.2017 12:45 - 27.04.2017 13:00","76242","79525"
"27.04.2017 13:00 - 27.04.2017 13:15","75555","79696"
"27.04.2017 13:15 - 27.04.2017 13:30","75764","79490"
"27.04.2017 13:30 - 27.04.2017 13:45","75342","79029"
"27.04.2017 13:45 - 27.04.2017 14:00","74537","78274"
"27.04.2017 14:00 - 27.04.2017 14:15","74361","78042"
"27.04.2017 14:15 - 27.04.2017 14:30","73883","77932"
"27.04.2017 14:30 - 27.04.2017 14:45","73925","77518"
"27.04.2017 14:45 - 27.04.2017 15:00","74154","77499"
"27.04.2017 15:00 - 27.04.2017 15:15","73923","77659"
"27.04.2017 15:15 - 27.04.2017 15:30","73577","77436"
"27.04.2017 15:30 - 27.04.2017 15:45","72493","77030"
"27.04.2017 15:45 - 27.04.2017 16:00","72331","76407"
"27.04.2017 16:00 - 27.04.2017 16:15","71977","76099"
"27.04.2017 16:15 - 27.04.2017 16:30","71861","75703"
"27.04.2017 16:30 - 27.04.2017 16:45","71563","75452"
"27.04.2017 16:45 - 27.04.2017 17:00","70849","74977"
"27.04.2017 17:00 - 27.04.2017 17:15","70372","75062"
"27.04.2017 17:15 - 27.04.2017 17:30","70621","75316"
"27.04.2017 17:30 - 27.04.2017 17:45","70412","75339"
"27.04.2017 17:45 - 27.04.2017 18:00","70645","75296"
"27.04.2017 18:00 - 27.04.2017 18:15","70756","74798"
"27.04.2017 18:15 - 27.04.2017 18:30","70373","74829"
"27.04.2017 18:30 - 27.04.2017 18:45","70745","74776"
"27.04.2017 18:45 - 27.04.2017 19:00","70656","74781"
"27.04.2017 19:00 - 27.04.2017 19:15","70420","74315"
"27.04.2017 19:15 - 27.04.2017 19:30","70374","73966"
"27.04.2017 19:30 - 27.04.2017 19:45","70008","73631"
"27.04.2017 19:45 - 27.04.2017 20:00","69578","73475"
"27.04.2017 20:00 - 27.04.2017 20:15","69208","72812"
"27.04.2017 20:15 - 27.04.2017 20:30","68426","72348"
"27.04.2017 20:30 - 27.04.2017 20:45","67724","71920"
"27.04.2017 20:45 - 27.04.2017 21:00","67213","71539"
"27.04.2017 21:00 - 27.04.2017 21:15","66421","71527"
"27.04.2017 21:15 - 27.04.2017 21:30","65922","71227"
"27.04.2017 21:30 - 27.04.2017 21:45","65131","70063"
"27.04.2017 21:45 - 27.04.2017 22:00","64210","68828"
"27.04.2017 22:00 - 27.04.2017 22:15","63548","68339"
"27.04.2017 22:15 - 27.04.2017 22:30","62952","67410"
"27.04.2017 22:30 - 27.04.2017 22:45","61613","65886"
"27.04.2017 22:45 - 27.04.2017 23:00","60403","64642"
"27.04.2017 23:00 - 27.04.2017 23:15","58780","63567"
"27.04.2017 23:15 - 27.04.2017 23:30","57548","62101"
"27.04.2017 23:30 - 27.04.2017 23:45","56629","61040"
"27.04.2017 23:45 - 28.04.2017 00:00","55583","59851"
"28.04.2017 00:00 - 28.04.2017 00:15","54388","59261"
"28.04.2017 00:15 - 28.04.2017 00:30","53846","58633"
"28.04.2017 00:30 - 28.04.2017 00:45","53155","57726"
"28.04.2017 00:45 - 28.04.2017 01:00","52469","56915"
"28.04.2017 01:00 - 28.04.2017 01:15","51741","56444"
"28.04.2017 01:15 - 28.04.2017 01:30","51285","56100"
"28.04.2017 01:30 - 28.04.2017 01:45","50981","55535"
"28.04.2017 01:45 - 28.04.2017 02:00","50755","55210"
"28.04.2017 02:00 - 28.04.2017 02:15","50322","54964"
"28.04.2017 02:15 - 28.04.2017 02:30","50185","54541"
"28.04.2017 02:30 - 28.04.2017 02:45","50209","54682"
"28.04.2017 02:45 - 28.04.2017 03:00","50219","54634"
"28.04.2017 03:00 - 28.04.2017 03:15","50396","54742"
"28.04.2017 03:15 - 28.04.2017 03:30","50442","54933"
"28.04.2017 03:30 - 28.04.2017 03:45","50497","55046"
"28.04.2017 03:45 - 28.04.2017 04:00","50565","55342"
"28.04.2017 04:00 - 28.04.2017 04:15","51134","55817"
"28.04.2017 04:15 - 28.04.2017 04:30","51389","56389"
"28.04.2017 04:30 - 28.04.2017 04:45","51869","57037"
"28.04.2017 04:45 - 28.04.2017 05:00","52552","57727"
"28.04.2017 05:00 - 28.04.2017 05:15","54065","59194"
"28.04.2017 05:15 - 28.04.2017 05:30","54792","60209"
"28.04.2017 05:30 - 28.04.2017 05:45","56139","61482"
"28.04.2017 05:45 - 28.04.2017 06:00","57497","63056"
"28.04.2017 06:00 - 28.04.2017 06:15","60772","65595"
"28.04.2017 06:15 - 28.04.2017 06:30","62475","67963"
"28.04.2017 06:30 - 28.04.2017 06:45","64414","69833"
"28.04.2017 06:45 - 28.04.2017 07:00","66152","71259"
"28.04.2017 07:00 - 28.04.2017 07:15","67942","73063"
"28.04.2017 07:15 - 28.04.2017 07:30","69345","74275"
"28.04.2017 07:30 - 28.04.2017 07:45","70659","75135"
"28.04.2017 07:45 - 28.04.2017 08:00","71639","76314"
"28.04.2017 08:00 - 28.04.2017 08:15","72676","76912"
"28.04.2017 08:15 - 28.04.2017 08:30","73161","77622"
"28.04.2017 08:30 - 28.04.2017 08:45","73353","77936"
"28.04.2017 08:45 - 28.04.2017 09:00","73317","78018"
"28.04.2017 09:00 - 28.04.2017 09:15","73465","78168"
"28.04.2017 09:15 - 28.04.2017 09:30","73755","78126"
"28.04.2017 09:30 - 28.04.2017 09:45","74420","78359"
"28.04.2017 09:45 - 28.04.2017 10:00","74501","78718"
"28.04.2017 10:00 - 28.04.2017 10:15","74823","79391"
"28.04.2017 10:15 - 28.04.2017 10:30","75672","79649"
"28.04.2017 10:30 - 28.04.2017 10:45","75620","79893"
"28.04.2017 10:45 - 28.04.2017 11:00","75745","80201"
"28.04.2017 11:00 - 28.04.2017 11:15","76036","80184"
"28.04.2017 11:15 - 28.04.2017 11:30","76189","80305"
"28.04.2017 11:30 - 28.04.2017 11:45","76472","80406"
"28.04.2017 11:45 - 28.04.2017 12:00","75893","80112"
"28.04.2017 12:00 - 28.04.2017 12:15","75820","79637"
"28.04.2017 12:15 - 28.04.2017 12:30","75385","79368"
"28.04.2017 12:30 - 28.04.2017 12:45","75228","79134"
"28.04.2017 12:45 - 28.04.2017 13:00","75111","78706"
"28.04.2017 13:00 - 28.04.2017 13:15","74000","78432"
"28.04.2017 13:15 - 28.04.2017 13:30","73943","77953"
"28.04.2017 13:30 - 28.04.2017 13:45","73347","77078"
"28.04.2017 13:45 - 28.04.2017 14:00","72205","76109"
"28.04.2017 14:00 - 28.04.2017 14:15","71841","75781"
"28.04.2017 14:15 - 28.04.2017 14:30","71266","75788"
"28.04.2017 14:30 - 28.04.2017 14:45","71346","75322"
"28.04.2017 14:45 - 28.04.2017 15:00","71762","75013"
"28.04.2017 15:00 - 28.04.2017 15:15","71512","74737"
"28.04.2017 15:15 - 28.04.2017 15:30","70449","74174"
"28.04.2017 15:30 - 28.04.2017 15:45","70009","73842"
"28.04.2017 15:45 - 28.04.2017 16:00","69747","73186"
"28.04.2017 16:00 - 28.04.2017 16:15","69639","73108"
"28.04.2017 16:15 - 28.04.2017 16:30","69415","73136"
"28.04.2017 16:30 - 28.04.2017 16:45","69363","72969"
"28.04.2017 16:45 - 28.04.2017 17:00","68803","72765"
"28.04.2017 17:00 - 28.04.2017 17:15","68700","72745"
"28.04.2017 17:15 - 28.04.2017 17:30","69515","72789"
"28.04.2017 17:30 - 28.04.2017 17:45","68758","72632"
"28.04.2017 17:45 - 28.04.2017 18:00","68667","72506"
"28.04.2017 18:00 - 28.04.2017 18:15","68620","72291"
"28.04.2017 18:15 - 28.04.2017 18:30","68497","71946"
"28.04.2017 18:30 - 28.04.2017 18:45","68836","72071"
"28.04.2017 18:45 - 28.04.2017 19:00","68808","71737"
"28.04.2017 19:00 - 28.04.2017 19:15","68616","71599"
"28.04.2017 19:15 - 28.04.2017 19:30","68367","70851"
"28.04.2017 19:30 - 28.04.2017 19:45","68120","70543"
"28.04.2017 19:45 - 28.04.2017 20:00","67843","70304"
"28.04.2017 20:00 - 28.04.2017 20:15","67222","69880"
"28.04.2017 20:15 - 28.04.2017 20:30","66440","69022"
"28.04.2017 20:30 - 28.04.2017 20:45","65707","68688"
"28.04.2017 20:45 - 28.04.2017 21:00","65407","68556"
"28.04.2017 21:00 - 28.04.2017 21:15","64633","68365"
"28.04.2017 21:15 - 28.04.2017 21:30","64140","67862"
"28.04.2017 21:30 - 28.04.2017 21:45","63643","67024"
"28.04.2017 21:45 - 28.04.2017 22:00","62664","66178"
"28.04.2017 22:00 - 28.04.2017 22:15","62067","66084"
"28.04.2017 22:15 - 28.04.2017 22:30","61446","65558"
"28.04.2017 22:30 - 28.04.2017 22:45","60161","64187"
"28.04.2017 22:45 - 28.04.2017 23:00","58939","62889"
"28.04.2017 23:00 - 28.04.2017 23:15","57318","61737"
"28.04.2017 23:15 - 28.04.2017 23:30","56138","60699"
"28.04.2017 23:30 - 28.04.2017 23:45","55062","59578"
"28.04.2017 23:45 - 29.04.2017 00:00","54145","58739"
"29.04.2017 00:00 - 29.04.2017 00:15","53409","57655"
"29.04.2017 00:15 - 29.04.2017 00:30","53197","56657"
"29.04.2017 00:30 - 29.04.2017 00:45","52588","55716"
"29.04.2017 00:45 - 29.04.2017 01:00","51888","55100"
"29.04.2017 01:00 - 29.04.2017 01:15","50742","54431"
"29.04.2017 01:15 - 29.04.2017 01:30","50139","53531"
"29.04.2017 01:30 - 29.04.2017 01:45","49735","53456"
"29.04.2017 01:45 - 29.04.2017 02:00","49338","52911"
"29.04.2017 02:00 - 29.04.2017 02:15","48605","52683"
"29.04.2017 02:15 - 29.04.2017 02:30","48263","52279"
"29.04.2017 02:30 - 29.04.2017 02:45","48202","52444"
"29.04.2017 02:45 - 29.04.2017 03:00","47998","52120"
"29.04.2017 03:00 - 29.04.2017 03:15","47969","52364"
"29.04.2017 03:15 - 29.04.2017 03:30","47850","52379"
"29.04.2017 03:30 - 29.04.2017 03:45","47719","52287"
"29.04.2017 03:45 - 29.04.2017 04:00","47702","52352"
"29.04.2017 04:00 - 29.04.2017 04:15","47842","52466"
"29.04.2017 04:15 - 29.04.2017 04:30","47851","52438"
"29.04.2017 04:30 - 29.04.2017 04:45","47998","52573"
"29.04.2017 04:45 - 29.04.2017 05:00","48212","52803"
"29.04.2017 05:00 - 29.04.2017 05:15","48886","53166"
"29.04.2017 05:15 - 29.04.2017 05:30","48660","53305"
"29.04.2017 05:30 - 29.04.2017 05:45","49109","53004"
