"Time (CET/CEST)","Day-ahead Total Load Forecast [MW] - BZN|DE-AT-LU","Actual Total Load [MW] - BZN|DE-AT-LU"
"02.01.2017 00:15 - 02.01.2017 00:30","48209","52928"
"02.01.2017 00:30 - 02.01.2017 00:45","47853","52298"
"02.01.2017 00:45 - 02.01.2017 01:00","47218","51564"
"02.01.2017 01:00 - 02.01.2017 01:15","47780","51050"
"02.01.2017 01:15 - 02.01.2017 01:30","46613","50630"
"02.01.2017 01:30 - 02.01.2017 01:45","46545","50155"
"02.01.2017 01:45 - 02.01.2017 02:00","46188","49695"
"02.01.2017 02:00 - 02.01.2017 02:15","46353","49601"
"02.01.2017 02:15 - 02.01.2017 02:30","46232","49379"
"02.01.2017 02:30 - 02.01.2017 02:45","46020","49165"
"02.01.2017 02:45 - 02.01.2017 03:00","45924","49138"
"02.01.2017 03:00 - 02.01.2017 03:15","46196","49194"
"02.01.2017 03:15 - 02.01.2017 03:30","46330","49058"
"02.01.2017 03:30 - 02.01.2017 03:45","46191","49687"
"02.01.2017 03:45 - 02.01.2017 04:00","46350","49890"
"02.01.2017 04:00 - 02.01.2017 04:15","46979","50250"
"02.01.2017 04:15 - 02.01.2017 04:30","47639","50963"
"02.01.2017 04:30 - 02.01.2017 04:45","47748","51421"
"02.01.2017 04:45 - 02.01.2017 05:00","48326","51769"
"02.01.2017 05:00 - 02.01.2017 05:15","49695","53021"
"02.01.2017 05:15 - 02.01.2017 05:30","50375","53771"
"02.01.2017 05:30 - 02.01.2017 05:45","51378","54863"
"02.01.2017 05:45 - 02.01.2017 06:00","52802","56318"
"02.01.2017 06:00 - 02.01.2017 06:15","56147","58444"
"02.01.2017 06:15 - 02.01.2017 06:30","58418","60342"
"02.01.2017 06:30 - 02.01.2017 06:45","59966","62186"
"02.01.2017 06:45 - 02.01.2017 07:00","61728","64017"
"02.01.2017 07:00 - 02.01.2017 07:15","63763","66260"
"02.01.2017 07:15 - 02.01.2017 07:30","64983","67895"
"02.01.2017 07:30 - 02.01.2017 07:45","67270","69302"
"02.01.2017 07:45 - 02.01.2017 08:00","67805","70950"
"02.01.2017 08:00 - 02.01.2017 08:15","68199","71994"
"02.01.2017 08:15 - 02.01.2017 08:30","68813","72699"
"02.01.2017 08:30 - 02.01.2017 08:45","69940","73400"
"02.01.2017 08:45 - 02.01.2017 09:00","70277","74055"
"02.01.2017 09:00 - 02.01.2017 09:15","70159","74542"
"02.01.2017 09:15 - 02.01.2017 09:30","71261","75257"
"02.01.2017 09:30 - 02.01.2017 09:45","71787","76101"
"02.01.2017 09:45 - 02.01.2017 10:00","71868","76280"
"02.01.2017 10:00 - 02.01.2017 10:15","72593","76702"
"02.01.2017 10:15 - 02.01.2017 10:30","73058","76968"
"02.01.2017 10:30 - 02.01.2017 10:45","73273","77388"
"02.01.2017 10:45 - 02.01.2017 11:00","73755","77802"
"02.01.2017 11:00 - 02.01.2017 11:15","74276","78037"
"02.01.2017 11:15 - 02.01.2017 11:30","74387","78428"
"02.01.2017 11:30 - 02.01.2017 11:45","74723","78528"
"02.01.2017 11:45 - 02.01.2017 12:00","75136","78650"
"02.01.2017 12:00 - 02.01.2017 12:15","74056","78631"
"02.01.2017 12:15 - 02.01.2017 12:30","74063","78466"
"02.01.2017 12:30 - 02.01.2017 12:45","74316","78290"
"02.01.2017 12:45 - 02.01.2017 13:00","74240","78005"
"02.01.2017 13:00 - 02.01.2017 13:15","74540","78223"
"02.01.2017 13:15 - 02.01.2017 13:30","74012","77608"
"02.01.2017 13:30 - 02.01.2017 13:45","73510","77082"
"02.01.2017 13:45 - 02.01.2017 14:00","73244","76272"
"02.01.2017 14:00 - 02.01.2017 14:15","72882","76311"
"02.01.2017 14:15 - 02.01.2017 14:30","73007","76352"
"02.01.2017 14:30 - 02.01.2017 14:45","72822","76135"
"02.01.2017 14:45 - 02.01.2017 15:00","72639","75640"
"02.01.2017 15:00 - 02.01.2017 15:15","71731","75932"
"02.01.2017 15:15 - 02.01.2017 15:30","72273","75719"
"02.01.2017 15:30 - 02.01.2017 15:45","72497","75552"
"02.01.2017 15:45 - 02.01.2017 16:00","72210","75431"
"02.01.2017 16:00 - 02.01.2017 16:15","72187","75723"
"02.01.2017 16:15 - 02.01.2017 16:30","71520","76301"
