Datum;Erster;Hoch;Tief;Schlusskurs;Stuecke;Volumen
2020-12-30;41,8921;42,1177;41,8809;41,9135;;
2020-12-29;41,6842;42,1529;41,6523;41,8485;;
2020-12-28;41,7843;42,5871;41,6191;41,7043;;
2020-12-23;40,681;42,3745;40,6266;42,0301;;
2020-12-22;40,6365;41,3869;40,6365;40,8541;;
2020-12-21;41,6239;41,8982;40,4521;41,7798;;
2020-12-18;41,7806;42,7818;41,7806;42,617;;
2020-12-17;42,1505;42,3706;41,7545;42,1199;;
2020-12-16;41,4169;41,9783;41,3319;41,8801;;
2020-12-15;41,1612;41,904;41,023;41,8081;;
2020-12-14;41,6466;41,7538;40,5225;40,8714;;
2020-12-11;41,6332;41,7612;41,0856;41,2849;;
2020-12-10;40,3221;42,1326;40,3221;41,5872;;
2020-12-09;40,35;40,8898;39,9962;40,452;;
2020-12-08;39,936;40,436;39,7354;40,3764;;
2020-12-07;40,4244;40,7498;39,9183;40,1944;;
2020-12-04;40,6657;40,9926;40,1893;40,3083;;
2020-12-03;39,6642;40,2382;39,2527;40,0792;;
2020-12-02;39,0468;40,3703;39,0323;39,8817;;
2020-12-01;39,779;40,3305;39,2213;39,5667;;
2020-11-30;39,524;40,2568;39,4213;39,8839;;
2020-11-27;40,0917;40,6323;39,7165;40,3466;;
2020-11-26;40,758;40,7842;39,935;40,147;;
2020-11-25;40,6334;41,2156;40,4053;40,9755;;
2020-11-24;39,2681;40,4379;38,9174;40,3652;;
2020-11-23;38,2242;38,7068;38,0638;38,4887;;
2020-11-20;37,2984;38,0761;37,143;37,9415;;
2020-11-19;37,4217;37,6484;37,0068;37,4593;;
2020-11-18;36,8705;37,7706;36,867;37,284;;
2020-11-17;37,079;37,1169;36,2597;36,9082;;
2020-11-16;36,6145;37,7112;36,5347;37,0503;;
2020-11-13;36,3022;36,6406;36,1181;36,2052;;
2020-11-12;37,0891;37,6662;36,7253;36,7776;;
2020-11-11;37,6907;38,4576;37,1031;37,2907;;
2020-11-10;35,9332;36,9476;35,8423;36,8806;;
2020-11-09;33,9343;36,5111;33,724;35,425;;
2020-11-06;33,6969;34,2076;33,1295;33,4543;;
2020-11-05;34,0762;34,9704;34,059;34,3438;;
2020-11-04;34,302;35,2034;33,5784;34,9806;;
2020-11-03;33,1624;34,4895;33,008;34,058;;
2020-11-02;31,3653;33,7041;31,1823;33,6735;;
2020-10-30;32,3857;32,9261;32,0029;32,3434;;
2020-10-29;33,9152;33,9152;31,7981;32,5345;;
2020-10-28;34,7217;34,7472;33,4683;33,7345;;
2020-10-27;34,8281;35,3388;34,4651;34,6666;;
2020-10-26;34,8032;35,0592;34,2386;34,4948;;
2020-10-23;35,9278;36,3019;35,2602;35,3816;;
2020-10-22;35,3404;36,4217;35,3404;36,1641;;
2020-10-21;36,0935;36,1521;34,9526;35,2115;;
