Datum;Erster;Hoch;Tief;Schlusskurs;Stuecke;Volumen
2021-12-30;69,9905;70,0759;69,2271;69,8149;;
2021-12-29;69,8056;70,7801;69,1906;70,0445;;
2021-12-28;69,4225;70,151;68,9277;69,4781;;
2021-12-27;66,8544;69,4813;66,6902;69,3152;;
2021-12-23;66,5523;67,9168;66,1606;67,786;;
2021-12-22;65,4325;66,8322;65,2321;66,8117;;
2021-12-21;64,0022;65,7393;63,2187;65,7176;;
2021-12-20;63,2248;63,8348;61,5445;63,7676;;
2021-12-17;65,7202;65,9262;64,2102;64,6567;;
2021-12-16;65,969;66,6848;65,3672;65,9554;;
2021-12-15;64,7461;66,2168;64,4304;66,1237;;
2021-12-14;65,9953;66,4381;64,2819;64,9281;;
2021-12-13;67,8113;67,8113;65,8551;65,9595;;
2021-12-10;65,7546;67,118;65,6641;66,8983;;
2021-12-09;67,348;67,5064;65,3868;65,3916;;
2021-12-08;66,4864;67,5569;65,9701;67,2995;;
2021-12-07;65,6395;67,6943;65,6226;66,5162;;
2021-12-06;63,3075;65,3006;62,8607;65,1187;;
2021-12-03;62,7887;64,2083;61,365;61,9097;;
2021-12-02;61,5938;62,3267;58,4508;61,7444;;
2021-12-01;63,2003;64,3872;60,3311;60,6099;;
2021-11-30;62,2409;63,4484;59,5749;61,3808;;
2021-11-29;66,2913;67,3019;64,1558;64,6149;;
2021-11-26;69,6629;69,7439;63,5885;64,3175;;
2021-11-25;72,1258;72,3773;71,8007;72,1065;;
2021-11-24;73,7745;74,0808;73,0476;73,3399;;
2021-11-23;70,274;73,3878;69,8689;73,3474;;
2021-11-22;69,8133;71,005;69,3603;70,3272;;
2021-11-19;72,7261;72,9161;69,3533;69,5781;;
2021-11-18;70,3792;71,7572;69,9123;71,5608;;
2021-11-17;72,491;72,7044;70,5509;71,214;;
2021-11-16;72,9245;73,1194;71,7865;72,5914;;
2021-11-15;71,1144;71,8049;70,5578;71,7106;;
2021-11-12;71,8404;72,2583;71,0515;71,7162;;
2021-11-11;72,1278;72,783;71,3377;72,0514;;
2021-11-10;73,8247;73,9678;71,1049;71,5943;;
2021-11-09;72,0941;73,4326;71,9504;73,3818;;
2021-11-08;72,2768;72,5372;71,6775;72,3196;;
2021-11-05;70,2483;72,1912;69,9415;71,6093;;
2021-11-04;70,5818;73,0479;69,462;69,99;;
2021-11-03;72,4439;72,4723;70,1096;70,2773;;
2021-11-02;73,3656;73,476;72,2756;72,4536;;
2021-11-01;72,0832;73,5326;71,8401;73,0011;;
2021-10-29;72,1769;72,3765;71,0135;71,9602;;
2021-10-28;71,5014;72,4775;70,8314;72,4675;;
2021-10-27;73,2447;73,2924;71,844;71,844;;
2021-10-26;73,3143;73,8343;72,837;73,7638;;
2021-10-25;73,5706;73,9385;73,1473;73,1912;;
2021-10-22;71,694;73,041;71,5603;73,041;;
2021-10-21;72,9332;72,9365;71,1641;72,2834;;
2021-10-20;72,9228;73,9117;72,078;73,814;;
2021-10-19;72,6339;73,2876;71,9149;72,9207;;
2021-10-18;73,9611;74,1471;72,4078;72,5704;;
2021-10-15;73,1186;73,3696;72,6396;73,0721;;
2021-10-14;72,3418;72,8526;71,8396;72,5741;;
2021-10-13;72,1945;72,3881;71,2516;72,0619;;
2021-10-12;72,6413;72,8592;71,6741;72,1167;;
2021-10-11;72,3606;73,1296;72,1153;72,2425;;
2021-10-08;71,8823;72,1145;70,8909;71,356;;
2021-10-07;70,1611;71,3872;68,5082;71,3466;;
2021-10-06;71,8382;72,3855;69,8905;70,0474;;
2021-10-05;70,3173;71,6593;70,156;71,4644;;
2021-10-04;68,0021;70,4595;67,7362;69,8953;;
2021-10-01;67,653;68,4323;66,941;68,285;;
2021-09-30;67,2954;68,5503;66,1808;67,653;;
2021-09-29;66,1572;67,5707;65,9681;66,8226;;
2021-09-28;68,2111;68,5516;66,5744;66,6765;;
2021-09-27;66,8991;67,6088;66,6523;67,3803;;
2021-09-24;65,4966;66,0904;65,0325;65,9708;;
2021-09-23;65,2676;66,0801;64,6228;65,9673;;
2021-09-22;64,2374;65,0552;64,1036;64,7943;;
2021-09-21;63,6162;64,0918;62,5027;63,5343;;
2021-09-20;64,0912;64,1044;62,9167;63,6236;;
2021-09-17;64,027;64,2064;63,4172;64,0481;;
2021-09-16;64,2826;64,5378;63,4414;64,4179;;
2021-09-15;62,646;64,4306;62,646;63,9619;;
2021-09-14;62,7031;62,8949;61,9346;62,3397;;
2021-09-13;62,3195;62,7841;62,1029;62,5683;;
2021-09-10;60,9434;61,7947;60,8753;61,5389;;
2021-09-09;61,5712;61,8727;59,9896;60,2709;;
2021-09-08;61,0224;61,7129;60,7039;61,4793;;
2021-09-07;61,4051;61,4193;60,0175;60,3947;;
2021-09-06;60,4097;61,3833;60,3729;60,8961;;
2021-09-03;61,6924;62,0803;61,0492;61,1776;;
2021-09-02;60,231;62,0467;60,2024;61,463;;
2021-09-01;61,0991;61,2773;59,7008;60,4385;;
2021-08-31;61,0083;61,1848;60,4054;60,5289;;
2021-08-30;60,9136;61,343;60,2643;61,1501;;
2021-08-27;60,5027;61,0459;60,2238;60,979;;
2021-08-26;61,2984;61,3458;60,122;60,8407;;
2021-08-25;60,5011;61,7355;60,1527;61,5584;;
2021-08-24;58,8836;60,7493;58,7581;60,6529;;
2021-08-23;56,6457;58,8066;56,5891;58,542;;
2021-08-20;57,2048;57,3027;55,7447;55,7611;;
2021-08-19;57,485;57,5855;56,1376;57,21;;
2021-08-18;59,1741;59,7699;57,7084;57,7919;;
2021-08-17;58,9659;59,5147;58,5724;58,8397;;
2021-08-16;59,3249;59,8127;57,9724;59,2246;;
2021-08-13;60,0717;60,7077;59,5876;59,6991;;
2021-08-12;60,941;61,2841;60,303;60,6594;;
2021-08-11;60,3528;61,1112;59,0381;61,1062;;
2021-08-10;59,4622;60,7676;59,3979;60,3909;;
2021-08-09;58,8531;58,9828;57,5463;58,9538;;
2021-08-06;60,603;61,3523;59,6943;59,7832;;
2021-08-05;59,3718;60,3628;58,9355;60,2569;;
2021-08-04;61,0278;61,4359;59,1707;59,252;;
2021-08-03;61,2951;61,9263;59,8865;61,0517;;
2021-08-02;62,7616;63,035;60,9528;61,4861;;
2021-07-30;62,7469;63,6714;62,6748;63,2475;;
2021-07-29;62,4934;63,3355;62,4007;63,2805;;
2021-07-28;62,6223;62,9806;62,3421;62,4837;;
2021-07-27;62,6936;62,8079;61,9494;62,3871;;
2021-07-26;61,6819;62,7766;61,213;62,7157;;
2021-07-23;61,9672;62,4774;61,8779;62,4774;;
2021-07-22;61,2394;62,7762;61,1546;62,6282;;
2021-07-21;58,769;61,5092;58,6399;61,3652;;
2021-07-20;58,6227;59,256;57,4401;59,1195;;
2021-07-19;62,0976;62,1622;57,8086;58,2865;;
2021-07-16;62,1311;62,8129;61,378;62,1638;;
2021-07-15;62,8558;63,1587;62,0661;62,1181;;
2021-07-14;64,7472;64,9858;62,65;63,0936;;
2021-07-13;63,6298;64,7115;63,387;64,65;;
2021-07-12;63,6474;63,6681;62,7125;63,5568;;
2021-07-09;62,6645;63,9597;62,6346;63,7985;;
2021-07-08;61,8755;62,8467;61,047;62,8078;;
2021-07-07;63,1718;64,2732;61,5237;61,8888;;
2021-07-06;65,4466;65,8084;62,7535;63,3156;;
2021-07-05;64,3545;65,1222;64,1121;65,1222;;
2021-07-02;64,1264;64,6924;63,7788;64,545;;
2021-07-01;62,9493;64,6181;62,9302;63,6196;;
2021-06-30;62,6719;63,4217;62,286;62,8833;;
2021-06-29;62,2594;63,1015;61,7934;62,8871;;
2021-06-28;63,3287;63,4219;62,1559;62,3969;;
2021-06-25;62,779;63,1499;62,2164;63,0865;;
2021-06-24;62,5506;62,8869;61,9365;62,7178;;
2021-06-23;63,1372;63,6013;62,9008;63,0945;;
2021-06-22;63,1231;63,36;62,5762;63,0642;;
2021-06-21;62,0125;63,0887;61,4637;63,0714;;
2021-06-18;61,1201;62,0223;60,7505;61,7526;;
2021-06-17;62,1014;62,4557;60,4115;61,396;;
2021-06-16;61,4637;61,8785;61,0956;61,1666;;
2021-06-15;60,4525;61,3472;60,3164;61,3472;;
2021-06-14;60,402;60,8366;60,0986;60,3462;;
2021-06-11;59,7186;60,2967;59,7186;59,9735;;
2021-06-10;58,9493;59,9319;58,399;59,5546;;
2021-06-09;59,6014;59,8066;58,9709;59,1036;;
2021-06-08;58,33;59,4811;58,1467;59,4798;;
2021-06-07;58,6728;59,1817;58,553;58,8353;;
2021-06-04;58,9829;59,6015;58,9163;59,1997;;
2021-06-03;59,0399;59,0532;58,0659;58,6337;;
2021-06-02;57,9793;58,6986;57,8736;58,565;;
2021-06-01;57,4935;58,3938;57,283;57,7174;;
2021-05-31;56,7187;57,264;56,6775;56,9623;;
2021-05-28;57,2189;57,4491;56,5669;56,8674;;
2021-05-27;56,1668;56,8072;55,7676;56,7488;;
2021-05-26;56,1252;56,42;55,5845;56,221;;
2021-05-25;55,8026;56,0143;55,3813;55,7331;;
2021-05-21;53,5014;54,9342;53,0391;54,7453;;
2021-05-20;54,8386;55,0874;53,161;53,3807;;
2021-05-19;55,7444;55,9303;53,5668;54,6729;;
2021-05-18;57,0943;57,5083;55,2894;56,3246;;
2021-05-17;56,4398;57,3731;56,255;57,3275;;
2021-05-14;55,0318;56,7663;54,9208;56,7137;;
2021-05-13;56,6875;56,8104;55,1244;55,4844;;
2021-05-12;56,716;57,719;56,554;57,0931;;
2021-05-11;56,0558;56,5214;55,2676;56,4118;;
2021-05-10;56,6024;56,8162;55,5365;56,1029;;
2021-05-07;56,7874;56,9312;55,9572;56,5759;;
2021-05-06;57,3785;57,565;56,4461;56,672;;
2021-05-05;57,9116;58,2761;57,0188;57,2769;;
2021-05-04;56,2116;57,4549;56,1276;57,3882;;
2021-05-03;55,1924;56,3424;54,9702;56,1001;;
2021-04-30;56,0493;56,2217;54,962;55,2049;;
2021-04-29;55,3968;56,44;55,231;56,1003;;
2021-04-28;54,8595;55,8166;54,4968;55,2647;;
2021-04-27;54,3441;54,8147;53,968;54,7712;;
2021-04-26;53,5348;54,1388;52,9917;53,9424;;
2021-04-23;53,9282;54,3963;53,5018;54,2556;;
2021-04-22;53,5123;54,1563;53,1699;53,9337;;
2021-04-21;55,1256;55,4351;54,1647;54,2043;;
2021-04-20;56,3525;56,5009;54,4847;55,2256;;
2021-04-19;55,3619;55,8888;55,2314;55,8406;;
2021-04-16;56,1945;56,2261;55,5418;55,7586;;
2021-04-15;55,7173;56,0207;55,1573;55,8835;;
2021-04-14;53,8869;55,9454;53,7604;55,5355;;
2021-04-13;53,4912;53,9552;53,25;53,7558;;
2021-04-12;52,6858;53,9901;52,4753;53,1896;;
2021-04-09;53,114;53,2999;52,7029;53,0419;;
2021-04-08;52,8025;53,4389;52,6057;53,3452;;
2021-04-07;52,8521;53,4579;51,8813;53,1027;;
2021-04-06;53,136;54,4132;53,0419;53,1823;;
2021-04-01;53,8329;55,4559;53,282;55,0029;;
2021-03-31;55,1236;55,292;53,383;53,6892;;
2021-03-30;55,1441;55,4912;54,2188;54,5164;;
2021-03-29;53,8533;55,4282;53,5979;55,1615;;
2021-03-26;53,3035;54,9651;53,2102;54,5688;;
2021-03-25;53,4482;53,9607;51,6795;52,1754;;
2021-03-24;52,0323;54,4333;51,9156;54,1615;;
2021-03-23;53,8374;53,8897;50,7619;50,8851;;
2021-03-22;53,8273;54,5218;53,255;53,9355;;
2021-03-19;52,7299;54,5982;52,2984;54,3186;;
2021-03-18;57,0301;57,2449;51,9263;52,7214;;
2021-03-17;57,7872;57,8837;56,3018;57,0371;;
2021-03-16;57,1998;57,6089;56,585;57,5272;;
2021-03-15;58,5549;58,7473;57,0405;57,7847;;
2021-03-12;58,0578;58,6238;57,9472;58,0936;;
2021-03-11;56,9794;58,3835;56,8493;58,3645;;
2021-03-10;56,2485;57,5691;56,1297;57,4414;;
2021-03-09;57,2056;58,3097;56,5936;56,5936;;
2021-03-08;59,6242;59,7024;57,2293;57,2727;;
2021-03-05;57,0776;58,3296;56,6636;58,1592;;
2021-03-04;53,5061;56,2943;52,7831;55,8203;;
2021-03-03;52,0529;53,7374;52,0335;53,2083;;
2021-03-02;52,4414;53,3473;52,0275;52,0367;;
