Datum;Erster;Hoch;Tief;Schlusskurs;Stuecke;Volumen
2023-12-29;2,2602;2,3152;2,2544;2,2807;;
2023-12-28;2,2004;2,3163;2,1697;2,2874;;
2023-12-27;2,2441;2,3209;2,1963;2,2127;;
2023-12-22;2,2258;2,2665;2,19;2,2633;;
2023-12-21;2,1175;2,267;2,0989;2,2489;;
2023-12-20;2,3214;2,3633;2,1899;2,2052;;
2023-12-19;2,2662;2,3399;2,1793;2,333;;
2023-12-18;2,298;2,3771;2,2675;2,2992;;
2023-12-15;2,1739;2,3208;2,1601;2,2501;;
2023-12-14;2,1562;2,219;2,1188;2,2155;;
2023-12-13;2,0819;2,2066;2,0797;2,1693;;
2023-12-12;2,2249;2,272;2,1009;2,1148;;
2023-12-11;2,2303;2,2731;2,1291;2,2655;;
2023-12-08;2,3846;2,4212;2,3449;2,365;;
2023-12-07;2,3309;2,4177;2,2977;2,3804;;
2023-12-06;2,4939;2,5517;2,3573;2,3766;;
2023-12-05;2,4723;2,5714;2,4701;2,5031;;
2023-12-04;2,4914;2,5291;2,4392;2,4896;;
2023-12-01;2,5752;2,607;2,5356;2,5454;;
2023-11-30;2,5739;2,607;2,5297;2,5632;;
2023-11-29;2,5179;2,6081;2,5114;2,5426;;
2023-11-28;2,6986;2,73;2,552;2,5539;;
2023-11-27;2,6395;2,7034;2,6044;2,6845;;
2023-11-24;2,8035;2,8046;2,685;2,7387;;
2023-11-23;2,7694;2,82;2,7499;2,8079;;
2023-11-22;2,7211;2,7956;2,7131;2,784;;
2023-11-21;2,6293;2,6669;2,5921;2,6051;;
2023-11-20;2,6581;2,6824;2,6189;2,634;;
2023-11-17;2,8555;2,857;2,6603;2,7306;;
2023-11-16;2,9382;3,0044;2,7963;2,8149;;
2023-11-15;2,8475;3,0045;2,8375;2,9056;;
2023-11-14;2,9761;3,0148;2,8779;2,8864;;
2023-11-13;2,9376;3,0443;2,9261;3,0261;;
2023-11-10;2,8413;2,8722;2,8016;2,8383;;
2023-11-09;2,8889;2,9522;2,8276;2,8423;;
2023-11-08;2,9783;2,9783;2,8647;2,9392;;
2023-11-07;3,0451;3,0595;2,9027;2,9664;;
2023-11-06;3,1566;3,1702;3,0232;3,0467;;
2023-11-03;3,3094;3,3371;3,2289;3,2448;;
2023-11-02;3,2637;3,2992;3,1889;3,2909;;
2023-11-01;3,3864;3,3904;3,2561;3,3243;;
2023-10-31;3,1721;3,4162;3,148;3,3958;;
2023-10-30;3,1993;3,1993;3,1296;3,1382;;
2023-10-27;3,3822;3,451;3,2726;3,2842;;
2023-10-26;3,2092;3,3586;3,1667;3,3385;;
2023-10-25;3,1444;3,217;3,1359;3,2116;;
2023-10-24;2,7604;3,1461;2,7604;3,1436;;
2023-10-23;2,7134;2,7801;2,708;2,7529;;
2023-10-20;2,7953;2,8059;2,72;2,7572;;
2023-10-19;2,9316;2,9316;2,788;2,8056;;
2023-10-18;2,9076;2,9846;2,8748;2,8845;;
2023-10-17;2,9452;2,9656;2,8661;2,8924;;
2023-10-16;2,972;3,0166;2,8986;2,9612;;
2023-10-13;3,1546;3,1619;3,0491;3,0544;;
2023-10-12;3,1802;3,211;3,11;3,1556;;
2023-10-11;3,2329;3,2564;3,0429;3,1955;;
2023-10-10;3,1552;3,2532;3,1552;3,2095;;
2023-10-09;3,2652;3,2673;3,161;3,2131;;
2023-10-06;3,0126;3,1819;3,0018;3,1449;;
2023-10-05;2,8577;3,0398;2,8153;3,0192;;
2023-10-04;2,8199;2,9073;2,8048;2,8521;;
2023-10-03;2,7138;2,8291;2,6909;2,8078;;
2023-10-02;2,7542;2,7929;2,6877;2,7048;;
2023-09-29;2,8078;2,8097;2,6953;2,7719;;
2023-09-28;2,7455;2,8225;2,7189;2,7867;;
2023-09-27;2,7316;2,7905;2,7188;2,7374;;
2023-09-26;2,7145;2,7246;2,6349;2,6827;;
2023-09-25;2,6983;2,758;2,6902;2,7226;;
2023-09-22;2,4691;2,5171;2,4436;2,4778;;
2023-09-21;2,5713;2,5811;2,4398;2,4663;;
2023-09-20;2,5751;2,5946;2,5251;2,5538;;
2023-09-19;2,5619;2,674;2,529;2,6434;;
2023-09-18;2,4809;2,5701;2,4477;2,5559;;
2023-09-15;2,5332;2,5639;2,4739;2,4895;;
2023-09-14;2,539;2,6227;2,5081;2,5148;;
2023-09-13;2,5528;2,5812;2,4603;2,5242;;
2023-09-12;2,4423;2,5896;2,4292;2,5594;;
2023-09-11;2,3786;2,4512;2,3631;2,4378;;
2023-09-08;2,4376;2,4779;2,4144;2,4358;;
2023-09-07;2,3398;2,4353;2,3267;2,4145;;
2023-09-06;2,3762;2,4287;2,328;2,3431;;
2023-09-05;2,4402;2,4803;2,3896;2,4122;;
2023-09-04;2,5141;2,5181;2,4408;2,4593;;
2023-09-01;2,5473;2,635;2,5225;2,5338;;
2023-08-31;2,5662;2,6284;2,5207;2,5474;;
2023-08-30;2,4712;2,5791;2,4307;2,5764;;
2023-08-29;2,4746;2,4977;2,4251;2,4726;;
2023-08-28;2,5444;2,6139;2,4527;2,4735;;
2023-08-25;2,428;2,4749;2,3909;2,4715;;
2023-08-24;2,3852;2,4696;2,3314;2,4197;;
2023-08-23;2,474;2,476;2,3746;2,3801;;
2023-08-22;2,488;2,5082;2,4149;2,4291;;
2023-08-21;2,4044;2,4554;2,3663;2,3899;;
2023-08-18;2,4296;2,4296;2,3258;2,3621;;
2023-08-17;2,392;2,4436;2,3632;2,4033;;
2023-08-16;2,4269;2,4492;2,3541;2,3736;;
2023-08-15;2,6189;2,6199;2,4221;2,4411;;
2023-08-14;2,5619;2,5853;2,5148;2,5548;;
2023-08-11;2,5444;2,5716;2,4546;2,5274;;
2023-08-10;2,705;2,7233;2,4935;2,521;;
2023-08-09;2,5514;2,7474;2,5303;2,7002;;
2023-08-08;2,4888;2,5566;2,4608;2,5507;;
2023-08-07;2,3793;2,5056;2,3403;2,502;;
2023-08-04;2,3617;2,3878;2,312;2,3577;;
2023-08-03;2,2843;2,3622;2,2564;2,3394;;
2023-08-02;2,3528;2,3532;2,2367;2,2564;;
2023-08-01;2,4407;2,4439;2,3063;2,3454;;
2023-07-31;2,4192;2,4389;2,364;2,3955;;
2023-07-28;2,3845;2,4349;2,3315;2,395;;
2023-07-27;2,4249;2,4249;2,292;2,3391;;
2023-07-26;2,4925;2,4938;2,3989;2,4297;;
2023-07-25;2,4846;2,4973;2,4157;2,4743;;
2023-07-24;2,4356;2,4839;2,4014;2,4268;;
2023-07-21;2,4814;2,5045;2,4169;2,4367;;
2023-07-20;2,3666;2,4881;2,3468;2,4462;;
2023-07-19;2,3547;2,3644;2,3023;2,3437;;
2023-07-18;2,2764;2,3492;2,2473;2,327;;
2023-07-17;2,2901;2,295;2,2147;2,2534;;
2023-07-14;2,2854;2,3182;2,2199;2,2639;;
2023-07-13;2,392;2,3929;2,2705;2,2799;;
2023-07-12;2,4946;2,4946;2,3758;2,3999;;
2023-07-11;2,4379;2,498;2,4035;2,4856;;
2023-07-10;2,4237;2,4523;2,3988;2,4315;;
2023-07-07;2,4401;2,4529;2,3366;2,3577;;
2023-07-06;2,4443;2,4627;2,3742;2,416;;
2023-07-05;2,5723;2,5723;2,4363;2,4442;;
2023-07-04;2,4899;2,5306;2,4425;2,519;;
2023-07-03;2,5024;2,5184;2,4521;2,4703;;
2023-06-30;2,495;2,5952;2,4307;2,5605;;
2023-06-29;2,4552;2,5042;2,3932;2,4589;;
2023-06-28;2,61;2,6294;2,4251;2,4275;;
2023-06-27;2,6436;2,6436;2,5208;2,5607;;
2023-06-26;2,634;2,6857;2,5885;2,6417;;
2023-06-23;2,3799;2,5183;2,3196;2,5045;;
2023-06-22;2,3622;2,3922;2,3089;2,3652;;
2023-06-21;2,2942;2,3788;2,242;2,3763;;
2023-06-20;2,4382;2,4618;2,2777;2,2812;;
2023-06-19;2,3668;2,4528;2,3589;2,4324;;
2023-06-16;2,3585;2,4141;2,3019;2,3812;;
2023-06-15;2,1545;2,3722;2,137;2,3659;;
2023-06-14;2,136;2,2069;2,127;2,1672;;
2023-06-13;2,1328;2,1899;2,119;2,1613;;
2023-06-12;2,1047;2,1226;2,0511;2,1078;;
2023-06-09;2,1455;2,1673;2,0875;2,0987;;
2023-06-08;2,1642;2,2076;2,122;2,1724;;
2023-06-07;2,0988;2,1844;2,098;2,1711;;
2023-06-06;2,1204;2,1405;2,0355;2,1175;;
2023-06-05;2,073;2,1637;2,0593;2,1057;;
2023-06-02;2,0087;2,0704;1,985;2,0231;;
2023-06-01;2,0951;2,1294;1,9996;2,0183;;
2023-05-31;2,1155;2,2508;2,1029;2,1118;;
2023-05-30;2,1609;2,2056;2,1027;2,1501;;
2023-05-29;2,2477;2,2853;2,1794;2,2067;;
2023-05-26;2,2807;2,3027;2,2138;2,2478;;
2023-05-25;2,3738;2,4031;2,2615;2,2946;;
2023-05-24;2,3213;2,3842;2,3119;2,3824;;
2023-05-23;2,3624;2,3778;2,3046;2,326;;
2023-05-22;2,327;2,372;2,1966;2,2159;;
2023-05-19;2,3881;2,4773;2,3667;2,4011;;
2023-05-18;2,1692;2,4293;2,1681;2,4166;;
2023-05-17;2,1384;2,2427;2,1384;2,1883;;
2023-05-16;2,1613;2,2622;2,1498;2,1602;;
2023-05-15;2,0885;2,188;2,0816;2,1817;;
2023-05-12;1,982;2,1319;1,969;2,0818;;
2023-05-11;1,9845;2,0585;1,9744;1,9975;;
2023-05-10;2,0318;2,0552;1,9747;1,9916;;
2023-05-09;2,0097;2,0924;1,9929;2,0674;;
2023-05-08;1,9777;2,0333;1,9667;2,0182;;
2023-05-05;1,8459;1,9622;1,8393;1,913;;
2023-05-04;1,9689;1,9722;1,878;1,8816;;
2023-05-03;2,0081;2,0254;1,9003;1,9454;;
2023-05-02;2,0938;2,1344;1,9897;2,0169;;
2023-04-28;2,12;2,288;2,0791;2,1795;;
2023-04-27;2,0854;2,1485;2,058;2,1283;;
2023-04-26;2,1658;2,1869;2,0582;2,0921;;
2023-04-25;2,2075;2,2252;2,1443;2,1709;;
2023-04-24;2,1404;2,252;2,1318;2,2346;;
2023-04-21;1,997;2,0581;1,9719;2,0099;;
2023-04-20;1,997;2,0657;1,9547;2,0252;;
2023-04-19;2,1411;2,1786;2,0096;2,0281;;
2023-04-18;2,0538;2,1682;2,0273;2,1538;;
2023-04-17;1,962;2,0989;1,9449;2,0794;;
2023-04-14;1,8252;1,9264;1,7619;1,9088;;
2023-04-13;1,872;1,9304;1,8078;1,8292;;
2023-04-12;2,0049;2,0316;1,8962;1,9185;;
2023-04-11;1,9959;2,0559;1,9491;2,0382;;
2023-04-06;1,942;1,9933;1,8247;1,8497;;
2023-04-05;1,8984;2,0031;1,8855;1,958;;
2023-04-04;1,9351;1,9757;1,9018;1,9156;;
2023-04-03;1,8717;1,9822;1,8717;1,9443;;
2023-03-31;1,9147;2,0514;1,9065;2,0171;;
2023-03-30;1,951;1,989;1,9103;1,9352;;
2023-03-29;1,9585;2,0486;1,9395;2,0104;;
2023-03-28;2,0468;2,0842;1,9677;1,9897;;
2023-03-27;2,1169;2,13;2,0294;2,0707;;
2023-03-24;2,1304;2,2377;2,1123;2,1525;;
2023-03-23;2,0453;2,0745;1,962;1,978;;
2023-03-22;2,1255;2,2624;1,9962;2,0543;;
2023-03-21;2,0465;2,1806;1,9694;2,1582;;
2023-03-20;2,1402;2,2648;2,0635;2,0829;;
