Datum;Erster;Hoch;Tief;Schlusskurs;Stuecke;Volumen
2020-12-30;1,9686;1,9932;1,9621;1,9894;;
2020-12-29;1,8819;2,014;1,8727;1,9841;;
2020-12-28;1,8893;1,9245;1,8424;1,9245;;
2020-12-23;2,2616;2,2616;2,0872;2,1226;;
2020-12-22;2,1852;2,2585;2,1847;2,2187;;
2020-12-21;2,1927;2,2199;2,1589;2,2153;;
2020-12-18;2,1542;2,2117;2,1536;2,2005;;
2020-12-17;2,2076;2,2076;2,1192;2,1584;;
2020-12-16;2,161;2,1955;2,1389;2,1849;;
2020-12-15;2,1807;2,2125;2,1319;2,1787;;
2020-12-14;2,1908;2,2191;2,1676;2,1702;;
2020-12-11;2,0992;2,1572;2,0711;2,1299;;
2020-12-10;1,9625;2,1268;1,9625;2,1157;;
2020-12-09;2,0225;2,0668;1,9895;1,9988;;
2020-12-08;2,0318;2,0331;1,9473;2,0031;;
2020-12-07;2,0087;2,0151;1,9496;1,9891;;
2020-12-04;2,0463;2,1352;2,0121;2,1009;;
2020-12-03;2,2359;2,2366;2,0357;2,0586;;
2020-12-02;2,35;2,4196;2,2591;2,2612;;
2020-12-01;2,4514;2,4525;2,3582;2,408;;
2020-11-30;2,40;2,4852;2,3952;2,4374;;
2020-11-27;2,4595;2,4697;2,3614;2,3629;;
2020-11-26;2,4502;2,4667;2,4319;2,4469;;
2020-11-25;2,3794;2,5128;2,3758;2,4647;;
2020-11-24;2,3576;2,4354;2,3484;2,4307;;
2020-11-23;2,3652;2,3755;2,3065;2,348;;
2020-11-20;2,2933;2,352;2,2933;2,3274;;
2020-11-19;2,3899;2,3924;2,2328;2,2952;;
2020-11-18;2,3825;2,4421;2,363;2,3677;;
2020-11-17;2,2797;2,4186;2,2797;2,3783;;
2020-11-16;2,407;2,4212;2,2456;2,2534;;
2020-11-13;2,5026;2,5964;2,4947;2,5111;;
2020-11-12;2,5425;2,5718;2,4902;2,5016;;
2020-11-11;2,5081;2,5888;2,4645;2,5669;;
2020-11-10;2,4479;2,5337;2,4057;2,5136;;
2020-11-09;2,3863;2,4474;2,3722;2,3901;;
2020-11-06;2,4562;2,4867;2,4012;2,4336;;
2020-11-05;2,5538;2,6108;2,4561;2,4605;;
2020-11-04;2,6013;2,6149;2,5495;2,5977;;
2020-11-03;2,7224;2,7248;2,5892;2,6072;;
2020-11-02;2,8461;2,8591;2,7465;2,7602;;
2020-10-30;2,8347;2,8916;2,7754;2,8916;;
2020-10-29;2,8035;2,844;2,6813;2,8204;;
2020-10-28;2,7942;2,8202;2,7734;2,7879;;
2020-10-27;2,7255;2,8074;2,6772;2,7847;;
2020-10-26;2,7022;2,77;2,7014;2,7293;;
2020-10-23;2,7203;2,744;2,6629;2,6791;;
2020-10-22;2,8011;2,8276;2,7438;2,753;;
2020-10-21;2,7788;2,8284;2,7788;2,8071;;
2020-10-20;2,3115;2,3483;2,2749;2,291;;
2020-10-19;2,2486;2,4318;2,2424;2,3979;;
2020-10-16;2,3403;2,4112;2,268;2,28;;
2020-10-15;2,2656;2,3969;2,2622;2,3636;;
2020-10-14;2,3146;2,318;2,2063;2,2063;;
2020-10-13;2,397;2,4308;2,3484;2,3711;;
2020-10-12;2,4452;2,4746;2,3849;2,4016;;
2020-10-09;2,2267;2,3751;2,2193;2,3271;;
2020-10-08;2,1793;2,2375;2,1242;2,2269;;
2020-10-07;2,1326;2,2606;2,1138;2,2003;;
2020-10-06;2,2162;2,2749;2,1108;2,1264;;
2020-10-05;2,1585;2,3017;2,115;2,2314;;
2020-10-02;2,0734;2,1605;2,0143;2,091;;
2020-10-01;2,1772;2,1903;2,0652;2,1062;;
2020-09-30;2,1042;2,1847;2,0737;2,1511;;
2020-09-29;2,347;2,3639;2,1325;2,1325;;
2020-09-28;2,3996;2,3996;2,3088;2,3653;;
2020-09-25;2,429;2,4956;2,3911;2,3969;;
2020-09-24;2,4707;2,4987;2,3776;2,4613;;
2020-09-23;1,5163;2,414;1,5051;2,3973;;
2020-09-22;1,5911;1,6016;1,5327;1,5615;;
2020-09-21;1,7018;1,7079;1,5158;1,5499;;
2020-09-18;1,6603;1,7468;1,6322;1,7358;;
2020-09-17;1,8971;1,9242;1,6766;1,679;;
2020-09-16;1,9954;2,0069;1,875;1,8767;;
2020-09-15;1,9352;1,9962;1,9037;1,968;;
2020-09-14;1,9717;2,0103;1,9181;1,9441;;
2020-09-11;1,951;1,9524;1,8863;1,8883;;
2020-09-10;2,0144;2,0293;1,9385;1,9398;;
2020-09-09;2,0202;2,0968;1,9737;2,0123;;
2020-09-08;2,1792;2,1792;2,0071;2,0096;;
2020-09-07;2,1577;2,168;2,1072;2,1484;;
2020-09-04;2,1017;2,1907;2,055;2,1728;;
2020-09-03;2,102;2,1676;2,0765;2,0982;;
2020-09-02;2,1352;2,1688;2,0403;2,099;;
2020-09-01;2,2235;2,2391;2,0875;2,1033;;
2020-08-31;2,2015;2,2326;2,0916;2,1944;;
2020-08-28;2,2732;2,2931;2,1981;2,2248;;
2020-08-27;2,2138;2,426;2,2138;2,287;;
2020-08-26;2,2224;2,3963;2,1893;2,29;;
2020-08-25;2,2581;2,4161;2,1869;2,187;;
2020-08-24;2,0368;2,3878;2,0368;2,3332;;
2020-08-21;2,1774;2,3632;2,1404;2,187;;
2020-08-20;2,1065;2,3766;2,1053;2,2316;;
2020-08-19;2,0492;2,4282;2,022;2,2227;;
2020-08-18;1,9552;2,0757;1,9492;2,046;;
2020-08-17;1,9871;2,0294;1,9519;1,9769;;
2020-08-14;1,8242;2,0202;1,8242;1,9895;;
2020-08-13;1,839;1,8764;1,8128;1,8464;;
2020-08-12;1,8165;1,8473;1,7773;1,8037;;
2020-08-11;1,8563;1,8985;1,8138;1,8315;;
2020-08-10;1,9468;1,9495;1,8048;1,8557;;
2020-08-07;1,8157;1,9288;1,8139;1,906;;
2020-08-06;1,9348;1,9348;1,8094;1,8094;;
2020-08-05;1,8489;1,9165;1,8338;1,8854;;
2020-08-04;1,7798;1,8652;1,7558;1,8649;;
