Datum;Erster;Hoch;Tief;Schlusskurs;Stuecke;Volumen
2022-12-30;4,1632;4,3264;4,1632;4,2735;;
2022-12-29;4,4631;4,4863;4,1572;4,3067;;
2022-12-28;4,6172;4,6279;4,198;4,4458;;
2022-12-27;4,8036;4,8581;4,7127;4,7734;;
2022-12-23;4,7243;4,8426;4,5145;4,7154;;
2022-12-22;5,2046;5,2046;4,7017;4,7523;;
2022-12-21;5,1927;5,2609;4,9637;5,0981;;
2022-12-20;5,5354;5,548;4,9737;5,0435;;
2022-12-19;5,8864;5,9169;5,4491;5,5058;;
2022-12-16;6,2465;6,3131;5,9141;6,2194;;
2022-12-15;6,0443;6,6211;6,0016;6,4868;;
2022-12-14;6,3018;6,348;5,9842;5,9968;;
2022-12-13;6,4257;6,7347;6,3925;6,6184;;
2022-12-12;6,5245;6,6611;6,167;6,1806;;
2022-12-09;5,5456;6,0501;5,5271;5,9873;;
2022-12-08;5,5906;5,8634;5,4923;5,6919;;
2022-12-07;5,4285;5,5534;5,1474;5,535;;
2022-12-06;5,3091;5,358;5,0946;5,1202;;
2022-12-05;5,5715;5,7233;5,2632;5,3163;;
2022-12-02;6,3006;6,4296;5,9173;5,9518;;
2022-12-01;6,685;6,8929;6,4387;6,5631;;
2022-11-30;6,9331;7,0307;6,5826;6,7209;;
2022-11-29;6,99;7,1599;6,86;7,0116;;
2022-11-28;6,7057;7,0609;6,6343;7,0196;;
2022-11-25;7,2488;7,4713;6,9648;6,9648;;
2022-11-24;7,3236;7,4953;7,2225;7,33;;
2022-11-23;7,6282;7,915;7,3636;7,4873;;
2022-11-22;6,4022;6,7918;6,2959;6,7271;;
2022-11-21;6,0581;6,6796;6,0064;6,5519;;
2022-11-18;6,0102;6,2319;5,856;6,1216;;
2022-11-17;6,048;6,3434;6,048;6,1892;;
2022-11-16;5,7718;5,9867;5,5256;5,9695;;
2022-11-15;5,931;5,9655;5,6316;5,8868;;
2022-11-14;5,8974;6,2159;5,724;5,8346;;
2022-11-11;6,0321;6,3075;5,6267;5,7632;;
2022-11-10;5,9903;6,2903;5,8087;6,1898;;
2022-11-09;6,2797;6,318;5,708;5,9203;;
2022-11-08;6,6404;6,6942;6,0838;6,2643;;
2022-11-07;6,9219;7,2324;6,6038;6,7324;;
2022-11-04;6,1824;6,5971;6,0062;6,5604;;
2022-11-03;6,242;6,3292;6,0401;6,0903;;
2022-11-02;5,9161;6,35;5,8948;6,2612;;
2022-11-01;6,2442;6,2895;5,6692;5,8726;;
2022-10-31;6,0654;6,4478;6,0591;6,3597;;
2022-10-28;5,8169;5,8981;5,592;5,8259;;
2022-10-27;6,1576;6,1862;5,7034;5,8517;;
2022-10-26;6,2325;6,2432;5,8346;6,1337;;
2022-10-25;5,2678;6,2938;5,2629;6,2876;;
2022-10-24;4,9001;5,3408;4,8465;5,2661;;
2022-10-21;5,4424;5,4639;5,0569;5,1517;;
2022-10-20;5,6502;5,6849;5,3778;5,4724;;
2022-10-19;5,8825;5,9233;5,5725;5,5806;;
2022-10-18;6,0181;6,2004;5,7924;5,8283;;
2022-10-17;6,4481;6,4928;6,0913;6,1381;;
2022-10-14;6,8897;6,9309;6,6156;6,674;;
2022-10-13;6,6914;6,9461;6,5491;6,8862;;
2022-10-12;6,77;7,0143;6,6092;6,6205;;
2022-10-11;6,7048;6,8581;6,5669;6,7693;;
2022-10-10;6,884;7,1229;6,6362;6,7333;;
2022-10-07;6,9116;7,072;6,8086;6,8136;;
2022-10-06;7,1806;7,2919;7,0283;7,0301;;
2022-10-05;6,813;7,0746;6,725;7,0323;;
2022-10-04;6,5686;6,9668;6,4201;6,9103;;
2022-10-03;6,8524;6,9149;6,4827;6,6963;;
2022-09-30;7,0537;7,2226;6,9099;6,9777;;
2022-09-29;7,2728;7,3566;6,8483;7,1045;;
2022-09-28;7,1555;7,3559;6,8853;7,341;;
2022-09-27;7,457;7,5197;7,0195;7,0727;;
2022-09-26;7,3074;7,3503;6,9686;7,308;;
2022-09-23;7,5652;7,5698;7,0691;7,1926;;
2022-09-22;7,8415;7,9264;7,2917;7,4135;;
2022-09-21;7,8798;8,2067;7,6775;7,8747;;
2022-09-20;7,8989;7,9732;7,6868;7,7262;;
2022-09-19;7,6283;7,9382;7,4416;7,9248;;
2022-09-16;8,3716;8,3728;7,8122;7,8433;;
2022-09-15;9,0771;9,0852;8,2552;8,3129;;
2022-09-14;8,4259;9,2228;8,3552;9,1007;;
2022-09-13;8,2499;8,3152;8,0681;8,2859;;
2022-09-12;7,9755;8,2801;7,7769;8,2693;;
2022-09-09;8,0617;8,1696;7,8804;8,0328;;
2022-09-08;7,899;8,0529;7,79;7,9671;;
2022-09-07;8,1025;8,234;7,9062;7,9124;;
2022-09-06;8,7679;8,9117;7,9581;8,1103;;
2022-09-05;9,0889;9,0926;8,7932;8,8589;;
2022-09-02;9,1924;9,1924;8,6591;8,906;;
2022-09-01;9,0926;9,3738;9,0288;9,1922;;
2022-08-31;9,0879;9,2774;8,843;9,1675;;
2022-08-30;9,1922;9,2724;8,8937;9,0605;;
2022-08-29;9,5423;9,5809;9,0496;9,2718;;
2022-08-26;9,5891;9,6314;9,196;9,2721;;
2022-08-25;9,2649;9,4151;9,2443;9,3837;;
2022-08-24;9,3391;9,4529;9,1784;9,2897;;
2022-08-23;9,9576;10,0455;9,2157;9,3395;;
2022-08-22;9,2145;9,9654;9,2142;9,8265;;
2022-08-19;9,1062;9,3423;8,8555;9,267;;
2022-08-18;9,1243;9,3748;8,8076;9,0662;;
2022-08-17;9,2977;9,5076;9,026;9,1034;;
2022-08-16;8,7154;9,2972;8,7129;9,2558;;
2022-08-15;8,4903;8,754;8,2697;8,7054;;
2022-08-12;8,4347;8,6766;8,3341;8,5511;;
2022-08-11;8,0497;8,7056;7,9942;8,4681;;
2022-08-10;7,6697;8,0766;7,5438;8,0506;;
2022-08-09;7,5659;7,7241;7,4757;7,6631;;
2022-08-08;7,7309;7,7854;7,4353;7,4891;;
2022-08-05;7,9498;8,0601;7,7539;7,8351;;
2022-08-04;8,1512;8,3124;7,8385;8,0477;;
2022-08-03;7,595;8,3202;7,4524;8,1342;;
2022-08-02;7,9834;8,0566;7,5021;7,5143;;
2022-08-01;7,7404;8,1207;7,6353;8,0932;;
2022-07-29;7,9778;8,2165;7,8962;8,159;;
2022-07-28;8,5136;8,6258;8,0426;8,138;;
2022-07-27;8,6345;8,856;8,2585;8,5103;;
2022-07-26;8,5667;9,281;8,5648;8,6517;;
2022-07-25;8,0501;8,5168;8,0431;8,4466;;
2022-07-22;7,7342;8,1498;7,5433;8,0884;;
2022-07-21;7,6704;8,0125;7,5136;7,8333;;
2022-07-20;7,066;7,9157;7,0624;7,7692;;
2022-07-19;7,2766;7,3864;6,9977;7,1937;;
2022-07-18;7,0861;7,4766;7,0414;7,383;;
2022-07-15;6,6307;7,1219;6,4246;7,1122;;
2022-07-14;6,696;6,916;6,5941;6,7004;;
2022-07-13;6,2932;6,7713;6,2271;6,5819;;
2022-07-12;6,5112;6,7764;6,0595;6,2404;;
2022-07-11;6,3417;6,646;6,2088;6,4502;;
2022-07-08;6,1201;6,229;5,9599;5,9891;;
2022-07-07;5,4887;6,2909;5,4621;6,1374;;
2022-07-06;5,5462;5,6658;5,3266;5,4807;;
2022-07-05;5,6797;5,6967;5,2474;5,3626;;
2022-07-04;5,4645;5,6797;5,4109;5,6562;;
2022-07-01;5,4835;5,7342;5,4468;5,475;;
2022-06-30;6,2872;6,3691;5,2398;5,4125;;
2022-06-29;6,4617;6,5213;6,1449;6,1507;;
2022-06-28;6,1946;6,4018;6,1748;6,3312;;
2022-06-27;5,8885;6,2579;5,7979;6,1732;;
2022-06-24;5,9645;6,1078;5,7863;5,9759;;
2022-06-23;6,5057;6,5386;5,9282;5,9623;;
2022-06-22;6,3495;6,6123;6,2938;6,5082;;
2022-06-21;6,4124;6,6183;6,2622;6,5227;;
2022-06-20;6,4159;6,5354;6,3456;6,3993;;
2022-06-17;7,0875;7,2475;6,6049;6,7154;;
2022-06-16;7,283;7,7097;7,0865;7,1977;;
2022-06-15;7,0298;7,3942;6,9606;7,237;;
2022-06-14;8,1858;8,5198;6,7591;6,9974;;
2022-06-13;8,2696;8,5406;8,0932;8,3176;;
2022-06-10;8,5242;8,6688;8,1857;8,3084;;
2022-06-09;7,7274;8,4224;7,5091;8,3605;;
2022-06-08;8,7105;9,0031;7,9284;8,1083;;
2022-06-07;8,8241;8,9459;8,683;8,7897;;
2022-06-06;8,2409;8,781;8,237;8,7458;;
2022-06-03;7,7692;8,1186;7,7329;7,982;;
2022-06-02;8,1695;8,4804;7,891;7,9678;;
2022-06-01;7,7966;8,2271;7,6535;8,2171;;
2022-05-31;8,1872;8,2247;7,6281;7,7123;;
2022-05-30;8,217;8,30;8,0747;8,1298;;
2022-05-27;8,2281;8,2763;7,7628;8,1558;;
2022-05-26;8,3991;8,8225;8,1172;8,2233;;
2022-05-25;8,2986;8,8531;8,294;8,4786;;
2022-05-24;8,2909;8,4272;8,1387;8,3084;;
2022-05-23;7,7132;8,3733;7,4961;8,3375;;
2022-05-20;7,6295;7,8542;7,5585;7,7505;;
