Datum;Erster;Hoch;Tief;Schlusskurs;Stuecke;Volumen
2021-12-30;3,4745;3,4774;3,3324;3,3508;;
2021-12-29;3,47;3,5996;3,3702;3,3829;;
2021-12-28;3,4898;3,5209;3,352;3,4321;;
2021-12-27;3,2383;3,5026;3,2003;3,471;;
2021-12-23;3,3954;3,4005;3,0985;3,2007;;
2021-12-22;3,3939;3,4688;3,349;3,3835;;
2021-12-21;3,3693;3,4904;3,2912;3,42;;
2021-12-20;3,274;3,4695;3,2616;3,419;;
2021-12-17;3,2708;3,3592;3,2085;3,2436;;
2021-12-16;3,4692;3,5022;3,2953;3,3277;;
2021-12-15;3,3737;3,48;3,3624;3,3743;;
2021-12-14;3,3574;3,3873;3,2579;3,3569;;
2021-12-13;3,4782;3,6143;3,3486;3,3922;;
2021-12-10;3,4395;3,5128;3,3864;3,4417;;
2021-12-09;3,3814;3,4585;3,2974;3,3367;;
2021-12-08;3,341;3,4739;3,341;3,3724;;
2021-12-07;3,3184;3,3969;3,253;3,31;;
2021-12-06;3,3994;3,4367;3,2269;3,2524;;
2021-12-03;3,7099;3,7971;3,6063;3,6192;;
2021-12-02;3,7069;3,8267;3,5743;3,6275;;
2021-12-01;4,0517;4,0517;3,7413;3,7571;;
2021-11-30;4,113;4,1486;3,9597;4,0592;;
2021-11-29;4,5519;4,5783;4,2954;4,3084;;
2021-11-26;4,5388;4,8938;4,5168;4,8794;;
2021-11-25;4,6066;4,6066;4,4921;4,5751;;
2021-11-24;4,5185;4,6529;4,4264;4,558;;
2021-11-23;4,3667;4,619;4,3537;4,5489;;
2021-11-22;4,4668;4,4668;4,2152;4,3214;;
2021-11-19;4,4657;4,6567;4,3903;4,5438;;
2021-11-18;4,338;4,5328;4,3263;4,4145;;
2021-11-17;4,5556;4,5638;4,2609;4,3121;;
2021-11-16;4,4768;4,7513;4,4653;4,5405;;
2021-11-15;4,2642;4,4339;4,1404;4,408;;
2021-11-12;4,445;4,4695;4,1634;4,2047;;
2021-11-11;4,3011;4,5206;4,2887;4,488;;
2021-11-10;4,3008;4,3071;4,1123;4,2576;;
2021-11-09;4,7069;4,7128;4,2604;4,2958;;
2021-11-08;4,8322;4,9013;4,6772;4,6882;;
2021-11-05;4,9094;4,9645;4,7947;4,8973;;
2021-11-04;4,9949;5,0637;4,8087;4,9073;;
2021-11-03;4,7787;5,0874;4,7383;5,0704;;
2021-11-02;4,5089;4,7996;4,5089;4,7899;;
2021-11-01;4,6521;4,7636;4,4442;4,5209;;
2021-10-29;4,9399;5,0274;4,6653;4,7655;;
2021-10-28;5,2359;5,3586;4,9519;4,9968;;
2021-10-27;5,1872;5,428;5,0953;5,2892;;
2021-10-26;5,3482;5,3494;4,956;5,1504;;
2021-10-25;4,9261;5,3203;4,9135;5,2854;;
2021-10-22;4,6001;4,8081;4,6001;4,7386;;
2021-10-21;4,3973;4,6866;4,3956;4,6812;;
2021-10-20;4,3129;4,4977;4,2459;4,4483;;
2021-10-19;4,2716;4,3871;4,1557;4,3478;;
2021-10-18;4,4675;4,6424;4,2986;4,2996;;
2021-10-15;4,8815;5,0032;4,6781;4,6949;;
2021-10-14;4,9122;5,1238;4,8524;4,9076;;
2021-10-13;4,7353;4,9362;4,6493;4,9074;;
2021-10-12;4,7074;4,7962;4,4853;4,7384;;
2021-10-11;4,9705;5,0263;4,6191;4,6853;;
2021-10-08;5,0545;5,0877;4,8251;4,8633;;
2021-10-07;4,9909;5,0291;4,6942;5,0044;;
2021-10-06;5,52;5,6189;4,9328;4,9698;;
2021-10-05;5,0937;5,5265;5,063;5,4513;;
2021-10-04;4,9349;5,2214;4,8913;5,0874;;
2021-10-01;5,1138;5,1452;4,8169;4,821;;
2021-09-30;4,7571;5,1048;4,7571;5,0447;;
2021-09-29;4,961;5,0404;4,6796;4,6943;;
2021-09-28;5,2285;5,4179;4,8753;5,0087;;
2021-09-27;4,5924;5,0447;4,5785;5,0285;;
2021-09-24;4,4112;4,4817;4,3176;4,4667;;
2021-09-23;4,137;4,3633;4,105;4,3633;;
2021-09-22;4,1646;4,2202;4,1122;4,1125;;
2021-09-21;4,2364;4,3084;4,0503;4,1377;;
2021-09-20;4,2542;4,4199;4,2092;4,2397;;
2021-09-17;4,4593;4,5885;4,3013;4,3055;;
2021-09-16;4,6365;4,762;4,4746;4,5091;;
2021-09-15;4,4993;4,7745;4,4799;4,6306;;
2021-09-14;4,4262;4,5478;4,3991;4,4951;;
2021-09-13;4,2034;4,4986;4,1741;4,4102;;
2021-09-10;4,2298;4,2775;4,1757;4,1998;;
2021-09-09;4,1749;4,2693;4,1166;4,237;;
2021-09-08;3,9077;4,2308;3,9032;4,1728;;
2021-09-07;3,9741;3,9779;3,8559;3,8655;;
2021-09-06;3,9901;4,0333;3,9492;3,9663;;
2021-09-03;3,8964;3,9841;3,8964;3,9694;;
2021-09-02;3,8893;3,9934;3,8771;3,9226;;
2021-09-01;3,7604;3,9875;3,7388;3,9124;;
