Datum;Erster;Hoch;Tief;Schlusskurs;Stuecke;Volumen
2024-12-30;3,5465;4,01;3,5132;3,7259;;
2024-12-27;3,2663;3,3086;3,1622;3,2608;;
2024-12-23;3,366;3,3724;3,166;3,2468;;
2024-12-20;3,1714;3,3245;3,1502;3,2966;;
2024-12-19;3,0324;3,2034;3,0271;3,2002;;
2024-12-18;2,9543;3,0227;2,9385;2,9894;;
2024-12-17;3,0538;3,2163;2,9403;3,2123;;
2024-12-16;3,0162;3,0942;2,997;3,0732;;
2024-12-13;3,2411;3,3143;3,1085;3,1203;;
2024-12-12;3,2034;3,3891;3,1334;3,3095;;
2024-12-11;3,0397;3,2372;3,0393;3,1985;;
2024-12-10;2,9899;3,033;2,9172;3,0275;;
2024-12-09;3,0255;3,0736;2,975;3,0078;;
2024-12-06;2,8782;2,928;2,8253;2,9174;;
2024-12-05;2,90;2,9841;2,8968;2,9172;;
2024-12-04;2,8831;2,9324;2,8402;2,9173;;
2024-12-03;3,0065;3,0404;2,8729;2,8987;;
2024-12-02;2,9852;3,1168;2,9825;3,0467;;
2024-11-29;3,1246;3,194;3,1119;3,181;;
2024-11-28;3,0289;3,1354;3,0284;3,1281;;
2024-11-27;3,1807;3,1845;3,0288;3,0305;;
2024-11-26;3,2543;3,3499;3,225;3,3099;;
2024-11-25;3,3137;3,3907;3,2428;3,2597;;
2024-11-22;3,3409;3,3997;3,127;3,1742;;
2024-11-21;3,3206;3,4062;3,2551;3,3271;;
2024-11-20;2,8565;3,051;2,8562;3,0397;;
2024-11-19;2,7826;2,8873;2,7473;2,8141;;
2024-11-18;2,7377;2,8183;2,6864;2,8093;;
2024-11-15;2,5425;2,674;2,5421;2,6654;;
2024-11-14;2,789;2,8227;2,6168;2,622;;
2024-11-13;2,6945;2,8373;2,6633;2,8345;;
2024-11-12;2,7561;2,8312;2,6931;2,741;;
2024-11-11;2,6423;2,7726;2,6343;2,7616;;
2024-11-08;2,4812;2,5436;2,4545;2,4774;;
2024-11-07;2,5304;2,573;2,4671;2,5005;;
2024-11-06;2,4371;2,6093;2,4371;2,5667;;
2024-11-05;2,5402;2,5814;2,4327;2,4495;;
2024-11-04;2,3749;2,5621;2,3736;2,5527;;
2024-11-01;2,4759;2,4993;2,4183;2,4319;;
2024-10-31;2,5666;2,5961;2,4726;2,48;;
2024-10-30;2,641;2,6662;2,5676;2,6024;;
2024-10-29;2,6298;2,6954;2,5777;2,6951;;
2024-10-28;2,7649;2,7903;2,5917;2,6301;;
2024-10-25;2,7658;2,8642;2,7412;2,8458;;
2024-10-24;2,7371;2,8337;2,6914;2,829;;
2024-10-23;2,1134;2,2585;2,0975;2,2256;;
2024-10-22;2,1468;2,1901;2,0993;2,1208;;
2024-10-21;2,0463;2,1602;2,0463;2,1512;;
2024-10-18;2,1661;2,1824;2,0671;2,0934;;
2024-10-17;2,1818;2,2198;2,1374;2,1609;;
2024-10-16;2,2763;2,2924;2,1637;2,1803;;
2024-10-15;2,2605;2,3358;2,2411;2,2794;;
2024-10-14;2,3514;2,3778;2,2664;2,2773;;
2024-10-11;2,455;2,4905;2,3915;2,4021;;
2024-10-10;2,414;2,4669;2,3713;2,4571;;
2024-10-09;2,4709;2,4794;2,4006;2,4102;;
2024-10-08;2,4787;2,5301;2,459;2,4676;;
2024-10-07;2,5537;2,5803;2,4641;2,4879;;
2024-10-04;2,6857;2,7352;2,5657;2,5705;;
2024-10-03;2,642;2,6981;2,6313;2,6882;;
2024-10-02;2,6002;2,707;2,5948;2,634;;
2024-10-01;2,6213;2,645;2,5525;2,6266;;
2024-09-30;2,5836;2,6294;2,563;2,5956;;
2024-09-27;2,4417;2,623;2,4359;2,6092;;
2024-09-26;2,5419;2,5837;2,4504;2,4681;;
2024-09-25;2,5303;2,5744;2,4976;2,5211;;
2024-09-24;2,5773;2,5984;2,4943;2,5282;;
2024-09-23;2,4815;2,5797;2,4576;2,5769;;
2024-09-20;2,1096;2,1984;2,0774;2,1895;;
2024-09-19;2,0521;2,1146;2,0074;2,1091;;
2024-09-18;2,0954;2,1347;2,0467;2,058;;
2024-09-17;2,1461;2,1811;2,069;2,072;;
2024-09-16;2,0444;2,1456;2,0418;2,1399;;
2024-09-13;2,1343;2,1698;2,0708;2,0763;;
2024-09-12;2,046;2,1721;2,0285;2,1444;;
2024-09-11;2,0197;2,104;2,0043;2,0573;;
2024-09-10;1,9308;2,0439;1,9215;2,0312;;
2024-09-09;1,988;2,034;1,9361;1,9412;;
2024-09-06;2,0176;2,0646;2,014;2,0559;;
2024-09-05;1,9109;2,0585;1,9097;2,0365;;
2024-09-04;1,9942;2,0522;1,9272;1,9397;;
2024-09-03;1,9706;2,0156;1,8819;2,0053;;
2024-09-02;1,9612;1,9892;1,9277;1,9788;;
2024-08-30;1,9416;1,9525;1,8909;1,9215;;
